Gujarati,Hindi
અબેલી જૂથ,आबेली समूह
અબેલી જૂથ,आबेली सामिसमूह
હાથ,भुज
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","निरपेक्ष, परम, अचर, परिशुद्‌ध"
સંપૂર્ણ સંકલન,निरपेक्ष अभिसरण
સંપૂર્ણ ભૂલ,निरपेक्ष त्रुटि
સર્વોચ્ચ સર્વોચ્ચ,परम उच्चिष्ठ
એકદમ નીચું,परम निम्निष्ठ
સંપૂર્ણ મૂલ્ય,निरपेक्ष मान
સંપૂર્ણ વેગ,निरपेक्ष वेग
અમૂર્ત બીજગણિત,अमूर्त बीजगणित
અમૂર્ત જૂથ સિદ્ધાંત,अमूर्त समूह सिद्‌धांत
પ્રવેગ,त्वरण
ગુરુત્વાકર્ષણ પ્રવેગક,गुरुत्वीय त्वरण
સ્વીકાર્ય પસંદગીકાર,स्वीकार्य वरण-समुच्चय
સ્વીકાર્ય ગુણવત્તા સ્તર,स्वीकार्य गुणता स्तर
સ્વીકાર્ય જગ્યા,स्वीकार्य परिसर
માન્ય વિશ્વસનીયતા સ્તર,मान्य विश्वसनीयता स्तर
સ્વીકૃતિ નમૂના,स्वीकरण-प्रतिचयन
સંચિત ભૂલ,संचित त्रुटि
ચોકસાઈ,यथार्थता
બળ લાગુ કર્યું,लगा हुआ बल
"ક્રિયા, ખત","क्रिया, कर्म"
ક્રિયા અને પ્રતિક્રિયા,क्रिया और प्रतिक्रिया
વીમા વિજ્ઞાન,बीमा विज्ञान
તીવ્ર ત્રિકોણ,न्यूनकोण त्रिभुज
એસાયક્લિક,अचक्रीय
સારાંશ માટે,"योग करना, जोड़ना"
ઉમેરનાર,योजक
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
યોગનું સૂત્ર,योग का सूत्र
જટિલ સંખ્યાઓનો સરવાળો,सम्मिश्र संख्याओं का योग
કાર્યોનો સરવાળો,फलनों का योग
મેટ્રિસિસનો સરવાળો,आव्यूहों का योग
બહુપદીનો સરવાળો,बहुपदों का योग
સંભાવનાઓનો સરવાળો,प्रायिकताओं का योग
વેક્ટરનો સરવાળો,सदिशों का योग
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,",योग प्रमेय बेरीज सिद्‌धांत
ઉમેરણ જૂથ,योज्य समूह
ઉમેરણ વ્યસ્ત,योज्य व्युत्क्रम
ઉમેરણ,"योज्यता, योगशीलता"
ઉમેરણ,योज्यता
સંલગ્નતા મેટ્રિક્સ,आसन्नता आव्यूह
"અડીને, અડીને, અડીને","संलग्न, निकटवर्ती, आसन्न"
અડીને કોણ,आसन्न कोण
અડીને શિરોબિંદુ,आसन्न शीर्ष
સાંકળવું,सहबद्‌ध करना
"જોડાયેલ બંધ,",संलग्न संलग्नीत
સામાન્ય નિર્ણાયક,सहखंडज सारणिक
જોડાયેલ વિભેદક સમીકરણ,संलग्न अवकल समीकरण
જોડાયેલ સમીકરણ,संलग्न समीकरण
કોહોમોજીનીયસ મેટ્રિક્સ,सहखंडज आव्यूह
મેટ્રિક્સ સહપ્રવૃત્તિ,आव्यूह सहखंडज
કોહોમોજીનીયસ મેટ્રિક્સ,सहखंडज आव्यूह
સ્વીકાર્ય નિર્ણય કાર્ય,ग्राह्य निर्णय फलन
સ્વીકાર્ય પૂર્વધારણા,ग्राह्य परिकल्पना
એરોડાયનેમિક બળ,वायुगतिक बल
એરોડાયનેમિક્સ,वायु गतिकी
સજાતીય ભૂમિતિ,सजातीय ज्यामिति
સજાતીય મેપિંગ,सजातीय प्रतिचित्रण
સજાતીય પરિવર્તન,सजातीय रूपांतरण
એકંદર ચલ,समुच्चयी चर
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
