English,Tamil
Abaxial surface,அபாக்ஸியல் மேற்பரப்பு
Abdomen,அடிவயிறு
Abdominal aorta,வயிற்று பெருநாடி
Abdominal ganglia,வயிற்று கேங்க்லியா
Abelmoschus esculentus,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
Aberration,மாறுபாடு
Abies,அபிஸ்
Abingdon tortoise,அபிங்டன் ஆமை
Abiogenesis,அபியோஜெனெஸிஸ்
Abiotic,அஜியோடிக்
Abiotic factor,அஜியோடிக் காரணி
Abnormal urine,அசாதாரண சிறுநீர்
ABO blood group,ABO இரத்தக் குழு
Abscisic acid,அப்சிசிக் அமிலம்
Abscission,கஷ்டம்
Absorb,உறிஞ்சும்
Absorption peak,உறிஞ்சுதல் உச்சம்
Absorption,உறிஞ்சுதல்
Acacia catechu,அகாசியா கேடெச்சு
Acaria arabica,அகாரியா அரபிகா
Acaprin,அகப்ரின்
Acceptable sexual behaviour,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
Accessory gland,துணை சுரப்பி
Accessory gland,துணை சுரப்பி
Accessory organ,துணை உறுப்பு
Acclimatization,பழக்கவழக்கமயமாக்கல்
Acclimatize,பழக்கப்படுத்துங்கள்
Accommodation (focusing),தங்குமிடம் (கவனம் செலுத்துதல்)
Accommodation of eye,கண் தங்குமிடம்
Accretionary growth,திரட்டல் வளர்ச்சி
Accumulation,குவிப்பு
Accumulation of organic matter,கரிமப் பொருட்களின் குவிப்பு
Accumulation of soil,மண்ணின் குவிப்பு
Acellular,அசெல்லுலர்
Acellular organism,அசெல்லுலர் உயிரினம்
Acetabulum,அசிடபூலம்
Acetaldehyde,அசிடால்டிஹைட்
Acetyl coenzyme,அசிடைல் கோஎன்சைம்
Achatina,அச்சாடினா
Achene type,அச்சீன் வகை
Achene,அச்சீன்
Achlamydosporeae,அச்ச்சைடோஸ்போரே
Acid rain,அமில மழை
Acidic,அமிலத்தன்மை
Acidic gas,அமில வாயு
Acidity,அமிலத்தன்மை
Acinar cell,அசிநார் செல்
Acoelomate,அகோலோமேட்
Aconitum,அகோனிட்டம்
Acorn worm,ஏகோர்ன் புழு
Acoustic zoning,ஒலி மண்டலம்
Acquired character,வாங்கிய எழுத்து
Acquired immunity,நோய் எதிர்ப்பு சக்தி
Acquired immuno deficiency syndrome (AIDS),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
Acrania,அக்னியா
Acridine dye,அக்ரிடைன் சாயம்
Acrocentric,அக்ரோஷென்ட்ரிக்
Acromion,அக்ரோமியன்
Acropetal sequence,அக்ரோபெட்டல் வரிசை
Acropetal order,அக்ரோபெட்டல் ஆர்டர்
Acrosin,அக்ரோசின்
Actin,ஆக்டின்
Actin-like protein,ஆக்டின் போன்ற புரதம்
Actinomorphic,ஆக்டினோமார்பிக்
Actinomycetes,ஆக்டினோமைசீட்கள்
Action potential,செயல்பாட்டு திறன்
Activated sludge,செயல்படுத்தப்பட்ட கசடு
Activated sludge floc,செயல்படுத்தப்பட்ட கசடு மிதவை
Activation energy,செயல்படுத்தும் ஆற்றல்
Active absorption,செயலில் உறிஞ்சுதல்
Active immunity,செயலில் நோய் எதிர்ப்பு சக்தி
Active radiation,செயலில் கதிர்வீச்சு
Active site,செயலில் உள்ள தளம்
Activin,ஆக்டிவின்
Acuminate,அக்யூமினேட்
Adamsia,ஆடம்ஸியா
Adaptability,தகவமைப்பு
Adaptation,தழுவல்
Adaptation to light regime,ஒளி ஆட்சிக்கு தழுவல்
Adaptation to water scarcity,நீர் பற்றாக்குறைக்கு தழுவல்
Adaptive characteristics,தகவமைப்பு பண்புகள்
Adaptive immunity,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
Adaptive radiation,தகவமைப்பு கதிர்வீச்சு
Adaptive trait,தகவமைப்பு பண்பு
Adaxial surface,அடாக்ஸியல் மேற்பரப்பு
Addictive disorder,போதை கோளாறு
Adenine,அடினின்
Adenocorticotropin,அடினோகார்டிகோட்ரோபின்
Adenohypophysis,அடினோஹைபோஃபிசிஸ்
Adenosin diphosphate,அடினோசின் டைபாஸ்பேட்
Adenosine deaminase,அடினோசின் டீமினேஸ்
Adenosine monophosphate,அடினோசின் மோனோபாஸ்பேட்
Adenosine triphosphate (ATP),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
Adenylate cyclase,அடினிலேட் சைக்லேஸ்
Adhesive force,பிசின் சக்தி
Adipate,கொழுப்பு
Adipocyte (fat cell),அடிபோசைட் (கொழுப்பு செல்)
Adipose tissue,கொழுப்பு திசு
Adnate,Adnate
Adjoining community,அருகிலுள்ள சமூகம்
Adrenal,அட்ரீனல்
Adrenal gland,அட்ரினல் சுரப்பி
Adrenocorticotropic hormone (ACTH),அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
Adrenocorticotropic releasing hormone (ACTRH),அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
Adsorbent,Adsorbent
Adsorption,உறிஞ்சுதல்
Advanced chordate,மேம்பட்ட சோர்டேட்
Advantageous mutation,சாதகமான பிறழ்வு
Adventitial,சாகச
Adventitious root,சாகச வேர்
Adverse effect,பாதகமான விளைவு
Aedes,Aedes
