Punjabi,Bengali
ਅਬੇਲੀ ਸਮੂਹ,আবেলি গ্রুপ
ਅਬੇਲੀ ਸਮੂਹ,আবেলি গ্রুপ
ਹੱਥ,হাত
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,পরম মিলন
ਪੂਰਨ ਗਲਤੀ,পরম ত্রুটি
ਪਰਮ ਸਰਵਉੱਚ,সর্বোচ্চ সর্বোচ্চ
ਸਭ ਤੋਂ ਘੱਟ,পরম সর্বনিম্ন
ਸਹੀ ਮੁੱਲ,পরম মান
ਪੂਰਨ ਗਤੀ,পরম বেগ
ਸਾਰ ਅਲਜਬਰਾ,বিমূর্ত বীজগণিত
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,বিমূর্ত গ্রুপ তত্ত্ব
ਪ੍ਰਵੇਗ,ত্বরণ
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,মহাকর্ষীয় ত্বরণ
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,গ্রহণযোগ্য নির্বাচক
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,গ্রহণযোগ্য মানের স্তর
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,গ্রহণযোগ্য প্রাঙ্গনে
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,বৈধ নির্ভরযোগ্যতা স্তর
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,গ্রহণযোগ্যতা নমুনা
ਸੰਚਿਤ ਗਲਤੀ,সঞ্চিত ত্রুটি
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਲਾਗੂ ਫੋਰਸ,প্রযুক্ত বল
"ਕਾਰਵਾਈ, ਕੰਮ","কর্ম, কাজ"
