Tamil,Marathi
அபேலி குழு,abeli गट
அபேலி குழு,अबेली गट
கை,हात
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
முழுமையான ஒருங்கிணைப்பு,परिपूर्ण अभिसरण
முழுமையான பிழை,परिपूर्ण त्रुटी
உச்ச உச்ச,सर्वोच्च सर्वोच्च
முற்றிலும் குறைந்த,परिपूर्ण सर्वात कमी
துல்லியமான மதிப்பு,परिपूर्ण मूल्य
முழுமையான வேகம்,परिपूर्ण वेग
சுருக்க இயற்கணிதம்,अमूर्त बीजगणित
சுருக்க குழு கோட்பாடு,अमूर्त गट सिद्धांत
முடுக்கம்,प्रवेग
ஈர்ப்பு முடுக்கம்,गुरुत्वाकर्षण प्रवेग
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,स्वीकार्य निवडकर्ता
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,स्वीकार्य गुणवत्ता पातळी
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,स्वीकार्य परिसर
சரியான நம்பகத்தன்மை நிலை,वैध विश्वसनीयता पातळी
ஏற்பு மாதிரி,स्वीकृती नमुना
திரட்டப்பட்ட பிழை,संचित त्रुटी
துல்லியம்,अचूकता
பயன்படுத்தப்படும் சக்தி,शक्ती लागू
"செயல், செயல்","कृती, कृती"
செயல் மற்றும் எதிர்வினை,क्रिया आणि प्रतिक्रिया
காப்பீட்டு அறிவியல்,विमा विज्ञान
கடுமையான முக்கோணம்,तीव्र त्रिकोण
அசைக்ளிக்,अॅसायक्लिक
மொத்தத்தில்,बेरीज करणे
சேர்ப்பான்,जोडणारा
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
யோகா சூத்திரம்,योगाचे सूत्र
கலப்பு எண்களின் கூட்டுத்தொகை,जटिल संख्यांची बेरीज
செயல்பாடுகளின் கூட்டுத்தொகை,कार्यांची बेरीज
மெட்ரிக்குகளின் கூட்டுத்தொகை,मॅट्रिक्सची बेरीज
பல்லுறுப்புக்கோவைகளின் தொகை,बहुपदांची बेरीज
நிகழ்தகவுகளின் கூட்டுத்தொகை,संभाव्यतेची बेरीज
திசையன்களின் தொகை,वेक्टरची बेरीज
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","बेरीज प्रमेय, बेरी सिद्धांत"
சேர்க்கை குழு,मिश्रित गट
தலைகீழ் சேர்க்கை,additive inverse
சேர்க்கை,जोडणी
சேர்க்கை,जोडणी
அருகாமை அணி,संलग्नता मॅट्रिक्स
"அருகாமை, அருகாமை, அருகாமை","समीप, समीप, समीप"
அருகில் உள்ள கோணம்,समीप कोन
அருகில் உள்ள உச்சி,समीप शिरोबिंदू
தொடர்புபடுத்த,संबद्ध करणे
"இணைக்கப்பட்ட உறை,",संलग्न संलग्न
பொதுவான தீர்மானிப்பான்,सामान्य निर्धारक
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,संलग्न विभेदक समीकरण
இணைக்கப்பட்ட சமன்பாடு,संलग्न समीकरण
ஒரே மாதிரியான அணி,एकसंध मॅट्रिक्स
அணி ஒருங்கிணைப்பு,मॅट्रिक्स सहप्रसरण
ஒரே மாதிரியான அணி,एकसंध मॅट्रिक्स
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,स्वीकार्य निर्णय कार्य
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,स्वीकार्य गृहीतक
காற்றியக்க விசை,वायुगतिकीय शक्ती
காற்றியக்கவியல்,वायुगतिकी
ஒரே மாதிரியான வடிவியல்,एकसंध भूमिती
ஒரே மாதிரியான மேப்பிங்,एकसंध मॅपिंग
ஒரே மாதிரியான மாற்றம்,एकसंध परिवर्तन
மொத்த மாறி,एकूण चल
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"விதை மூடிய, விதை","बियाणे बंद, बीजारोपण"
