Punjabi,English
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ",abacus
ਅਸਧਾਰਨ ਅੰਤ,abnormal termination
ਰੁਕਾਵਟ,abort
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ",absolute
ਪੂਰਾ ਪਤਾ,absolute address
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,absolute addressing
ਪੂਰਨ ਅਸੈਂਬਲਰ,absolute assembler
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ",absolute code
ਪੂਰਨ ਹੁਕਮ,absolute command
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ",absolute data
ਪੂਰਨ ਹਦਾਇਤ,absolute instruction
ਪੂਰਨ ਮੋਡ,absolute mode
ਪੂਰਨ ਮਾਰਗ,absolute path
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ",absolute programming
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,abstract class
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,abstract data type
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,abstract machine
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,abstract symbol
ਸੰਖੇਪ ਸੰਟੈਕਸ,abstract syntax
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,acceptance testing
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,access authentication
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ",access code
ਪਹੁੰਚ ਕੰਟਰੋਲ,access control
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,access scan
ਸਹਾਇਕ ਉਪਕਰਣ,accessory
ਲੇਖਾਕਾਰੀ,account
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ",account ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,accumulator
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ",accuracy
ਪਹੁੰਚ,acess
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,acess control byte
ਪਹੁੰਚ ਸੂਚਕ,acess index
ਪਹੁੰਚ ਕੁੰਜੀ,acess key
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ",acess matrix
ਪਹੁੰਚ ਮੋਡ,acess mode
ਪਹੁੰਚ ਅਧਿਕਾਰ,acess privilege
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,acess security
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ",acess server
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,acess time
ਮਾਨਤਾ,acknowledgement
ਧੁਨੀ ਵਿਗਿਆਨ,acoustics
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ",acronym
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,action message
ਸਰਗਰਮੀ,activation
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,active server page (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,active version
acyclic,acyclic
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼",acyclic graph
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,Ada language
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ",adapter
ਜੋੜ),add
sum ਫਾਈਲ,add file
