Odiya,Kannada
ଆବଦ୍ଧ,ದಾಟುವುದು
ସଂକ୍ଷିପ୍ତକରଣ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ଅପହରଣ,ಅಪಹರಣ
ଆବେରୀ,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
ଦକ୍ଷତା,ಸಾಮರ್ಥ್ಯ
Ab initio,ಎಬಿ ಇನಿಶಿಯೋ
ସକ୍ଷମ,ಸಮರ್ಥ
ଅସ୍ୱାଭାବିକ |,ಅಸಹಜ
ଚତୁରତା,ನಿರ್ಮೂಲನ
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,ರದ್ದುಮಾಡುವಿಕೆ
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,ಮೇಲೆ ತಿಳಿಸಿದ
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
ଉପରେ କହିଲା,ಮೇಲೆ ಹೇಳಿದರು
ଅନୁପସ୍ଥିତି,ಅನುಪಸ್ಥಿತಿ
ଅଧ୍ୟାପୀ,ಗೈರುಹಾಜರಿ
ଅନୁପସ୍ଥିତତା,ಗೈರುಹಾಜರಿ
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
ସଂପୂର୍ଣ୍ଣ,ಸಂಪೂರ್ಣ
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
ଶୋଷଣ,ಹೀರುವಿಕೆ
ବିସ୍ତୃତ,ಅಮೂರ್ತ
ବିସ୍ତୃତ,ಅಮೂರ್ತತೆ
ଅବ urd ଧ |,ಅಸಂಬದ್ಧ
ପ୍ରଚୁରତା,ಹೇರಳವಾಗಿರುವುದು
ଶକ୍ତିର ଅପବ୍ୟବହାର |,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
ଅପମାନଜନକ ଭାଷା |,ನಿಂದಕ ಭಾಷೆ
ଏକାଡେମିକ୍ |,ಶೈಕ್ಷಣಿಕ
ଏକାଡେମିକ୍ ଆଲୋଚନା,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
ଏକାଡେମିକ୍ ଛୁଟି |,ಶೈಕ್ಷಣಿಕ ರಜೆ
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
ଏକାଡେମିକ୍ ରେକର୍ଡ |,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
ଧ୍ୟାନଦେଇ,ತಪ್ಪೊಟ್ಟು
ଗ୍ରହଣ କର,ಒಪ್ಪಿಕೊಳ್ಳಿ
ଗ୍ରହଣ,ಸ್ವೀಕಾರಾರ್ಹತೆ
ଅଫିସ୍ ଗ୍ରହଣ,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
ଟେଣ୍ଡର ଗ୍ରହଣ,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
ପ୍ରବେଶ,ಪ್ರವೇಶ
ପ୍ରବେଶ,ಪ್ರವೇಶ
ଆନୁଷଙ୍ଗିକ,ಪರಿಕರ
ଦୁର୍ଘଟଣା,ಅಪಘಾತ
ସୁକମ୍ଲାଇଜେସନ୍,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ଆବାସ,ಸೌಕರ್ಯ
ସାଥୀ,ಜೊತೆಗಾರ
ଆକର୍ଡ,ಸ ೦ ಗೀತ
ସମ୍ପତ୍ତୀ,ಪ್ರೇಕ್ಷಕ
ସେହି ଅନୁଯାୟୀ |,ಹಾಗೆಯೇ
ଖାତା,ಖಾತೆ
ଉତ୍ତରଦାୟିତ୍ୱ,ಹೊಣೆಗಾರಿಕೆ
ଉତ୍ତରଦାୟୀ |,ಹೊಣೆಗಾರ
ଆକାଉଣ୍ଟାଣ୍ଟି,ಹೊಣೆ
ଆକାଉଣ୍ଟାଣ୍ଟ,ಲೆಕ್ಕಪರಿಶೋಧಕ
ଖାତା ପାଇଁ,ಇದಕ್ಕೆ ಖಾತೆ
ଖାତା ହେଡ୍,ಖಾತೆ
ଅଭିଯୋଗ ଲାଭ,ಸಂಚಿತ ಲಾಭ
ପେନ୍ ପେନ୍ସନ୍,ಸಂಚಿತ ಪಿಂಚಣಿ
ଜମା,ಸಂಗ್ರಹಣೆ
ସଠିକତା,ನಿಖರತೆ
ସଠିକ୍,ನಿಖರವಾದ
ଅଭିଯୋଗ,ಆರೋಪಿಸು
ଅଭିଯୁକ୍ତ,ಆರೋಪಿ
ସଫଳତା,ಸಾಧನೆ
ସ୍ୱୀକୃତି,ಸ್ವೀಕೃತಿ
ସ୍ୱୀକୃତି ଦେବାର |,ಸ್ವೀಕೃತಿ ಕಾರಣ
ପରିଚୟ,ಪರಿಚಯ
ଅଧିଗ୍ରହଣ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ନିର୍ଦ୍ଦୋଷ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
କାର୍ଯ୍ୟ କର,ಕಯ
ଅଭିନୟ ଭତ୍ତା,ನಟನಾ ಭತ್ಯೆ
କାର୍ଯ୍ୟ,ಕ್ರಿಯಾಶೀಲತೆ
କ୍ରିୟା ଯୋଜନା,ಕಾರ್ಯ ತಂತ್ರ
ସକ୍ରିୟ,ಸಕ್ರಿಯ
ସକ୍ରିୟ ଭାବରେ |,ಸಕ್ರಿಯವಾಗಿ
କାର୍ଯ୍ୟକର୍ତ୍ତା,ಕಾರ್ಯಕರ್ತ
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,ಭಗವಂತನ ಆಟ
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
ପ୍ରକୃତ,ನಿಜವಾದ
କାର୍ଯ୍ୟ,ವಾಸ್ತವಿಕ
ଆଡାପ୍ଟେସନ୍,ರೂಪಾಂತರ
ଯୋଗ,ಸೇರ್ಪಡೆ
ଅତିରିକ୍ତ ଚାର୍ଜ,ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ
ଅତିରିକ୍ତ ପାଣ୍ଠି,ಹೆಚ್ಚುವರಿ ನಿಧಿ
ଅତିରିକ୍ତ ଅନୁଦାନ,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
ଅତିରିକ୍ତ ସୂଚନା,ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ
ଅତିରିକ୍ତ ଦେୟ,ಹೆಚ್ಚುವರಿ ವೇತನ
ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ,ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ
ଠିକଣା,ಭಾಷಣ
ଆଡ୍ରେସେେ |,ವಿಳಾಸದಾರ
ସ୍ୱାଗତିବାର ଠିକଣା,ಸ್ವಾಗತದ ವಿಳಾಸ
ପର୍ଯ୍ୟାପ୍ତ,ಸಮರ್ಪಕ
ନିୟମ ପାଳନ,ಅಂಟಿಕೊಳ್ಳಿ
ଅନୁପଚାରି,ತಾತ್ಕಾಲಿಕ
ବିଜ୍ଞାପନ ହକ୍ ଦାବି |,ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು
ବିଜ୍ଞାପନ ହକ୍ କମିଟି |,ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ
AD HOC ବୃଦ୍ଧି |,ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ
ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |,ತಾತ್ಕಾಲಿಕ ಪಾವತಿ
ସଂଲଗ୍ନ,ಪಕ್ಕದ
ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ),ಪಕ್ಕದ (= ಸಮೀಪ)
ସ୍ଥଗିତତା,ಮುಂದೂಡಿಕೆ
ଆଡଜାଇବା ଗତି,ಮುಂದೂಡುವ ಚಲನೆ
ସମର୍ଥନ କର ଘର,ತೀರ್ಪು
ଗୁଚିଚୀନିକ,ತೀರ್ಮಾನಿಸು
ସମର୍ଥନ,ಯಜಮಾನ
ଆଦ୍ବ୍ରୀକରଣ,ತೀರ್ಪುಗಾರ
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,ಹೊಂದಾಣಿಕೆ
ପ୍ରଶାସକ,ನಿರ್ವಹಿಸು
ଶପଥ କର,ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ
ପ୍ରଶାସନ,ಆಡಳಿತ
ନ୍ୟାୟ ପ୍ରଶାସନ,ನ್ಯಾಯದ ಆಡಳಿತ
ପ୍ରଶାସନିକ,ಆಡಳಿತಕಾರಿಯಾದ
ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ,ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ
ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |,ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ
ପ୍ରଶାସନିକ ଅନୁମୋଦନ |,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ,ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ
ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |,ಆಡಳಿತ ನಿಯಂತ್ರಣ
ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି,ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ
ପ୍ରଶାସନିକ ବିଭାଗ,ಆಡಳಿತ ಇಲಾಖೆ
ପ୍ରଶାସନିକ ମୁଣ୍ଡ,ಆಡಳಿತಾಧಿಕಾರಿ
ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |,ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ
ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
ପ୍ରଶାସନିକ ଶକ୍ତି |,ಆಡಳಿತ ಅಧಿಕಾರ
ପ୍ରଶାସନିକ ମଞ୍ଜୁର |,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
ପ୍ରଶାସନିକ କ techni ଶଳ |,ಆಡಳಿತ ತಂತ್ರ
ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |,ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ
ଗ୍ରହଣୀୟତା |,ಪ್ರವೇಶಸಾಧ್ಯತೆ
ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |,ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು
ସ୍ୱୀକାର କର |,ಒಪ್ಪಿಸು
କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |,ಪ್ರವೇಶ ಕಾರ್ಡ್
ସ୍ୱୀକାର କରାଯାଇଛି |,ಒಪ್ಪಿಕೊಂಡ
ଉପଦେଶ ଦିଅନ୍ତୁ |,ಕವಲೊಡೆಯು
ଆଡେପିଟି |,ಅಳವಡಿಕೆದಾರ
ଆଡପୁଟର୍,ರೋಗಿ
ଗ୍ରହଣ,ದತ್ತು
ବୟସ୍କ,ವಯಸ್ಕ
ବ୍ୟଭିଚାର,ವ್ಯಭಿಚಾರ
ବ୍ୟଭିଚାର,ವ್ಯಭಿಚಾರ
ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |,ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್
ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |,ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ
ଅଗ୍ରିମ,ಮುನ್ನಡೆ
ଅଗ୍ରୀମ ବୁକିଂ,ಮುಂಗಡ ಬುಕಿಂಗ್
ଅଗ୍ରଶୀ ନକଲ,ಮುನ್ನಡೆ
ଅଗ୍ରଗତି ବୃଦ୍ଧି,ಮುಂಗಡ ಹೆಚ್ಚಳ
ଅଗ୍ରିମ ଦେୟ,ಮುಂಗಡ ಪಾವತಿ
ପ୍ରତିକୂଳ ପ୍ରବେଶ,ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ
ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |,ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು
ପ୍ରତିକୂଳ ରିପୋର୍ଟ,ಪ್ರತಿಕೂಲ ವರದಿ
ବିଜ୍ଞାପନ,ಆಯ್ಕೆ
ପରାମର୍ଶ,ಸಲಹೆ
ଦେୟର ପରାମର୍ଶ |,ಪಾವತಿಯ ಸಲಹೆ
ପରାମର୍ଶଦାତା କମିଟି |,ಸಲಹಾ ಸಮಿತಿ
ପରାମର୍ଶଦାତା ପରିଷଦ |,ಸಲಹಾ ಮಂಡಳಿ
ଓକିଲ,ಪ್ರತಿಪಾದಿಸು
ସମ୍ପର୍କ,ವ್ಯವಹಾರ
ପ୍ରମାଣପତ୍ର,ಅಫಿಡವಿಟ್
ଅନୁବନ୍ଧ,ಉಪಶಮನ
ନିଶ୍ଚିତତା,ದೃ ir ೀಕರಣ
ନିଶ୍ଚିତ,ದೃ irf ೀಕರಣದ
ସୁଲଭ,ಆತುರಿಸು
Aforesaid,ಈನಟ
ଉପରୁବର୍ତ୍ତୀ,ಹೊಸದಾಗಿ
ବିପକ୍ଷରେ,ವಿರುದ್ಧವಾಗಿ
ବୟସ,ವಯಸ್ಸು
ବୟସ ପ୍ରମାଣପତ୍ର,ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ
ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |,ಮತದಾರರ ವಯಸ್ಸು
ବୟସ ସୀମା |,ವಯಸ್ಸಿಗೆ
ସଂସ୍ଥା,ವಾಗ್ದಾನ
କାର୍ଯ୍ୟସୂଚୀ,ಕಾಗಾರ
ଅବସରର ବୟସ,ನಿವೃತ್ತಿಯ ವಯಸ್ಸು
ସୁପରନୁଏସନ୍ ବୟସ,ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು
ମିଳନ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ବହୁଳ,ದುಃಖಿಸಿದ
ଆଗ୍ରିଲେସନ୍,ಆಂದೋಲನ
Agm,ಅವಾತ
ଚୁକ୍ତିନାମା,ಒಪ್ಪಂದ
ଚୁକ୍ତି ଫର୍ମ,ಒಪ್ಪಂದದ ರೂಪ
କୃଷି,ಕೃಷಿ
Agro-idustry,ಕೃಷಿ ಉದ್ಯಮ
ସହାୟତା,ನೆರವು
ଆଲାର୍ମ,ಎಚ್ಚರಿಕೆ
ସତର୍କତା,ಜಾಗರೂಕತೆ
ଛଦ୍ମନାମ,ಅಲಿಯಾಸ್
ଅଭିଯୋଗ,ಆರೋಪಣೆ
ଅନୁଗତ,ನಿಷ್ಠೆ
ମିଳିତତା,ಮೈತ್ರಿ
ସମର୍ଥନ ସେବାଗୁଡିକ,ಮಿತ್ರ ಸೇವೆಗಳು
ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |,ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ
ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |,ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು
ଆବଣ୍ଟନ,ಮನವಸಿಕೆ
ବଣ୍ଟନ,ಹಂಚಿಕೆ
ବଣ୍ଟନ ଚିଠି,ಹಂಚಿಕೆ ಪತ್ರ
ବଣ୍ଟନେ |,ಹಂಚುವವ
ଅନୁମତି ଯୋଗ୍ୟ,ಅನುಮತಿಸುವ
ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |,ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು
ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |,ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ
ଭତ୍ତା,ಭತ್ಯೆ
ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ
ବର୍ଣ୍ଣମାଳା କ୍ରମ,ವರ್ಣಮಾಲೆ
ବ atutem ିସଣ,ವಾಗ್ವಾದ
ବିକଳ୍ପ,ಪರ್ಯಾಯ
ବିକଳ୍ପ,ಬದಲಕ
ଅମାଲଗାମୀ,ಸಂಯೋಗ
ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |,ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು
ସଂଶୋଧନ,ತಿದ್ದುಪಡಿ
ସୁବିଧା,ಸೌಕರ್ಯ
ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ,ಸೌಹಾರ್ದಯುತ
ଗୁଳିଗୋଳା,ಮದ್ದುಗುಂಡು
Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |,ಸಾಲದ ಭೋಗ್ಯ
ପରିମାଣ,ಮೊತ್ತ
ପେନ୍ସନ୍ ର ପରିମାଣ,ಪಿಂಚಣಿ ಪ್ರಮಾಣ
ଅନୁରୂପ ପୋଷ୍ଟ |,ಸಾದೃಶ್ಯದ ಹುದ್ದೆ
ବିଶ୍ଳେଷଣ |,ವಿಶ್ಲೇಷಣೆ
ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ
ପୂର୍ବଜ,ಪೂರ್ವಜ
ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |,ಪೂರಕ ಉದ್ಯಮ
ଶତ୍ରୁତା |,ದ್ವೇಷ
ଆନୁଷ୍ଠାନ,ಅನುಬಂಧ
ବାର୍ଷିକୀ,ವಾರ್ಷಿಕೋತ್ಸವ
ଘୋଷଣା,ಪ್ರಕಟಿಸುವುದು
ବିରକ୍ତିକର,ಕಿರಿಕಿರಿಯ
ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ,ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ
ବାର୍ଷିକ ବିବରଣୀ,ವಾರ್ಷಿಕ ವರದಿ
ବାର୍ଷିକ,ವರ್ಷಾಶನ
ବେନାମୀ |,ಅನಾಮಿಕ
ଅଜ୍ଞାତ ଅଭିଯୋଗ |,ಅನಾಮಧೇಯ ದೂರು
ଉତ୍ତର୍ୟତା,ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ
ଉତ୍ତର ସିଟ୍,ಉತ್ತರ ಪತ್ರಿಕೆ
ବିରୋଧୀ,ವಿರೋಧಿ
ପିତୃପୁରୁଷ,ಪೂರ್ವಸಿದ್ಧತೆಗಳು
ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ,ನಿರೀಕ್ಷಿತ ಖರ್ಚು
ପ୍ରତୀକ୍ଷିତ ଆୟ,ನಿರೀಕ್ಷಿತ ಆದಾಯ
ପ୍ରତୀକ୍ଷା,ನಿರೀಕ್ಷಣೆ
ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |,ನಿರೀಕ್ಷಿತ ಜಾಮೀನು
ବିରୋଧୀ ମାପ |,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ
ଆଣ୍ଟି-ଡମ୍ପିଂ |,ಡಂಪಿಂಗ್ ವಿರೋಧಿ
ପ୍ରାଚୀନ,ಪ್ರಾಚೀನ
ଅପାର୍ଥିଡ଼ିଆ,ವರ್ಣಭೇದ
ଉଦାସୀନତା |,ನಿರಾಸಕ್ತಿ
Apex ଶରୀର,ತುದಿ ದೇಹ
କ୍ଷମା ପ୍ରାର୍ଥନା,ಕ್ಷಮೆ
ଆବେଦନ,ಮನವಿಯನ್ನು
ରୂପ,ಗೋಚರತೆ
ସନ୍ତୁଷ୍ଟ,ಸಮಾಧಾನ
ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |,ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ
ପରିଶିଷ୍ଟ,ಅನುಬಂಧ
ଉପକରଣ,ಉಪಕರಣ
ପ୍ରଯୁଜ୍ୟ |,ಅನ್ವಯಿಸುವ
ଆବେଦନକାରୀ |,ಅರ್ಜಿದಾರ
ପ୍ରୟୋଗ,ಅನ್ವಯಿಸು
ଆବେଦନ ପତ୍ର,ಅರ್ಜಿ
ପ୍ରୟୋଗ କରାଯାଏ |,ಅನ್ವಯಿಕ
ପ୍ରୟୋଗ କରନ୍ତୁ |,ಅನ್ವಯಿಸು
ଆପୋପିନିଟି,ನೇಮಕಾತಿ
ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |,ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು
ନିଯୁକ୍ତି |,ನೇಮಕ
ନିଯୁକ୍ତି ପତ୍ର,ನೇಮಕಾತಿ ಪತ್ರ
କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |,ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ
ମଜୁରୀର ଅନୁକରଣ |,ವೇತನದ ಹಂಚಿಕೆ
ମୂଲ୍ୟାଙ୍କନ,ಮೌಲ್ಯಮಾಪಕ
ମୂଲ୍ୟାଙ୍କନକାରୀ,ಮೌಲ್ಯಮಾಪಕ
ପ୍ରଶଂସା,ಮೆಚ್ಚುಗೆ
ଭୟ,ಭಯ
ଶିକ୍ଷାର୍ଥୀ,ಅಪ್ರೆಂಟಿಸ್
ଉପାୟ,ಸಮೀಪಿಸು
ଉପଯୁକ୍ତ,ಸೂಕ್ತ
ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ,ಸೂಕ್ತ ಕ್ರಮ
ଉପଯୁକ୍ତ ମୁଣ୍ଡ,ಸೂಕ್ತ ತಲೆ
ଆବଣ୍ଟନ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ଅନୁମୋଦନ,ಅನುಮೋದನೆ
ଆନୁମାନିକ,ಅಂದಾಜು
ଦକ୍ଷତା ପରୀକ୍ଷା,ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ
ଇଚ୍ଛାଧୀନ |,ಅನಿಯಂತ್ರಿತ
ଆର୍ବିଟ୍ରେଟ୍ |,ನಿಣಿಸು
ଆର୍ବିଟ୍ରେସନ୍,ಮಧ್ಯಸ್ಥಿಕೆ
ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |,ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ
ଆର୍ବିଟର,ಮಧ್ಯಸ್ಥ
ସ୍ଥାପତ୍ୟ,ವಾಸ್ತುಶಿಲ್ಪಿ
ଅଭିଲେଖାଗାର,ಆರ್ಕೈವ್ಸ್
କ୍ଷେତ୍ର,ಪ್ರದೇಶ
କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |,ಪ್ರದೇಶದ ಪ್ರದೇಶ
ଯୁକ୍ତି,ವಾದ
ଉଠ,ಹುಳು
ସଶସ୍ତ୍ର ବାହିନୀ |,ಸಶಸ್ತ್ರ ಪಡೆ
ବ୍ୟବସ୍ଥା,ಜೋಡಣೆ
ବରିଟର,ಬಾಕಿ
ବର୍ବର ବିବୃତ୍ତି,ಬಾಕಿ ಹೇಳಿಕೆ
ଆଗମନ ରିପୋର୍ଟ,ಆಗಮನ ವರದಿ
ଅହଂକାର,ಅಸ್ತವ್ಯಸ್ತತೆ
ଅସ୍ତ୍ରଶସ୍ତ୍ର,ಸ ೦ ತಾನು
