Kannada,Malayalam
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.അബാക്കസ്, 2. എണ്ണുന്നു"
ಅಸಹಜ ಅಂತ್ಯ,അസാധാരണമായ അവസാനം
ತಡೆಹಿಡಿಯಿರಿ,തടസ്സപ്പെടുത്തുക
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. കേവലം, 2. പരമോന്നത"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ വിലാസം
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,സമ്പൂർണ്ണ വിലാസക്ഷമത
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,കേവല അസംബ്ലർ
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. കേവല കോഡ്, 2. കേവല കോഡ്"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,സമ്പൂർണ്ണ കമാൻഡ്
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,സമ്പൂർണ്ണ നിർദ്ദേശം
ಸಂಪೂರ್ಣ ಮೋಡ್,കേവല മോഡ്
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,കേവല പാത
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
ಅಮೂರ್ತ ವರ್ಗ,അമൂർത്ത ക്ലാസ്
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,അമൂർത്ത ഡാറ്റ തരം
ಅಮೂರ್ತ ಯಂತ್ರ,അമൂർത്ത യന്ത്രം
ಅಮೂರ್ತ ಚಿಹ್ನೆ,അമൂർത്ത ചിഹ്നം
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,അമൂർത്തമായ വാക്യഘടന
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,സ്വീകാര്യത പരിശോധന
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,പ്രവേശന നിയന്ത്രണം
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,ആക്സസ് സ്കാനിംഗ്
ಬಿಡಿಭಾಗಗಳು,സാധനങ്ങൾ
ಲೆಕ್ಕಪತ್ರ,അക്കൌണ്ടിംഗ്
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
ಸಂಚಯಕ,ശേഖരണം
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. കൃത്യത, 2. കൃത്യത"
ಪ್ರವೇಶ,പ്രവേശനം
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
ಪ್ರವೇಶ ಸೂಚಕ,പ്രവേശന സൂചകം
ಪ್ರವೇಶ ಕೀ,ആക്സസ് കീ
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
ಪ್ರವೇಶ ಮೋಡ್,ആക്സസ് മോഡ്
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,പ്രവേശനാവകാശങ്ങൾ
ಪ್ರವೇಶ ಭದ್ರತೆ,ആക്സസ് സുരക്ഷ
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
ಪ್ರವೇಶ ಸಮಯ,പ്രവേശന സമയം
ಸ್ವೀಕೃತಿ,അംഗീകാരം
ಅಕೌಸ್ಟಿಕ್ಸ್,ശബ്ദശാസ്ത്രം
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,പ്രവർത്തന സന്ദേശം
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,സജീവമാക്കൽ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,സജീവ സെർവർ പേജ്
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,സജീവ പതിപ്പ്
ಅಸೈಕ್ಲಿಕ್,അസൈക്ലിക്
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
ಒಟ್ಟು),ആകെ)
ಮೊತ್ತದ ಕಡತ,തുക ഫയൽ
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
ಸೇರಿಸುವವನು,ചേർക്കുന്നയാൾ
ಗೊತ್ತು,അറിയുക
ವಿಳಾಸ ಬಸ್,വിലാസം ബസ്
ವಿಳಾಸ ಫೈಲ್,വിലാസ ഫയൽ
ವಿಳಾಸ ಸ್ವರೂಪ,വിലാസ ഫോർമാറ്റ്
ವಿಳಾಸ ಜನರೇಟರ್,വിലാസ ജനറേറ്റർ
ವಿಳಾಸ ಸಾಲು,വിലാസ ലൈൻ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,വിലാസ മാപ്പിംഗ്
ವಿಳಾಸ ಸೂಚಕ,വിലാസ സൂചകം
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,വിലാസ രജിസ്റ്റർ
ವಿಳಾಸ ಸ್ಥಗಿತ,വിലാസ തകർച്ച
ವಿಳಾಸ ಅನುವಾದ,വിലാസ വിവർത്തനം
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
ಉದ್ದೇಶಿಸಿ,അഭിസംബോധന
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
ಬಾಂಧವ್ಯ,ബന്ധം
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ","1. മാനേജർ, 2. കണ്ട്രോളർ"
