Kannada,Bengali
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,বাতিল অঙ্গ
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,বাতিল বীজ
ಗರ್ಭಪಾತ,গর্ভপাত
ಸಂಪೂರ್ಣ ಕಳೆ,পরম আগাছা
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,শোষিত কেশন
ಹೀರುವಿಕೆ,শোষণ
ಪ್ರಪಾತದ ಸಾಸಿವೆ,অ্যাবিসিনিয়ান সরিষা
ಉಜ್ಜೆ,অ্যাকারিসাইড
ಉಪನಾಮದ,অ্যাকসেন্ট্রিক
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),উচ্চারণ (সেল)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,স্বীকৃত সহনশীলতা
ಪರಿಕರ,আনুষঙ্গিক
ಒಗ್ಗೂಡಿಸುವಿಕೆ,প্রশংসাপত্র
ಸಂಗ್ರಹಣೆ,জমা
ನಿಖರತೆ,সঠিকতা
ಕಸಚೂಕು,এসারভুলাস
ಸಮಗ್ರೀಕರಣ,অ্যাসিটিফিকেশন
ಆಮ್ಲೀಕರಣ,অ্যাসিডিফিকেশন
ಆಚಿಮೀಟರ್ ಚೀಟಿ,অ্যাসিডিমিটার
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,অম্লতা
ಸಿಹಿನೀರಿನ,অ্যাসিডোফিলিক
ಆಮ್ಲೀಯ,অ্যাসিডুলেটেড রক ফসফেট
ಸಂಚೇಮದ,অ্যাসিডুরিক
ಜಲಚರಗಳು,জলজ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,অধিগ্রহণ
ಎಕರೆ,একর
ಎಕರೆ,জমি
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,অ্যাক্রোসেন্ট্রিক ক্রোমোজোম
ಖುಷಿಯ,অ্যাক্রোপেটাল
ಸುಣ್ಣ,অ্যাক্রোসোম
ಅಂಧ,অ্যাক্টিনোমাইসেটস
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,সক্রিয় মূল অঞ্চল
ತೀವ್ರ,তীব্র
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,অভিযোজনযোগ্যতা
ರೂಪಾಂತರ,অভিযোজন
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,আঠালো
ಅಡಿ,অ্যাডিপোজ
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,সামঞ্জস্য সমীকরণ
ಮಣ್ಣು,অ্যাডোব মাটি
ವ್ಯಭಿಚಾರಮಾಡುವ,ভেজাল
ಸಾಹಸದ,অ্যাডভেটিয়াস
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,আইসিডিওস্পোর
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,আইওলিয়ান প্রক্রিয়া
ಅಯೋಲಿಯನ್,আইওলিয়ান
ಗಾಳಿಗೊಡ್ಡು,এয়ারেট
ವೈಮಾನಿಕ,এরিয়াল
ವಾಯುಮಾಪಕ,এয়ারোমিটার
ವಾಯುಪಾವತಿ,অ্যারোসোল
