Malayalam,Gujarati
വിലക്ഷണമായ,અસામાન્ય
ഉപേക്ഷിക്കുക,ગર્ભપાત
വധനം,ઘર્ષણ
ആകസ്മികമായ,અચાનક
കേവല ഫീൽഡ് ശക്തി,સંપૂર્ણ ક્ષેત્ર શક્તિ
കേവല താപനില,સંપૂર્ણ તાપમાન
യഥാർത്ഥ മൂല്യം,અબાધિત મૂલ્ય
ഉള്ക്കൊള്ളുക,શોષવું
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,સહ-કાર્યક્ષમ
ആഗിരണം നഷ്ടം,શોષણ
വേര്പെട്ടുനില്ക്കുന്ന,નિષ્ક્રિય
ആക്സിലറോമീറ്റർ,પ્રવેગમાપક
സ്വീകാര്യത പരിശോധന,સ્વીકૃતિ કસોટી
പ്രവേശനം,પ્રવેશ
പ്രവേശന നിയന്ത്രണം,વપરાશ નિયંત્રણ
പ്രവേശന പോയിന്റ്,પ્રવેશ -બિંદુ
ആക്സസ് സമയം,પ્રવેશ સમય
പ്രവേശനക്ഷമത,ઉપલ્બધતા
സഞ്ചിത സെൽ,સંકુચિત સેલી
കൃതത,ચોકસાઈ
സൂക്ഷ്മമായ,ચોક્કસ
അച്രോമാറ്റിക് ലെൻസ്,ઘેટાંના લેન્સ
പുളിപ്പുള്ള,તેજાબ
ആസിഡ് തെളിവ്,એસિડ પ્રૂફ
അസിഡിറ്റി,અમલ્ય
അംഗീകാര ബിറ്റ്,સ્વીકૃતિ
അക്കോസ്റ്റിക്,ધ્વનિશાસ્ત્ર
അക്കോസ്റ്റിക് ആശയവിനിമയം,ધ્વનિશાસ્ત્ર
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ધ્વનિ -પ્રસરણ
അക്കോസ്റ്റിക് ഇക്വൈസർ,ધ્વનિ -બરાબરી
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,ધ્વનિ -પ્રતિસાદ
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,ધ્વનિ ફિલ્ટર
അക്കോസ്റ്റിക് ഇംപാസ്,ધ્વનિ અવરોધ
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ધ્વનિ -માસ્કીંગ
അക്കോസ്റ്റിക് പവർ,ધ્વનિની શક્તિ
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,ધ્વનિપક્ષીય મિલકત
അക്കോട്ടിക് റിയാൻസ്,ધ્વનિની પ્રતિક્રિયા
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ધ્વનિ -પ્રતિબિંબ
അക്കോസ്റ്റിക് ടൈൽ,ધ્વનિ ટાઇલ
അക്ക ou സ്റ്റിക് തരംഗം,ધ્વનિ તરંગ
ശബ്ദ ആഗിരണം,શ્રવ -શોષણ
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,શ્રવણશક્તિ એટેન્યુએશન
അക്കോസ്റ്റിക്കൽ നനവ്,શ્રવણની ભીનાશ
അക്കോസ്റ്റിക്കൽ കാലതാമസം,ધ્વનિ વિલંબ રેખા
അക്കോസ്റ്റിക്കൽ വക്രമാനം,ધ્વનિની વિકૃતિ
അക്കോസ്റ്റിക്കൽ നാളം,શ્રવણ નલિક
അക്കോസ്റ്റിക്കൽ എനർജി,શ્રવણશક્તિ
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,શ્રવણશક્તિ
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,શ્રદ્ધ ફિલ્ટર
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,શ્રવણનો અવરોધ
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,ધ્વનિ -પ્રચાર
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,શ્રવણ પ્રતિકાર
ശബ്ദപരമായി ഇൻസുലേറ്റ്,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
അക്കോസ്റ്റിക്സ്,ધ્વનિશાસ્ત્ર
കൈവശപ്പെടുത്തൽ,સંપાદન
സംക്ഷേപം,ટૂંકાક્ષર
പ്രവർത്തന മേഖല,કાર્યવાહી ક્ષેત્ર
സജീവമാക്കിയ ഫിലമെന്റ്,સક્રિય ફિલામેન્ટ
സജീവമായ,સક્રિય
സജീവ ഏരിയ,સક્રિય ક્ષેત્ર
സജീവ വിൻഡോ,સક્રિય બારી
പൊരുത്തപ്പെടലി,અનુકૂલનક્ષમતા
അഡാപ്റ്റർ (അഡാപ്റ്റർ),એડેપ્ટર (એડેપ્ટર)
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
മേൽവിലാസ പുസ്തകം,સરનામા પુસ્તિકા
വിലാസ ബസ്,સરનાવ બસ
വിലാസ മിഴിവ്,ઠરાવ
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,સંલગ્ન ચેનલ દખલ
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,સંલગ્ન ચેનલ પસંદગી
അടുത്തുള്ള ആവൃത്തി,સંલગ્ન આવર્તન
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,સંલગ્ન આવર્તન ચેનલ
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,અડીને ચિત્ર વાહક
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,અડીને ધ્વનિ વાહક
അടുത്തുള്ള സ്റ്റേഷൻ,સંલગ્ન મથક
കമീകരിക്കുന്ന,ગોઠવણપાત્ર
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,ગોઠવણપાત્ર કન્ડેન્સર
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,ગોઠવણ
റെഞ്ച് ക്രമീകരിക്കുന്നു,સમાયોજન
കമപ്പെടുത്തല്,સમાયોજન
ഭരണാധിപന്,વહીવટકર્તા
നൂതന സാങ്കേതികവിദ്യ,અદ્યતન ટેકનોલોજી
ഏരിയൽ,હવાઈ
ഏരിയൽ അറേ,હવાઈ ​​એરે
ഏരിയൽ ബൂസ്റ്റർ,હવાઈ ​​બૂસ્ટર
ഏരിയൽ കറന്റ്,હવાઈ ​​પ્રવાહ
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,હવાઈ ​​કમાણી સ્વીચ
ഏരിയൽ കാര്യക്ഷമത,હવાઈ ​​કાર્યક્ષમતા
ഏരിയൽ ഇതര,હવાઈ ​​અવરોધ
ഏരിയൽ ഉൾപ്പെടുത്തൽ,હવાઈ ​​લિટક્શન
ഏരിയൽ ഇൻസുലേറ്റർ,હવાઈ ​​ઇન્સ્યુલેટર
ഏരിയൽ ലോഡിംഗ് കോയിൽ,હવાઈ ​​લોડિંગ કોઇલ
