Marathi,English
गर्भपात,Abort
गर्भपात टाइमर,Abort timer
परिपूर्ण पत्ता,Absolute address
परिपूर्ण पत्ता,Absolute addressing
परिपूर्ण असेंबलर,Absolute assembler
परिपूर्ण कोड,Absolute code
परिपूर्ण कोडिंग,Absolute coding
परिपूर्ण आज्ञा,Absolute command
परिपूर्ण समन्वय,Absolute coordinate
परिपूर्ण डेटा,Absolute data
परिपूर्ण त्रुटी,Absolute error
परिपूर्ण अभिव्यक्ती,Absolute expression
परिपूर्ण सूचना,Absolute instruction
परिपूर्ण लोडर,Absolute loader
परिपूर्ण ऑर्डर,Absolute order
परिपूर्ण प्रोग्रामिंग,Absolute programming
परिपूर्ण संज्ञा,Absolute term
परिपूर्ण मूल्य,Absolute value
परिपूर्ण वेक्टर,Absolute vector
गोषवारा,Abstract
अमूर्त,Abstracting
अमूर्त प्रतीक,Abstract symbol
प्रवेग कालावधी,Acceleration period
प्रवेग वेळ,Acceleration time
उच्चारण,Accent
स्वीकृती चाचणी,Acceptance test
प्रवेश,Access
प्रवेश आर्म,Access arm
प्रवेश व्यवस्था,Access arrangement
प्रवेश प्राधिकरण,Access authority
प्रवेश शुल्क,Access charge
प्रवेश वर्ग,Access class
प्रवेश डेटा बेस व्यवस्थापन,Access data base management
प्रवेश वातावरण,Access environment
प्रवेश अंतर,Access gap
प्रवेश निर्देशांक,Access index
Line क्सेस लाइन,Access line
प्रवेश यंत्रणा,Access mechanism
प्रवेश पद्धत,Access method
प्रवेश पद्धत दिनचर्या,Access method routine
प्रवेश मोड,Access mode
प्रवेश बरोबर,Access right
प्रवेश स्कॅन,Access scan
प्रवेश वेळ,Access time
लेखा,Accounting
लेखा वित्त प्रणाली,Accounting finance system
लेखा मशीन,Accounting machine
खाते क्रमांक,Account number
पुनरुत्पादक संचय,Accumulating reproducer
संचयक,Accumulator
संचयक नोंदणी,Accumulator register
संचयक शिफ्ट सूचना,Accumulator shift instruction
अचूकता,Accuracy
अचूकता नियंत्रण वर्ण,Accuracy control character
अचूकता नियंत्रण प्रणाली,Accuracy control system
ऐस पायलट,Ace pilot
चरित्र कबूल करा,Acknowledge character
ध्वनिक कपलर,Acoustic coupler
ध्वनिक कपलिंग,Acoustic coupling
ध्वनिक विलंब रेखा,Acoustic delay line
ध्वनिक मेमरी,Acoustic memory
ध्वनिक मॉडेम,Acoustic modem
ध्वनिक सिग्नल,Acoustic signal
ध्वनिक संचयन,Acoustic storage
परिवर्णी शब्द,Acronym
क्रिया,Action
कृती चक्र,Action cycle
कृती ओळ,Action line
कृती संदेश,Action message
कृती तपशील,Action specification
सक्रियकरण,Activation
सक्रिय,Active
सक्रिय फाईल,Active file
सक्रिय ओळ,Active line
सक्रिय दुवा,Active link
सक्रिय मास्टर फाइल,Active master file
सक्रिय मास्टर आयटम,Active master item
सक्रिय उपग्रह,Active satellite
सक्रिय स्टेशन,Active station
सक्रिय संचयन,Active storage
क्रियाकलाप,Activity
क्रियाकलाप पातळी,Activity level
क्रियाकलाप लोडिंग,Activity loading
क्रियाकलाप प्रमाण,Activity ratio
वास्तविक पत्ता (= परिपूर्ण पत्ता),Actual address (=absolute address)
वास्तविक कोड (= परिपूर्ण कोड),Actual code (=absolute code)
वास्तविक डेटा हस्तांतरण दर,Actual data transfer rate
वास्तविक दशांश बिंदू,Actual decimal point
वास्तविक सूचना (= प्रभावी सूचना),Actual instruction (=effective instruction)
वास्तविक की,Actual key
वास्तविक वेळ,Actual time
वास्तविक कामाची वेळ,Actual work time
अ‍ॅक्ट्युएटिंग सिग्नल,Actuating signal
अनुकूलता,Adaptability
अ‍ॅडॉप्टर,Adapter
अ‍ॅडॉप्टिव्ह चॅनेल वाटप,Adaptive channel allocation
अनुकूली एकत्रीकरण,Adaptive integration
अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर,Adaptive transversal equalizer
जोडलेली प्रविष्टी,Added entry
परिशिष्ट,Addend
अ‍ॅडर,Adder
अ‍ॅडडर सबट्रॅक्टर,Adder subtracter
फाईल जोडा,Add file
अतिरिक्त वर्ण (= विशेष वर्ण),Additional character (= special character)
व्यतिरिक्त रेकॉर्डर,Addition recorder
