Punjabi,Kannada
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
ਅਸਧਾਰਨ ਅੰਤ,ಅಸಹಜ ಅಂತ್ಯ
ਰੁਕਾਵਟ,ತಡೆಹಿಡಿಯಿರಿ
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
ਪੂਰਾ ਪਤਾ,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
ਪੂਰਨ ਅਸੈਂਬਲਰ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
ਪੂਰਨ ਹੁਕਮ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
ਪੂਰਨ ਹਦਾਇਤ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ਪੂਰਨ ਮੋਡ,ಸಂಪೂರ್ಣ ಮೋಡ್
ਪੂਰਨ ਮਾਰਗ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,ಅಮೂರ್ತ ವರ್ಗ
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,ಅಮೂರ್ತ ಯಂತ್ರ
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ਸੰਖੇਪ ਸੰਟੈਕਸ,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
ਪਹੁੰਚ ਕੰਟਰੋਲ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
ਸਹਾਇਕ ਉਪਕਰਣ,ಬಿಡಿಭಾಗಗಳು
ਲੇਖਾਕਾਰੀ,ಲೆಕ್ಕಪತ್ರ
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ಸಂಚಯಕ
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
ਪਹੁੰਚ,ಪ್ರವೇಶ
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
ਪਹੁੰਚ ਸੂਚਕ,ಪ್ರವೇಶ ಸೂಚಕ
ਪਹੁੰਚ ਕੁੰਜੀ,ಪ್ರವೇಶ ಕೀ
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
ਪਹੁੰਚ ਮੋਡ,ಪ್ರವೇಶ ಮೋಡ್
ਪਹੁੰਚ ਅਧਿਕਾਰ,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ಪ್ರವೇಶ ಸಮಯ
ਮਾਨਤਾ,ಸ್ವೀಕೃತಿ
ਧੁਨੀ ਵਿਗਿਆਨ,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,ಕ್ರಿಯೆಯ ಸಂದೇಶ
ਸਰਗਰਮੀ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
acyclic,ಅಸೈಕ್ಲಿಕ್
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್"
ਜੋੜ),ಒಟ್ಟು)
sum ਫਾਈਲ,ಮೊತ್ತದ ಕಡತ
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ"
ਜੋੜਨ ਵਾਲਾ,ಸೇರಿಸುವವನು
ਜਾਣੋ,ಗೊತ್ತು
ਪਤਾ ਬੱਸ,ವಿಳಾಸ ಬಸ್
ਐਡਰੈੱਸ ਫਾਈਲ,ವಿಳಾಸ ಫೈಲ್
ਪਤਾ ਫਾਰਮੈਟ,ವಿಳಾಸ ಸ್ವರೂಪ
ਪਤਾ ਜਨਰੇਟਰ,ವಿಳಾಸ ಜನರೇಟರ್
ਐਡਰੈੱਸ ਲਾਈਨ,ವಿಳಾಸ ಸಾಲು
ਪਤਾ ਮੈਪਿੰਗ,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ਪਤਾ ਸੂਚਕ,ವಿಳಾಸ ಸೂಚಕ
ਪਤਾ ਰਜਿਸਟਰ,ವಿಳಾಸ ರಿಜಿಸ್ಟರ್
ਪਤਾ ਟੁੱਟਣ,ವಿಳಾಸ ಸ್ಥಗಿತ
ਪਤਾ ਅਨੁਵਾਦ,ವಿಳಾಸ ಅನುವಾದ
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,ಉದ್ದೇಶಿಸಿ
"1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ","1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ"
ਲਗਾਵ,ಬಾಂಧವ್ಯ
"1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ","1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ"
"1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ","1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ"
ਅਡੋਬ ਐਕਰੋਬੈਟ,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ),ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್)
"1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ","1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ"
