Kannada,English
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,Aborted organ
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,Aborted seed
ಗರ್ಭಪಾತ,Abortion
ಸಂಪೂರ್ಣ ಕಳೆ,Absolute weed
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,Absorbed cation
ಹೀರುವಿಕೆ,Absorption
ಪ್ರಪಾತದ ಸಾಸಿವೆ,Abyssinian mustard
ಉಜ್ಜೆ,Acaricide
ಉಪನಾಮದ,Accentric
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),Accentuate (cell)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,Accepted tolerance
ಪರಿಕರ,Accessory
ಒಗ್ಗೂಡಿಸುವಿಕೆ,Acclimatization
ಸಂಗ್ರಹಣೆ,Accumulation
ನಿಖರತೆ,Accuracy
ಕಸಚೂಕು,Acervulus
ಸಮಗ್ರೀಕರಣ,Acetification
ಆಮ್ಲೀಕರಣ,Acidification
ಆಚಿಮೀಟರ್ ಚೀಟಿ,Acidimeter
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,Acidity
ಸಿಹಿನೀರಿನ,Acidophilic
ಆಮ್ಲೀಯ,Acidulated rock phosphate
ಸಂಚೇಮದ,Aciduric
ಜಲಚರಗಳು,Aquifer
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,Acquisition
ಎಕರೆ,Acre
ಎಕರೆ,Acreage
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,Acrocentric chromosome
ಖುಷಿಯ,Acropetal
ಸುಣ್ಣ,Acrosome
ಅಂಧ,Actinomycetes
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,Active root zone
ತೀವ್ರ,Acute
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,Adaptability
ರೂಪಾಂತರ,Adaptation
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,Adhesion
ಅಡಿ,Adipose
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,Adjustment equation
ಮಣ್ಣು,Adobe soil
ವ್ಯಭಿಚಾರಮಾಡುವ,Adulterant
ಸಾಹಸದ,Adventitious
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,Aecidiospore
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,Aeolian process
ಅಯೋಲಿಯನ್,Aeolian
ಗಾಳಿಗೊಡ್ಡು,Aerate
ವೈಮಾನಿಕ,Aerial
ವಾಯುಮಾಪಕ,Aerometer
ವಾಯುಪಾವತಿ,Aerosol
ಅಸ್ವಸ್ಥತೆ,Aestivation
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),Aetiology (etiology)
ಸಂಯಮ,Afforestation
ಆಂದೋಲನ,Agitation
ಅಣಕೇಡು,Agmark
ಕೃಷಿ,Agrarian
