abatement,অবসান
abbreviation,"সংক্ষেপন, সংক্ষিপ্তরূপ"
abduction,অপহরণ
abeyance,"স্থগিতকরণ, মূলতুবি"
ability,"সামর্থ্য, কর্মদক্ষতা"
able,"সমর্থ, যোগ্য"
abnormal,অস্বাভাবিক
abolition,"বিলোপকরা, তুলেদেওয়া, রদকরা"
abolitionof post,পদবিলোপকরা
above mentioned,উপরেউল্লিখিত
above quoted,উপরেউদ্ধৃত
above said,উপরেবিবৃত
absence,"অনুপস্থিতি, গরহাজিরা"
absentee,"অনুপস্থিত, অনাবাসী"
absentee statement,"গরহাজিরতালিকা, অনুপস্থিতেরতালিকা"
absenteeism,"অনুপস্থিতিবাদ, কর্মেঅনুপস্থিতথাকারঅভ্যাস"
absolute,"চূড়ান্ত, চরম, পূর্ণ"
absolute monopoly,পূর্ণএকচেটিয়াঅধিকার
absolute ownership,পূর্ণমালিকানা
absorption,অন্তর্ভূক্তিকরণ
abstract,"সারসংক্ষেপ, চুম্বক, বিমূর্ত"
abstract statement,সংক্ষিপ্তবিবৃতি
absurd,"অযৌক্তিক, অসম্ভব, অসমঞ্জস"
abundance,প্রাচুর্য
abuse of power,শক্তিরঅপপ্রয়োগ/দুর্ব্যবহার
abusive language,অশিষ্টভাষা
academic,"শিক্ষাগত, শিক্ষাবিষয়ক"
academic discussion,শিক্ষাবিষয়কআলোচনা
academic leave,শিক্ষাগতছুটি
academic qualification,শিক্ষাগতযোগ্যতা
academic record,শিক্ষাগতদলিল/নথি/লেখ্য
accede,"সম্মতহওয়া, মেনেনেওয়া"
accept,"স্বীকারকরা, গ্রহণকরা"
acceptance,"স্বীকার(-পত্র), গ্রহণ, স্বীকৃতি, প্রাপ্তিস্বীকার"
acceptance of office,কার্যালয়স্বীকৃতি
acceptance of tender,"মূল্যজ্ঞাপনগ্রহণ, দরপত্রগ্রহণ"
access,"অভিগমন, প্রবেশ"
accession,"সংযোজন, যোজনা, বৃদ্ধি, পরিগ্রহণ"
accessory,"অনুষঙ্গ, সহায়ক"
accident,দুর্ঘটনা
acclimatization,পরিবেশানুকূল
accommodation,"বাসস্থান, স্থান-সংস্থান"
accompanist,"সঙ্গী, সঙ্গতবাদক"
accord,"সংহতি, ঐক্যমত, প্রদানকরা"
accordance,"অনুরূপতা, অনুসারে, অনুযায়ী"
accordingly,"তদনুসারে, সেইঅনুসারে"
account,"হিসাব, গণন"
account for,কারণদর্শানো
account head,হিসাবখাত
accountability,"জবাবদিহি, দায়ীথাকা"
accountable,"দায়বদ্ধতা, দায়ী"
accountancy,হিসাবশাস্ত্র
accountant,"হিসাবরক্ষক, গাণনিক"
accrued benefit,সঞ্চিতসুবিধা
accrued pension,সঞ্চিতঅবসরভাতা/বৃত্তি
accumulation,"পুঞ্জীকরণ, জড়োকরা"
accuracy,"যাথার্থ্য, যাথাযথ্য"
accurate,"যথাযথ, প্রকৃত"
accuse,"অভিযোগকরা, দোষারোপকরা"
accused,"অভিযুক্ত, আসামী"
achievement,"অর্জন, সিদ্ধি, কীর্তি"
acknowledgement,"স্বীকার, স্বীকৃতি, প্রাপ্তিস্বীকার"
acknowledgement due,প্রাপ্তিস্বীকারপত্র
acquaintance,"পরিচিতি, অবগতি"
acquisition,"অধিগ্রহণ, আহরণ, অর্জন"
acquittance,"ঋণপরিশোধ, ক্ষতিপূরণ"
act,আইন
act of God,দৈবদুর্বিপাক
act of misconduct,"দুরাচরণ, অসদাচরণ"
acting allowance,ভারপ্রাপ্তেরভাতা
action,"ব্যবস্থা, ক্রিয়া, নালিশ, মামলা, ব্যবহার, কার্য"
action plan,ক্রিয়াপরিকল্পনা
active,সক্রিয়
actively,সক্রিয়ভাবে
activist,সক্রিয়অংশগ্রহণকারী/কর্মী
acts of omission and commission,ভুলভ্রান্তি
actual,"বাস্তব, যথার্থ, প্রকৃত, আসল"
actuals,বাস্তবপরিসংখ্যান
ad hoc,তদর্থক
ad hoc claim,তদর্থকদাবী/স্বত্বপ্রার্থনা
ad hoc committee,"তদর্থকসমিতি, তদর্থককমিটি"
ad hoc increase,তদর্থকবৃদ্ধি
ad hoc payment,তদর্থকঅর্থপ্রদান
ad valorem duty,মূল্যানুসারীশুল্ক
adaptation,"অভিযোজন, প্রতিযোজন, গ্রহণ"
addition,"সংযোজন, একত্রীকরণ"
addition and alteration,"রদবদল, পরিবর্তন-পরিবর্ধন"
additional charge,অতিরিক্তদ্বায়িত্বভার
additional fund,অতিরিক্ততহবিল/নিধি
additional grant,অতিরিক্তঅনুদান/মঞ্জুরী
additional information,অতিরিক্ততথ্য/বার্তা
additional pay,অতিরিক্তবেতন
address,"অভিভাষণ, ঠিকানা, সম্বোধন"
address of welcome,স্বাগতভাষণ
addressee,প্রাপক
adequate,"পর্যাপ্ত, যথেষ্ট"
adhere to,"অনুগতথাকা, দৃঢ়থাকা"
adjacent,"পার্শ্ববর্তী, সন্নিহিত"
adjoining (=contiguous),"সংলগ্ন, সংযুক্ত"
adjournment,মুলতুবি
adjournment motion,মুলতুবিপ্রস্তাব
adjudge,"নির্ণয়করা, সাব্যস্ত"
adjudicate,"ন্যায়নির্ণয়করা, বিচারকরা"
adjudication,ন্যায়নির্ণয়
adjudicator,ন্যায়নির্ণায়ক
adjustment,সমন্বয়ন
administer,পরিচালনাকরা
administer oath,শপথকরানো
administration,"প্রশাসন, পরিচালনা"
administration of justice,ন্যায়-প্রশাসন
administrative,প্রশাসনিক
administrative action,প্রশাসনিকব্যবস্থা
administrative appraisal,প্রশাসনিকমূল্যায়ণ
administrative approval,প্রশাসনিকঅনুমোদন
administrative authority,প্রশাসনিকসংস্থা
administrative control,প্রশাসনিকনিয়ন্ত্রণ
administrative decision,প্রশাসনিকসিদ্ধান্ত
administrative department,প্রশাসনিকবিভাগ
administrative head,প্রশাসনিকপ্রধান
administrative headquarters,প্রশাসনিকসদরকার্যালয়/দপ্তর
administrative measures,প্রশাসনিকউপায়/পদক্ষেপ
administrative power,প্রশাসনিকক্ষমতা
administrative sanction,প্রশাসনিকমঞ্জুরি
administrative technique,প্রশাসনিককৌশল/প্রণালী
administrative tribunal,প্রশাসনিকঅধিকরণ
admissibility,"গ্রাহ্যতা, স্বীকার্যতা"
admissible expenditure,গ্রাহ্যব্যয়
admit,"স্বীকারকরা, প্রবেশানুমতিদেওয়া, ভর্তিকরা"
admit card,প্রবেশপত্র
admitted,"স্বীকৃতি, প্রবিষ্ট"
admonish,"ভর্ৎসনাকরা, সতর্ককরা"
adoptee,দত্তক
adoption,"দত্তকগ্রহণ, অবলম্বন"
adoptor,দত্তকগ্রহীতা
adult,বয়স্ক
adult franchise,"প্রাপ্তবয়স্কেরভোটাধিকার, বয়স্কভোটাধিকার"
adulteration,"অপমিশ্রণ, ভেজাল"
adultery,ব্যভিচার
advance,"অগ্রিম, আগাম, দাদন, বায়না"
advance booking,অগ্রিমসংরক্ষণ
advance copy,"অগ্রিমপ্রতিলিপি, আগামকপি"
advance payment,অগ্রিমঅর্থপ্রদান
advanced increment,অগ্রিমবেতনবৃদ্ধি
adverse entry,প্রতিকূল(মন্তব্য)ভুক্তি
adverse remarks,প্রতিকূললিখন/মন্তব্য
adverse report,প্রতিকূলপ্রতিবেদন
