English,Odiya
abacus,"1. ଆବାକସ୍, ୨। ଗଣନା"
abnormal termination,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
abort,ବାଧା
absolute,"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
absolute address,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
absolute addressing,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
absolute assembler,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
absolute code,"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
absolute command,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
absolute data,"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
absolute instruction,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
absolute mode,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
absolute path,ସଂପୂର୍ଣ୍ଣ ପଥ
absolute programming,"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
abstract class,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
abstract data type,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
abstract machine,ବିସ୍ତୃତ ମେସିନ୍ |
abstract symbol,ବିସ୍ତୃତ ପ୍ରତୀକ |
abstract syntax,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
acceptance testing,ଗ୍ରହଣ ପରୀକ୍ଷା
access authentication,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
access code,"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
access control,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
access scan,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
accessory,ଆନୁଷଙ୍ଗିକ
account,ହିସାବ
account ID,"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
accumulator,ଜମାକାରୀ
accuracy,"1. ସଠିକତା, 2 ସଠିକତା"
acess,ପ୍ରବେଶ
acess control byte,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
acess index,ପ୍ରବେଶ ସୂଚକ
acess key,ପ୍ରବେଶ କୀ
acess matrix,"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
acess mode,ପ୍ରବେଶ ମୋଡ୍
acess privilege,ସୁବିଧା ପ୍ରବେଶ
acess security,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
acess server,"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
acess time,ପ୍ରବେଶ ସମୟ
acknowledgement,ସ୍ୱୀକୃତି
