Punjabi,Tamil
ਐਬੈਕਸਿਅਲ ਸਤਹ,அபாக்ஸியல் மேற்பரப்பு
ਪੇਟ,அடிவயிறு
ਪੇਟ AORTA,வயிற்று பெருநாடி
ਪੇਟ ਗੰਗਾਲੀਆ,வயிற்று கேங்க்லியா
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
ਅਸਧਾਰਨ,மாறுபாடு
ਅੱਛਾ,அபிஸ்
ਅਬਿੰਗਡਨ ਕਛੂਆ,அபிங்டன் ஆமை
ਅਬੀਓਜੀਨੇਸਿਸ,அபியோஜெனெஸிஸ்
ਅਬੀਓਟਿਕ,அஜியோடிக்
ਅਬੀਓਟਿਕ ਕਾਰਕ,அஜியோடிக் காரணி
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,அசாதாரண சிறுநீர்
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,ABO இரத்தக் குழு
Abscisic ਐਸਿਡ,அப்சிசிக் அமிலம்
ਵਿਵੇਕ,கஷ்டம்
ਸੋਖਣਾ,உறிஞ்சும்
ਸਮਾਈ ਪੀਕ,உறிஞ்சுதல் உச்சம்
ਸਮਾਈ,உறிஞ்சுதல்
ਅੱਕੀਆ ਕੈਟੂਯੂ,அகாசியா கேடெச்சு
ਅਕਾਰੀਆ ਅਰਬੀ,அகாரியா அரபிகா
ਐਕਾਪ੍ਰਿਨ,அகப்ரின்
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,துணை சுரப்பி
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,துணை சுரப்பி
ਸਹਾਇਕ ਅੰਗ,துணை உறுப்பு
ਅਨੁਕੂਲਤਾ,பழக்கவழக்கமயமாக்கல்
ਅਹਿਮ,பழக்கப்படுத்துங்கள்
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),தங்குமிடம் (கவனம் செலுத்துதல்)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,கண் தங்குமிடம்
