Punjabi,Malayalam
ਐਂਪੀਅਰ (ਯੂਨਿਟ),ആമ്പിയർ (യൂണിറ്റ്)
angstrum,ആംഗ്സ്ട്രം
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,എ-ക്ലാസ് ആംപ്ലിഫയർ
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,എഎൻ റേഡിയോ സഹായ്
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,a-സ്കാനിംഗ് അവതരണം
a-ਦਰਸ਼,ഒരു-ദർശ്
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,എ-സ്കോപ്പ് പ്രകടനം
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
am,രാവിലെ
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
ਆਰਡ-ਵਰਕ*,aard-vark*
ਐਬ-ਐਂਪੀਅਰ,എബി-ആമ്പിയർ
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
adah,അദാ
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,എ-ബി ശക്തി പിടക
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
abe refractometer,അബെ റിഫ്രാക്റ്റോമീറ്റർ
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,അബെ സൈൻ സംസ്ഥാനം
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
abcoulom,abcoulom
ਵਿਗਾੜ,"അപഭ്രംശം, അപഭ്രംശം"
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
ਅਸਮਾਨ ਵਿਕਾਰ,ആകാശ വ്യതിയാനം
abfarad,abfarad
ਈਬੇਨਰੀ,എബൻറി
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,എബോണി പ്രഭാവം
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,അസാധാരണ ധ്രുവീകരണം
ਅਸਧਾਰਨ ਸੰਚਾਰ,അസാധാരണമായ സംക്രമണം
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,അസാധാരണമായ പ്രതിഫലനം
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,അസാധാരണ അപവർത്തനം*
ਅਲੌਕਿਕ ਵਿਰੋਧ,അസാധാരണമായ പ്രതിരോധം
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","മുൻതൂക്കം, പരാജയം"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,പലപ്പോഴും ചാടുന്നു
ਹੱਥ*,കൈ*
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,സ്പെക്ട്രം കാണുന്നില്ല
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ਪੂਰਨ ਪ੍ਰਵੇਗ,സമ്പൂർണ്ണ ത്വരണം
ਪੂਰਨ ਅਸਲੀਅਤ,കേവല യാഥാർത്ഥ്യം
ਪੂਰਾ ਪਤਾ,സമ്പൂർണ്ണ വിലാസം
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,ഭൂമിശാസ്ത്രപരമായ ഉയരം
ਪੂਰਨ ਐਂਪੀਅਰ,കേവല ആമ്പിയർ
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,സമ്പൂർണ്ണ തിളനില
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,കേവല പ്രകാശം
ਪੂਰਨ ਸਮਰੱਥਾ,കേവല കപ്പാസിറ്റൻസ്
ਪੂਰਨ ਉਚਾਈ,കേവല ഉയരം
ਪੂਰਨ ਰੰਗ,കേവല പിഗ്മെന്റ്
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ","സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
ਪੂਰਨ ਕੂਲੰਬ,കേവല കൂലം
ਪੂਰਾ ਹਨੇਰਾ,പൂർണ്ണമായ ഇരുട്ട്
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
ਸੰਪੂਰਨ ਘਣਤਾ*,കേവല സാന്ദ്രത*
ਪੂਰਨ ਡਰੇਨੇਜ,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ),സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ),സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
ਪੂਰਨ ਕੁਸ਼ਲਤਾ,സമ്പൂർണ്ണ കാര്യക്ഷമത
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ,കേവല ഇലക്ട്രോമീറ്റർ
ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ,കേവല ആവൃത്തി കേവല ആവൃത്തി
ਪੂਰਨ ਨਮੀ,കേവല ഈർപ്പം
ਸੰਪੂਰਨ ਘਟਨਾ,കേവല സംഭവങ്ങൾ
ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ,കേവല അപവർത്തന സൂചിക
ਪੂਰਨ ਅਸਥਿਰਤਾ,സമ്പൂർണ്ണ അസ്ഥിരത
ਪੂਰਨ ਅਸਥਿਰਤਾ,സമ്പൂർണ്ണ അസ്ഥിരത
"ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ","കേവല തീവ്രത, കേവല തീവ്രത"
ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ,കേവല പ്രകാശം സിൽ
ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ,കേവല പ്രകാശ വക്രം
ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ,കേവലമായ അളവ്
ਪੂਰਨ ਬੈਰੋਮੀਟਰ,കേവല ബാരോമീറ്റർ
ਪਰਮ ਸਰਵਉੱਚ,പരമോന്നത പരമോന്നത
ਪੂਰਨ ਅਤਿ,സമ്പൂർണ്ണ പരിധി
ਸਭ ਤੋਂ ਘੱਟ,ഏറ്റവും താഴ്ന്നത്
ਪੂਰਨ ਗਤੀ,കേവല ആക്കം
ਪੂਰਨ ਗਤੀ,കേവല വേഗത
ਪੂਰਨ ਸੰਗੀਤ,കേവല സംഗീതം
ਪੂਰਨ ਨਿਰੀਖਣ,സമ്പൂർണ നിരീക്ഷണം
ਪੂਰਨ ਓਮ,കേവല ഓം
ਪੂਰਨ ਸਥਿਤੀ,കേവല ഓറിയന്റേഷൻ
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
ਪੂਰਨ ਗੰਭੀਰਤਾ,കേവല ഗുരുത്വാകർഷണം
ਪੂਰਨ ਦਬਾਅ,കേവല മർദ്ദം
ਪੂਰਨ ਸੰਪਤੀ,സമ്പൂർണ്ണ സ്വത്ത്
ਪੂਰਨ ਸਕੇਲਰ,കേവല സ്കെയിലർ
ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*,താപനിലയുടെ കേവല സ്കെയിൽ*
"ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ","കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
ਪੂਰਨ ਤਣਾਅ,സമ്പൂർണ്ണ സമ്മർദ്ദം
ਪੂਰਨ ਸਮਰੂਪਤਾ,കേവല സമമിതി
ਪੂਰਨ ਗਤੀ ਸਰੀਰ,കേവല ചലന ശരീരം
ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ,കേവല യൂണിറ്റ് സിസ്റ്റം
ਪੂਰਨ ਤਾਪਮਾਨ,കേവല താപനില
ਪੂਰਾ ਸਮਾਂ,കേവല സമയം
ਪੂਰਨ ਇਕਾਈਆਂ,കേവല യൂണിറ്റുകൾ
ਸਹੀ ਮੁੱਲ,യഥാർത്ഥ മൂല്യം
ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ,പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ
ਪੂਰਨ ਗਤੀ,കേവല വേഗത
ਪੂਰਨ ਲੇਸ,കേവല വിസ്കോസിറ്റി
ਪੂਰਨ ਭਾਰ,കേവല ഭാരം
ਪੂਰਨ ਜ਼ੀਰੋ*,കേവല പൂജ്യം*
ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ,പൂജ്യത്തിന്റെ കേവല വിഭജനം
ਸੋਖਣਾ,ആഗിരണം ചെയ്യുക
ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*,ആഗിരണ സൂചിക*
ਲੀਨ ਊਰਜਾ,ആഗിരണം ചെയ്ത ഊർജ്ജം
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","ആഗിരണം, ആഗിരണം"
ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*,ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*
ਸਮਾਈ ਸਮਰੱਥਾ,ആഗിരണം ശേഷി
ਸਮਾਈ,ആഗിരണം
ਸ਼ੋਸ਼ਣ ਮੀਟਰ*,അബ്സോർപ്റ്റിയോമീറ്റർ*
ਸੋਖਣ ਗਣਿਤ*,അബ്സോർപ്റ്റിയോമെട്രി*
ਸਮਾਈ,ആഗിരണം
ਸਮਾਈ - ਬੈਂਡ*,ആഗിരണം - ബാൻഡ്*
ਸਮਾਈ ਸਰਕਟ,ആഗിരണം സർക്യൂട്ട്
