Marathi,Tamil
A B वर्ग अॅम्प्लीफायर,A B வகுப்பு பெருக்கி
विकृती,பிறழ்வு
असामान्य प्रसार,அசாதாரண பரிமாற்றம்
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
गहाळ स्पेक्ट्रम,ஸ்பெக்ட்ரம் காணவில்லை
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","முழுமையான, முழுமையான, நிலையான, சரியான"
परिपूर्ण आर्द्रता,முழுமையான ஈரப்பதம்
परिपूर्ण गती,முழுமையான வேகம்
परिपूर्ण निरीक्षण,முழுமையான கவனிப்பு
परिपूर्ण तापमान,முழுமையான வெப்பநிலை
पूर्ण शून्य,முழுமையான பூஜ்ஜியம்
शोषून घेणे,உறிஞ்சி
"शोषक, शोषक","உறிஞ்சும், உறிஞ்சும்"
शोषण क्षमता,உறிஞ்சும் திறன்
शोषण,உறிஞ்சுதல்
शोषक,உறிஞ்சக்கூடியது
शोषकता,உறிஞ்சும் தன்மை
गुणोत्तर गुणोत्तर,பன்மடங்கு விகிதம்
गती वाढवणे,முடுக்கி
घाई केली,விரைந்தார்
प्रवेग,முடுக்கம்
गुरुत्वाकर्षणाचा प्रवेग,ஈர்ப்பு முடுக்கம்
प्रवेगक,முடுக்கி
प्रवेगक,முடுக்கி
प्रवेगमापक,முடுக்கமானி
prestresser,முன் அழுத்தம் கொடுப்பவர்
स्वीकार्य चाचणी,ஏற்றுக்கொள்ளக்கூடிய சோதனை
स्वीकारणारा,ஏற்பவர்
दाता रेणू,நன்கொடையாளர் மூலக்கூறு
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","அணுகல், காத்திருப்பு, அணுகல்"
प्रवेशयोग्यता,அணுகல்
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
प्रवेश वेळ,அணுகல் நேரம்
अभ्यागत त्रुटी,பார்வையாளர் பிழை
समायोजन,சரிசெய்தல்
जमा,திரட்டப்பட்டது
"जमा करणे, जमा करणे","திரட்சி, குவிப்பு"
संचयक,திரட்டி
अचूकता,துல்லியம்
वास्तव,யதார்த்தம்
