Punjabi,Hindi
ਐਸਿਡੌਇਡ,एसीडायड
ਏਓਲੀਅਨ ਮਿੱਟੀ,जलोढ़ मृदा
ਕੁੱਲ,समुच्चय
ਐਗਰੀਗੇਸ਼ਨ,समुच्चयन
ਖੇਤੀ ਵਿਗਿਆਨ,सस्य मृदा विज्ञान
ਖੇਤੀ ਵਿਗਿਆਨ,सस्य विज्ञान
ਏ-ਹੋਰੀਜ਼ਨ,"A-संस्तर, A-होराइजन"
ਆਉ-ਦਿਮਾਗ,Ao-संस्तर/Ao-होराइजन
ਆਉ—ਅੰਦਾਜ਼,Aoo-संस्तर/होराइजन
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,मृदा की वायु धारिता
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,मृदा का वायु अंग
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,वायु पिक्नोमीटर
ਐਲੀਟਿਕ ਮਿੱਟੀ,एलीटिक मृदा
ਐਲਵੀਅਲ ਮਿੱਟੀ,जलोढ़ मृदा
ਐਮਫੋਲੀਟੋਇਡ,एम्फोलीटायड
ਐਨੀਅਨ,ऋणायन
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
ਅਰਿਸ,कोर
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,बारीक वराश्म चिनाई
ਐਸ਼ਲਰ ਚਿਣਾਈ,वराश्म चिनाई
ਅਜੋਨਲ ਮਿੱਟੀ,अस्तरीय मृदा/अक्षेत्रीय मृदा
ਪਿਛਲਾ ਅਦਾਕਾਰ,कर्ष खनित्र
ਪਿਛਲਾ arch,पश्च डाट
ਬੈਕ ਬੈਂਡ,पश्च पट्ट
ਪਿੱਛੇ ਬੁਰਸ਼,उपटा प्रलेप
ਵਾਪਸ ਜਾਂਚ,पश्च रोधक
ਪਿੱਛੇ ਕਾਊਂਟਰ,पश्च पटल
ਵਾਪਸ ਕੱਟਣਾ,पश्च कर्तन
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,उपटा झोंका अवमंदक
ਬੈਕ ਡਰੇਨ,पश्च नली
ਬੈਕ ਡਰਾਪ,पश्च पट
ਵਾਪਸ ਭਰੋ,पृष्ठ भरण
ਬੈਕ ਫਿਲਲੇਟ,पश्च पट्टिका
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,पृष्ठ पल्ला कब्जा
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,प्रतीप प्रवाह संयोजन
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,प्रतीप प्रवाह निरोधक
ਬੈਕ ਗੇਜ,पश्चांतर
ਪਿਛਲਾ ਗਟਰ,पश्च नली
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,अग्निस्थान पृष्ठ
ਬੈਕਿੰਗ,पीठ/पृष्ठ भाग
ਬੈਕਿੰਗ ਬੋਰਡ,पिछला तख्ता
ਪਿੱਠ ਦਾ ਦਬਾਅ,पश्च दाब
ਬੈਕ ਪ੍ਰੋਪ,पश्च टेक
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,पश्चावलोकन
ਵਾਪਸ ਪਾਣੀ,पश्चजल
ਘਬਰਾਹਟ,व्यारोध
ਬੈਗਵਰਕ,थैला पुशताबंदो
ਬੈਲਸਟ,गिट्टी
ਬਾਲ ਮਿੱਟੀ,बॉल मृत्तिका
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,बॉल शंकुआकार शिकंजा
ਕੰਡਿਆਲੀ ਤਾਰ,काँटेदार तार
ਬਾਰ ਕੁੱਤਾ,छड़ कुत्ता
ਬਾਰਜ ਬੋਰਡ,त्रयंकी पार्श्व फलक
ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ,बेरियम सल्फेट परीक्षण
ਬੈਰਾਜ,बैराज
ਬੈਰੇਟ,बरेट
ਅਧਾਰ,क्षार
ਬੇਸ ਐਕਸਚੇਂਜ,बेस विनिमय
ਬੇਸ ਲਾਈਨ,आधार रेखा
ਬੇਸਮੈਂਟ,तहखाना/अधोभवन
ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ,अधोगृह भित्ति
ਬੇਸ ਪਲੇਟ,आधार पट्टिका
"ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ",समायोज्य आधार पट्टिका
ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ,क्षार संतृप्ति
ਬੇਸੌਇਡ,बेसाइड
ਬੱਲਾ,रोड़ा
ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ,स्नानागर व शौच कुण्ड
ਬੈਟਰ ਪੈਗ,सलामी खूँटी
ਬੈਟਰ ਪੀਅਰ,सलामी पाया
ਬੈਟਰ ਨਿਯਮ,सलामी नियम
ਬਾਲਕ (ਬਾਲਕ),बॉक
ਬੇ,खंडक
ਧਾਰਕ,धारक
ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ,धारण क्षमता
ਬੇਅਰਿੰਗ ਪਾਇਲ,धारक पाइल
ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ,धारक स्तर
ਬਿਸਤਰਾ,आधार तल
ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼,संस्तरण तल
ਬਿਸਤਰਾ ਜੋੜ,पड़ी दरज
ਬੈੱਡ ਰੌਕ,अश्माधार
ਬੈੱਡ ਰੂਮ,शयन कक्ष
ਮੋਮ,मधुमोम
ਘੰਟੀ ਬਾਕਸ,बैल बॉक्स
ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ,बैलिंग बकेट
ਬੇਲੋਫ੍ਰਾਮ,बैलोफ्राम
ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ,पैड़ीदार नींव
ਬੈਂਚਿੰਗ,पैड़ी बनाना
ਬੇਂਚਮਾਰਕ,निदेश तलचिह्न
ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,हितलाभ लागत विश्लेषण
ਬਰਮ,उपतट
Bevelled ਬੰਦ,ढालू डेली
"ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-",संस्तर/B-होराइजन
ਬਾਇਟ,बीएट
ਬਿੰਦਰ,बंधक
ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ,बंधक पदार्थ
ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ,बायोट का सिद्धांत
ਬਿਟੂਮਨ,बीटूमन
ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ,काली मृदा
ਕਾਲੀ ਧਰਤੀ,काली मिट्टी
ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ,काली शाब्दल मृदा
ਬਲੇਡ,फलक
ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ,वात्या भट्टी धातुमल सीमेंट
ਬਲਾਕੀ ਬਣਤਰ,खंडीय संरचना
ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ,बोगी संचलन प्रतिरोध
ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ,दलदल लोह खनित्र
ਬਾਂਡ,चाल (चिनाई की)
ਬੰਧੂਆ ਮੈਂਬਰ,बद्ध अवयव
ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ,बद्ध प्रत्ययित तनन
ਬੰਧਨ ਪੱਥਰ,बंधक पत्थर
ਬੰਨ੍ਹ ਪਾਣੀ,बद्ध जल
ਬਾਕਸ ਗਟਰ,पेटिकाकार नाली
ਬ੍ਰੇਸ,बंधनी
ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ,खड़ी ईंट
ਲਗਾਮ,ब्राइडल
ਚਮਕ,द्युति
ਭੂਰੀ ਮਿੱਟੀ,भूरी मृदा
ਬਿਲਡਿੰਗ,भवन
ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ,भवन सर्वेक्षक
ਬਫਰ,बफर (रोधक)
ਬਫਰ ਕਰਵ,रोधनवक या अनुपामन वक
ਬਫਰਿੰਗ,रोधन
ਬਫਰਿੰਗ ਸਮਰੱਥਾ,रोधन क्षमता
ਬੰਦਰ,बन्दर
ਬਟਰਸ,पुश्ता
ਸੀ-ਹੋਰੀਜ਼ਨ,c-संस्तर/c-होराइजन
