Tamil,Kannada
அபேலி குழு,ಅಬೆಲಿ ಗುಂಪು
அபேலி குழு,ಅಬೆಲಿ ಗುಂಪು
கை,ಕೈ
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
முழுமையான ஒருங்கிணைப்பு,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
முழுமையான பிழை,ಸಂಪೂರ್ಣ ದೋಷ
உச்ச உச்ச,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
முற்றிலும் குறைந்த,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
துல்லியமான மதிப்பு,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
முழுமையான வேகம்,ಸಂಪೂರ್ಣ ವೇಗ
சுருக்க இயற்கணிதம்,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
சுருக்க குழு கோட்பாடு,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
முடுக்கம்,ವೇಗವರ್ಧನೆ
ஈர்ப்பு முடுக்கம்,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
சரியான நம்பகத்தன்மை நிலை,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
ஏற்பு மாதிரி,ಸ್ವೀಕಾರ ಮಾದರಿ
திரட்டப்பட்ட பிழை,ಸಂಚಿತ ದೋಷ
துல்லியம்,ನಿಖರತೆ
பயன்படுத்தப்படும் சக்தி,ಅನ್ವಯಿಸಿದ ಬಲ
"செயல், செயல்","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
செயல் மற்றும் எதிர்வினை,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
காப்பீட்டு அறிவியல்,ವಿಮಾ ವಿಜ್ಞಾನ
கடுமையான முக்கோணம்,ತೀವ್ರ ತ್ರಿಕೋನ
அசைக்ளிக்,ಅಸೈಕ್ಲಿಕ್
மொத்தத்தில்,ಒಟ್ಟುಗೂಡಿಸಲು
சேர்ப்பான்,ಸೇರಿಸುವವನು
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
யோகா சூத்திரம்,ಯೋಗದ ಸೂತ್ರ
கலப்பு எண்களின் கூட்டுத்தொகை,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
செயல்பாடுகளின் கூட்டுத்தொகை,ಕಾರ್ಯಗಳ ಮೊತ್ತ
மெட்ரிக்குகளின் கூட்டுத்தொகை,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
பல்லுறுப்புக்கோவைகளின் தொகை,ಬಹುಪದಗಳ ಮೊತ್ತ
நிகழ்தகவுகளின் கூட்டுத்தொகை,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
திசையன்களின் தொகை,ವಾಹಕಗಳ ಮೊತ್ತ
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
சேர்க்கை குழு,ಸಂಯೋಜಕ ಗುಂಪು
தலைகீழ் சேர்க்கை,ಸಂಯೋಜಕ ವಿಲೋಮ
சேர்க்கை,ಸೇರಿಸುವಿಕೆ
சேர்க்கை,ಸೇರಿಸುವಿಕೆ
அருகாமை அணி,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"அருகாமை, அருகாமை, அருகாமை","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
அருகில் உள்ள கோணம்,ಪಕ್ಕದ ಕೋನ
அருகில் உள்ள உச்சி,ಪಕ್ಕದ ಶೃಂಗ
தொடர்புபடுத்த,ಸಂಯೋಜಿಸಲು
"இணைக்கப்பட்ட உறை,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
பொதுவான தீர்மானிப்பான்,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
இணைக்கப்பட்ட சமன்பாடு,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
ஒரே மாதிரியான அணி,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
அணி ஒருங்கிணைப்பு,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
ஒரே மாதிரியான அணி,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
காற்றியக்க விசை,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
காற்றியக்கவியல்,ವಾಯುಬಲವಿಜ್ಞಾನ
ஒரே மாதிரியான வடிவியல்,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
ஒரே மாதிரியான மேப்பிங்,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
ஒரே மாதிரியான மாற்றம்,ಏಕರೂಪದ ರೂಪಾಂತರ
மொத்த மாறி,ಒಟ್ಟು ವೇರಿಯಬಲ್
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"விதை மூடிய, விதை","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
இயற்கணித சமன்பாடு,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
இயற்கணித வெளிப்பாடு,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
இயற்கணித ஒருமைப்பாடு,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
இயற்கணித செயல்பாடு,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
இயற்கணித வடிவியல்,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
இயற்கணித பன்மை,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
இயற்கணித அமைப்பு,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
அனைத்து முழு எண் பிரச்சனை,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
அகரவரிசைக் குறியீடு,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
அகரவரிசை எழுத்து,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
