Odiya,English
"1. ଆବାକସ୍, ୨। ଗଣନା",abacus
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,abnormal termination
ବାଧା,abort
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ",absolute
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,absolute address
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,absolute addressing
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,absolute assembler
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍",absolute code
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,absolute command
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |",absolute data
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,absolute instruction
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,absolute mode
ସଂପୂର୍ଣ୍ଣ ପଥ,absolute path
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |",absolute programming
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,abstract class
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,abstract data type
ବିସ୍ତୃତ ମେସିନ୍ |,abstract machine
ବିସ୍ତୃତ ପ୍ରତୀକ |,abstract symbol
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,abstract syntax
ଗ୍ରହଣ ପରୀକ୍ଷା,acceptance testing
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,access authentication
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍",access code
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,access control
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,access scan
ଆନୁଷଙ୍ଗିକ,accessory
ହିସାବ,account
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ",account ID
ଜମାକାରୀ,accumulator
"1. ସଠିକତା, 2 ସଠିକତା",accuracy
ପ୍ରବେଶ,acess
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,acess control byte
ପ୍ରବେଶ ସୂଚକ,acess index
ପ୍ରବେଶ କୀ,acess key
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |",acess matrix
ପ୍ରବେଶ ମୋଡ୍,acess mode
ସୁବିଧା ପ୍ରବେଶ,acess privilege
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,acess security
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |",acess server
ପ୍ରବେଶ ସମୟ,acess time
ସ୍ୱୀକୃତି,acknowledgement
ଆକାଶବାଣୀ,acoustics
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ",acronym
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,action message
ସକ୍ରିୟ,activation
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,active server page (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,active version
acyclic,acyclic
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |",acyclic graph
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,Ada language
"1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍",adapter
to sum),add
ରାଶି ଫାଇଲ୍ |,add file
"1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ",add operation
ଆଡର୍,adder
ଜାଣନ୍ତୁ |,address
ଠିକଣା ବସ୍,address bus
ଠିକଣା ଫାଇଲ୍ |,address file
ଠିକଣା ଫର୍ମାଟ୍,address format
ଠିକଣା ଜେନେରେଟର,address generator
ଠିକଣା ରେଖା,address line
ଠିକଣା ମ୍ୟାପିଂ,address mapping
ଠିକଣା ସୂଚକ,address pointer
ଠିକଣା ରେଜିଷ୍ଟର,address register
ଠିକଣା ଭାଙ୍ଗିବା,address resolution
ଠିକଣା ଅନୁବାଦ,address translation
"1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି",addressed memory
ଠିକଣା,addressing
"1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |",adequacy criteria
ସଂଲଗ୍ନ,adjoint
"1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ",administration
