Malayalam,Tamil
ആമ്പിയർ (യൂണിറ്റ്),ஆம்பியர் (அலகு)
ആംഗ്സ്ട്രം,ஆங்ஸ்ட்ரம்
എ-ക്ലാസ് ആംപ്ലിഫയർ,ஏ-வகுப்பு பெருக்கி
എഎൻ റേഡിയോ സഹായ്,ஏஎன் ரேடியோ சஹே
a-സ്കാനിംഗ് അവതരണം,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
ഒരു-ദർശ്,ஒரு-தர்ஷ்
എ-സ്കോപ്പ് പ്രകടനം,ஏ-ஸ்கோப் செயல்திறன்
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,ஏ-டி வளைந்த படிகம்
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
രാവിലെ,நான்
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),AMU (அணு நிறை அலகு)
aard-vark*,aard-vark*
എബി-ആമ്പിയർ,ab-ஆம்பியர்
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,A-B வகுப்பு பெருக்கி
അദാ,அட
എ-ബി ശക്തി പിടക,ஏ-பி சக்தி பிடகா
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,abc = சீரமைப்பு விளக்கப்படம் = nomograph
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),அபே எண் (அபே மாறிலி)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,அபே ரிஃப்ராக்டோமீட்டர்
അബെ സൈൻ സംസ്ഥാനം,அபே சைன் நிலை
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,தானியங்கி சார்பு இழப்பீடு
abcoulom,abcoulom
"അപഭ്രംശം, അപഭ്രംശം","பிறழ்வு, பிறழ்வு"
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,பிறழ்வு திருத்தி லென்ஸ்
ആകാശ വ്യതിയാനം,வானம் பிறழ்வு
abfarad,அபராட்
എബൻറി,எபென்ரி
എബോണി പ്രഭാവം,கருங்காலி விளைவு
അസാധാരണ ധ്രുവീകരണം,அசாதாரண துருவமுனைப்பு
അസാധാരണമായ സംക്രമണം,அசாதாரண பரிமாற்றம்
അസാധാരണമായ പ്രതിഫലനം,அமானுஷ்ய பிரதிபலிப்பு
അസാധാരണ അപവർത്തനം*,அசாதாரண ஒளிவிலகல்*
അസാധാരണമായ പ്രതിരോധം,அமானுஷ்ய எதிர்ப்பு
ab-om,ab-om
"മുൻതൂക്കം, പരാജയം","முன்னுரிமை, தோல்வி"
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
പലപ്പോഴും ചാടുന്നു,அடிக்கடி குதிக்கிறது
കൈ*,கை*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,பிரதிபலிப்பு இழந்தது
സ്പെക്ട്രം കാണുന്നില്ല,ஸ்பெக்ட்ரம் காணவில்லை
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","முழுமையான, முழுமையான, நிலையான, சரியான"
സമ്പൂർണ്ണ ത്വരണം,முழுமையான முடுக்கம்
കേവല യാഥാർത്ഥ്യം,முழுமையான உண்மை
സമ്പൂർണ്ണ വിലാസം,முழுமையான முகவரி
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,புவிசார்ந்த உயரமானி
ഭൂമിശാസ്ത്രപരമായ ഉയരം,புவியியல் உயரம்
കേവല ആമ്പിയർ,முழுமையான ஆம்பியர்
