English,Bengali
A C equivalent circuit,এসি সমতুল্য সার্কিট
A to D converter,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
Absolute zero,পরম শূন্য
Absorption coefficient,শোষণ গুণাঙ্ক
Absorption spectrum,শোষণ বর্ণালী
Acceptor atom,রিসেপ্টর পরমাণু
A C coupling,বিকল্প বর্তমান যুগল
Accumulation of electron,ইলেক্ট্রন সংগ্রহ
Accumulation of holes,গর্ত স্টোরেজ
Activation energy,অ্যাক্টিভেশন শক্তি
Active amplifier,সক্রিয় পরিবর্ধক
Active diode circuit,সক্রিয় ডায়োড সার্কিট
Active filter,সক্রিয় ফিল্টার
Active high pass filter,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
Active load,সক্রিয় লোড
Active low pass filter,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
Active region,সক্রিয় এলাকা
Adaptive electronics,অভিযোজিত ইলেকট্রনিক্স
Adder,যোগকারী
Adjustable band width,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
Admittance,অনুপ্রবেশ
Aerial,এরিয়েল
Agility frequency,পিপ ফ্রিকোয়েন্সি
Air conditioner,এয়ার কন্ডিশনার
Alignment,প্রান্তিককরণ
Algorithm,অ্যালগরিদম
All pass filter,সমস্ত পাস ফিল্টার
Alloy junction,খাদ জংশন
Attenuation,ক্ষয়
Alternating current (AC),বিবর্তিত বিদ্যুৎ
Ambient temperature,পরিবেষ্টিত তাপমাত্রা
Ambipolar,বাইপোলার
Amplification,পরিবর্ধন
Amplifier,পরিবর্ধক
Amplifier efficiency,পরিবর্ধক দক্ষতা
Amplitude,মাত্রা
Amplitude altenuation,প্রশস্ততা ক্ষয়
Amplitude modulated oscillator,প্রশস্ততা মডুলেটেড এএম অসিলেটর
Amplitude modulation,প্রশস্ততা মড্যুলেশন
Amplitude modulator,প্রশস্ততা মডুলেটর
Angstrom unit,অ্যাংস্ট্রম ইউনিট
Analog circuit,এনালগ সার্কিট
Analog computer,এনালগ কম্পিউটার
Analog filter,এনালগ ফিল্টার
Analog multimeter,এনালগ মাল্টিমিটার
Analog switch,এনালগ সুইচ
AND gate,এবং গেট
Angular frequency,কৌণিক কম্পাংক
Anion,"anion, anion"
Annealing temperature,অ্যানিলিং তাপমাত্রা
Anode,অ্যানোড
Anode amplifier,অ্যানোড পরিবর্ধক
Anodization,anodyne
Antenna,অ্যান্টেনা
Antenna elements,অ্যান্টেনা উপাদান
Anti-reflection coating,বিরোধী প্রতিফলিত আবরণ
Anti-log amplifier,অ্যান্টিলগইন পরিবর্ধক
Anti-resonant circuit,অ্যান্টিরেজোন্যান্ট সার্কিট
Aperture time,দ্বারক যুগ
Apparent power,ভার্চুয়াল শক্তি
Apparent wiring,তারের সংযোগ
Approximate voltage gain,আনুমানিক ভোল্টেজ লাভ
Armstrong modulator,আর্মস্ট্রং মডুলেটর
Arrays of antenna,অ্যান্টেনা অ্যারে
Aspect ratio,"সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
Astable circuit (free running circuit),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
Astable multivibrator,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
Astable multivibrator,ভাসমান মাল্টিভাইব্রেটর
Asymmetrical junction,অপ্রতিসম জংশন
Asynchronous counters,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
Atom,পারমাণবিক
Atomic number,পারমাণবিক সংখ্যা
Atomic structure,পারমাণবিক গঠন
Audio amplifier,অডিও পরিবর্ধক
Audio amplifier,অডিও পরিবর্ধক
Audio cassette,অডিও ক্যাসেট
Audio circuit,অডিও সার্কিট
Audio frequency,শ্রবণযোগ্য ফ্রিকোয়েন্সি
Automatic voltage control,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
Avalanche,তুষারপাত
Average detector,গড় আবিষ্কারক
Axial mode,অক্ষীয় মোড
Axial ratio,অক্ষীয় অনুপাত
Antenna,অ্যান্টেনা
Back e.m.f.,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
Back field,পিছনের এলাকা
Back scattering,ব্যাক স্ক্যাটার
Background charge,ব্যাকগ্রাউন্ড চার্জ
Background noise,পার্শ্ব গোলমাল
Backlash,পশ্চাদপসরণ
Backlobe radiation,পোস্টেরিয়র বিকিরণ
Backward diode,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
Backward wave oscillator,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
Baffle,"বাধা, বাধা"
Baffle shield,বাধা
Balanced bridge,সুষম সেতু
Balanced demodulator,সুষম মডুলেটর
Balanced modulator,সুষম মডুলেটর
Balanced network,সুষম সার্কিট
Balancedslope detector,সুষম গ্রেডিয়েন্ট ডিটেক্টর
Ballast resistors,বর্তমান স্টেবিলাইজার প্রতিরোধের
Balometer,বোলোমিটার
Balometer bridge,বোলোমিটার সেতু
Balun,বেলুন
Banana jack,কলা জ্যাক
Banana plug,কলা প্লাগ
Band,"ব্যান্ড, ব্যান্ডেজ"
Band conduction,ব্যান্ড ড্রাইভার
Band energy,ব্যান্ড শক্তি
Band gap,ব্যান্ড ফাঁক
Band pass amplifier,ব্যাডপার্ক পরিবর্ধক
Band pass filter,ব্যান্ড পাস ফিল্টার
Baud rate generator,বড রেট জেনারেটর
Band spreading,banddispersion
Band stop,ব্যান্ড প্রতিরোধক
Band stop filter,ব্যান্ড ব্রেকার ফিল্টার
Band width,ব্যান্ড সম্প্রসারণ
Band-elimination filter,ব্যান্ড রিমুভার ফিল্টার
Bandwidth dispersion product,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
Bandwidth distance product,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
Bank capacity,"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
Barker code,"বার্কার কোড, বার্কার কোড"
Barkhausen criterion,barravaugen মানদণ্ড
Barretter,বাধাদানকারী
Barrier,বাধা
Barrier capacitor,অন্তরক ক্যাপাসিটর
Barrier energy,বাধা শক্তি
Barrier voltage,প্রতিরোধক ভোল্টেজ
Bartlett window,বার্টলেট উইন্ডো
Base,"ভিত্তি, ভিত্তি"
Base band,বেস ব্যান্ড
Base band transmission,বেস ব্যান্ড ট্রান্সমিশন
Base charge,বেস চার্জ
Base current,ভিত্তি বর্তমান
Base current source,ভিত্তি বর্তমান উৎস
Base dipping,বেস শিয়ারিং
Base doping,আধার মদন
Base emitter feedback,বেস ইমিটার ফিড
Base emitter junction,বেস ইমিটার জংশন
Base infection,বেস ইনজেকশন
Base line,স্থল লাইন
Base resistance,বেস প্রতিরোধের
Base source,ভিত্তি উৎস
Base spreading resistance,বেস সম্প্রসারণ প্রতিরোধের
Base spreading resistance,বেস সম্প্রসারণ প্রতিরোধের
Base thickness,ভিত্তি বেধ
Base transport,বেস অ্যাক্সেস
Base width modulation,"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন"
Base-collector junction,বেস কালেক্টর চুক্তি
Bass,গন্ধ
Bass frequency,খাদ ফ্রিকোয়েন্সি
Battery,ব্যাটারি
Baud,বউড
Baud rate,বড হার
Baud rate generator,বড রেট জেনারেটর
Baudot code,বোডো কোড
Beacon,"সংকেত, বীকন"
Bead,"মানিকা, বিড"
Bead capacitor,ম্যানিক ক্যাপাসিটর
Bead thermister,মানিকর্তপি প্রতিরোধক
Bean antenna,"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা"
Beam finder,মরীচি আবিষ্কারক
Beam power tube,মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ
Beam switching tube,মরীচি সুইচিং অগ্রভাগ
Beam width,মরীচি সম্প্রসারণ
Beat frequency,বীট ফ্রিকোয়েন্সি
Beat frequency oscillator,বীট-ফ্রিকোয়েন্সি অসিলেটর
Beat oscillator,পালস অসিলেটর
Bel,বেল
Bending loss,নমন ক্ষতি
Bessel filter,বেসেল ফিল্টার
Beta,বেটা
B-H curve,b-h বক্ররেখা
Bias,"পক্ষপাত, পক্ষপাত"
Bias current,পক্ষপাত বর্তমান
Bias resistor,পক্ষপাত প্রতিরোধ
Biconical antenna,ডবল অ্যান্টেনা
Bidirection load current,দ্বিমুখী লোড বর্তমান
Bi-directional antenna,দ্বিমুখী অ্যান্টেনা
Bidirectional LED,দ্বিমুখী আলো নির্গত ডায়োড
Bidirectional thyristor,দ্বিমুখী থাইরিস্টর
Bi-FET technology,bi FET প্রযুক্তি
Bifilar transformer,দ্বি-বিন্দু ট্রান্সফরমার
Bifilar winding,ডবল ফিউশন
Bilateral network,দ্বিপাক্ষিক সার্কিট
Binary,বাইনারি
Binary addition,বাইনারি যোগফল
Binary circuit,বাইনারি সার্কিট
Binary coded decimal (BCD),বাইনারি কোডেড দশমিক
Binary coded decimal system,বাইনারি কোডেড দশমিক সিস্টেম
Binary commutating capacitor,বাইনারি ডাইপোল ক্যাপাসিটর
Binary counter,বাইনারি ক্যালকুলেটর
Binary counter,বাইনারি ক্যালকুলেটর
Binary decoder,বাইনারি ডিকোডার
Binary ladder,বাইনারি মই
Binary odometer,বাইনারি প্যাথোমিটার
Binary state,বাইনারি অবস্থা
Binary to decimal decoders,বাইনারি-ডেসিমেল ডিকোডার
Binary weight,বাইনারি লোড
Binary word,বাইনারি শব্দ
Bipolar,বাইপোলার
Bipolar capacitor,বাইপোলার ক্যাপাসিটর
Bipolar device,বাইপোলার ডিভাইস
Bipolar power supply,বাইপোলার উৎস
Bipolar transistor,বাইপোলার ট্রানজিস্টর
Bipolar junction transistor,বাইপোলার জংশন ট্রানজিস্টর
Biquad filter,দ্বিঘাত ফিল্টার
Bistable,ডবল অবস্থান
Bistable multivibratic,দুই-পর্যায়ের মাল্টিভাইব্রেটর
Bistable relay,দ্বিমুখী রিলে
Bistable state,দুই-পর্যায়ের রাষ্ট্র
Bistable trigger,দুই-পজিশন ট্রিগার
Bit error,বিট ত্রুটি
Bit error rate (BER),বিট ত্রুটি হার
Bit error,বিট ত্রুটি
Bit timing error,বিটকল ত্রুটি
Black box,অন্ধ বাক্স
Blanking pulses,ঘনীভূত নাড়ি
Bleeder,সচিব
Bleeder resistor,সিক্রেটরি ইনহিবিটার
Blind speed,অন্ধত্ব
Block diagram,সেগমেন্ট ডায়াগ্রাম
Block impedance,ব্লকিং প্রতিবন্ধকতা
Block transfer,খণ্ড স্থানান্তর
Blocking,পথিমধ্যে রোধ করা
Blocking capacitor,প্রতিরোধক ক্যাপাসিটর
Blocking capacitor,প্রতিরোধক ক্যাপাসিটর
Blocking oscillator,ব্লকিং অসিলেটর
Blocking oscillator,প্রতিরোধক অসিলেটর
Blocking voltage,প্রতিরোধক ভোল্টেজ
Blower,ব্লোয়ার
Bode diagram/plot,বোড ডায়াগ্রাম
Boltzmann relation,voltzmann সম্পর্ক
Boltzmann's constant,voltzmann ধ্রুবক
Bond,বন্ধন
Bonded strain gauge,আবদ্ধ স্ট্রেন গেজ
Boot strapping amplifier,স্ব-চালিত পরিবর্ধক
Boolean algebra,বুলিয়ান বীজগণিত
Boolean equation,বুলিয়ান সমীকরণ
Boot strapping,বুট Strapon
Booth's algorithm,বুথের অ্যালগরিদম
Bootstrap sweep circuit,বুটস্ট্র্যাপ প্রিজম সার্কিট
Bosanquert's law,bosscutts নিয়ম
Bose-Chaudhary-Hoeckingham  (BCH) code,বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড
Bounce,"লাফ, লাফ"
Bound electron,আবদ্ধ ইলেকট্রন
Bragg reflector,ব্র্যাগ প্রতিফলক
Braided wire,জড়িত তার
Branch,শাখা
Branching,শাখা
Bread board,পরীক্ষা বোর্ড
Break down region,বিরতি জোন
Break down voltage,ব্রেকিং ভোল্টেজ
Breakdown diode,ব্রেকডাউন ডায়োড
Breakdown rating,ফ্র্যাকচার ফিক্সেশন
Breakdown voltage,ব্রেকিং ভোল্টেজ
Bridge,সেতু
Bridge rectifier,সেতু সংশোধনকারী
Broad band,প্রশস্ত ব্যান্ড
Broad cast band,সম্প্রচার ব্যান্ড
Broad side array,অ্যাস্ট্রাল অ্যারে
Broadcast,সম্প্রচার
Broadcast antenna,সম্প্রচার অ্যান্টেনা
Broadcast receiver,সম্প্রচার গ্রহনকারী যন্ত্র
Broadcast receiver frequency,ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার
Broadcast transmitter,সম্প্রচার ট্রান্সমিটার
Booster,বুস্টার অ্যান্টেনা
Bruce antenna,বাস অ্যান্টেনা
Brush discharge,বুরুশ নিমজ্জন
Bubbled AND gate,বুদবুদ এবং গেট
Bubbled OR gate,বুডবুডু বা গেট
Bubble memory,বুদবুদ স্মৃতি
Bucking voltage,ক্ষতিপূরণকারী ভোল্টেজ
Buffer,বাফার
Buffer amplifier,বাফার পরিবর্ধক
Buffer circuit,বাফার সার্কিট
Buffer driver,বাফার অপারেটর
Buffer register,বাফার রেজিস্টার
Bulb,বাল্ব
Bulk effect,জনসংখ্যার প্রভাব
Bulk semi-conductor device,ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস
Buncher,গুচ্ছ
Burried crossover,নিমজ্জিত বিনিময়
Burried layer,নিমজ্জিত স্তর
Burrier contact,নিমজ্জিত যোগাযোগ
Burst amplifier,বিস্ফোরণ পরিবর্ধক
Burst blanking,বিস্ফোরণ কভার
Burst firing,বিস্ফোরণ গুলি
Burst gate amplifier,বিস্ফোরণ দরজা পরিবর্ধক
Burst mode,বিস্ফোরিত মোড
Burst separator,বিস্ফোরণ বিভাজক
Burst signal,বিস্ফোরণের সংকেত
Burst-error correcting code,বিস্ফোরণ ত্রুটি সংশোধনকারী কোড
Bus,যথেষ্ট
Bus bar,বাস বার
Bus organisation,বাস সংগঠন
Bus standard,বাস স্ট্যান্ডার্ড
Bus transient,শুধু ক্ষণস্থায়ী
Butter worth filter,মাখন মূল্য ফিল্টার
BNC cable,bnc তার
BNC connector,বিএনসি জয়েন্টার
By pass,উপায় দ্বারা
Bypass capacitor,বাইপাস ক্যাপাসিটর
Byte,বাইট
C band,ভি ব্যান্ড
C band antenna,সি ব্যান্ড অ্যান্টেনা
Cable,তার
Cable routing,তারের রাউটিং
Cable version,টেলিগ্রাফ টেলিভিশন
Cache memory,ক্যাশ মেমরি
Caesium frequency standard,সিসিম ফ্রিকোয়েন্সি স্ট্যান্ডার্ড
Calculator,ক্যালকুলেটর
Calibration,ক্রমাঙ্কন
Call address,কল ঠিকানা
Colpitt's oscillator,কলপিট অসিলেটর
Camcorder,ক্যাম কর্ডার
Camera,ক্যামেরা
Camera tube,ক্যামেরার পায়ের পাতার মোজাবিশেষ
Candela,candela
Candle power,মোমবাতি শক্তি
Cantilever strain gauge,ক্যান্টিলিভার স্ট্রেন গেজ
Capacitance,ধারণ
Capacitance blood pressure transducer,ক্যাপাসিট্যান্স রক্তচাপ ট্রান্সডুসার
Capacitance distributor,হোল্ডিং ডিস্ট্রিবিউটর
Capacitance junction,চুক্তি ধারণ
Capacitance meter,ক্যাপাসিট্যান্স গেজ
Capacitance pick-up,সংগ্রাহক হোল্ডিং
Capacitive reactance,ক্যাপাসিট্যান্স বিক্রিয়া
Capacitive transducer,"ক্যাপাসিটিভ এনার্জি কনভার্টার, ট্রান্সডুসার"
Capacitor,ক্যাপাসিটর
Capacitor bank,ক্যাপাসিটর ব্যাংক
Capacitor filter,ক্যাপাসিটর ফিল্টার
Capacitor input filter,ক্যাপাসিটর ইনপুট ফিল্টার
Capstan motor,উইঞ্চ মোটর
Capstan servo system,পুলি সার্ভো বডি
Capston,চরখী
Capture,ক্যাপচার
Capture cross-section,ক্যাপচার ধারা
Capture effect,ক্যাপচার প্রভাব
Carrier to noise ratio (CNR),ক্যারিয়ারের শব্দ অনুপাত
Car radio,গাড়ির রেডিও
Carbon resistor,কার্বন প্রতিরোধক
Card reader,কার্ড পাঠক
Cardiod diagram,কার্ডিওড ডায়াগ্রাম
Carriage,বহন
Carriage return,গাড়ি ফেরত
Carrier,বাহক
Carrier communication,ক্যারিয়ার যোগাযোগ
Carrier concentration,ক্যারিয়ারের ঘনত্ব
Carrier frequency,ক্যারিয়ার ফ্রিকোয়েন্সি
Carrier generation,ক্যারিয়ার প্রজনন
Carrier level,ক্যারিয়ার স্তর
Carrier life time,ক্যারিয়ার জীবন
Carrier mobility,ক্যারিয়ারের গতিশীলতা
Carrier multiplication,বাহক গুণন
Carrier noise level,ক্যারিয়ারের শব্দ স্তর
Carrier range,ক্যারিয়ার পরিসীমা
Carrier recovery circuits,ক্যারিয়ার রিকভারি সার্কিট
Carrier reinsertion,ক্যারিয়ার পুনঃনিবেশ
Carrier scattering,পরিবাহী বিক্ষিপ্তকরণ
Carrier suppression,ক্যারিয়ার দমন
Carrier trapping,বাহক খাঁচা
Carrier velocity,ক্যারিয়ার বেগ
Carry bit,হাত বিট
Carry flag,পতাকা রাখা
Carry register,"দখলের রেজিস্টার, দখলের রেজিস্টার"
Carry-generator,বহনযোগ্য জেনারেটর
Carson's rule,কার্সনের আইন
Cartridge fuse,কার্তুজ ফিউজ
Cartridge tape,কার্তুজ টেপ
Carry foster bridge,ক্যারি ফস্টার ব্রিজ
Cascade amplifier,ধাপ পরিবর্ধক
Cascading,গ্রেডেশন
Cascade amplifier,ক্যাসকেড পরিবর্ধক
Cascode amplifier,"ক্যাসকোড অ্যামপ্লিফায়ার, স্টেপ অ্যামপ্লিফায়ার"
Cassette,ক্যাসেট
Catalysis,প্ররোচনা
Catcher cavity,ক্যাপটিভ কোটার
Cathode,ক্যাথোড
Cathode follower,ক্যাথোড ট্রেলিং
Cathode follower amplifier,ক্যাথোড ট্রেলিং পরিবর্ধক
Cathode luminescence,ক্যাথোড আলোকসজ্জা
Cathode material,ক্যাথোড উপাদান
Cathode ray oscilloscope (CRO),ক্যাথোড রে অসিলোস্কোপ
Cathode ray tube (CRT),ক্যাথোড রশ্মি নল
Cathode sputtering,ক্যাথোড কণা জমা
Cathode luminescence,ক্যাথোড আলোকসজ্জা
Cauer filter,কয়ার ফিল্টার
Caver filter,kaver ফিল্টার
Cavity,কোটর
Cavity radiation,এন্ট্রাল বিকিরণ
Cavity resonator,cotter অনুরণক
CCD (=charge couled device) amplifier,ফ্যাট চার্জ কাপলড ডিভাইস (CCD)
CD-ROM,সিডি রম
CD-ROM drive,সিডি রম ড্রাইভ
Cell (battery),সেল (ব্যাটারি)
Central processing element,কেন্দ্রীয় সম্পদ উপাদান
Central processing unit (CPU),কেন্দ্রীয় সম্পদ ইউনিট
Central processor,কেন্দ্রীয় প্রসেসর
Central value,গড় স্কেল
