Tamil,Malayalam
உயிரற்ற இனப்பெருக்கம்,അജിയോട്ടിക് പുനരുൽപാദനം
அமானுஷ்ய,അസാധാരണമായ
1. நான்காவது வயிறு 2. எவோமாசோம்,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
வயிற்று வளர்ச்சி உறுப்பு,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
வளர்ச்சி குன்றிய விதை,വളർച്ച മുരടിച്ച വിത്ത്
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
உறிஞ்சப்பட்ட கேஷன்,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
உறிஞ்சுதல்,ആഗിരണം
அபிசீனிய கடுகு,അബിസീനിയൻ കടുക്
1. காரக்கொல்லி,1. acaricide
மையவிலக்கு,കേന്ദ്രാഭിമുഖം
பெருக்கம் (செல்),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,അനുവദിച്ച സഹിഷ്ണുത
1.கூடுதல் 2.துணை 3.துணை,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
தழுவல்,പൊരുത്തപ്പെടുത്തൽ
திரட்சி,ശേഖരണം
1.vacuracy 2. துல்லியம்,1. vaccuracy 2. കൃത്യത
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
1. அமிலமானி 2. அமிலமானி,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
