Tamil,Punjabi
ஆம்பியர் (அலகு),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
ஆங்ஸ்ட்ரம்,angstrum
ஏ-வகுப்பு பெருக்கி,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ஏஎன் ரேடியோ சஹே,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
ஒரு-தர்ஷ்,a-ਦਰਸ਼
ஏ-ஸ்கோப் செயல்திறன்,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
ஏ-டி வளைந்த படிகம்,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
நான்,am
AMU (அணு நிறை அலகு),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
aard-vark*,ਆਰਡ-ਵਰਕ*
ab-ஆம்பியர்,ਐਬ-ਐਂਪੀਅਰ
A-B வகுப்பு பெருக்கி,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
அட,adah
ஏ-பி சக்தி பிடகா,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = சீரமைப்பு விளக்கப்படம் = nomograph,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
அபே எண் (அபே மாறிலி),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
அபே ரிஃப்ராக்டோமீட்டர்,abe refractometer
அபே சைன் நிலை,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
தானியங்கி சார்பு இழப்பீடு,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
"பிறழ்வு, பிறழ்வு",ਵਿਗਾੜ
பிறழ்வு திருத்தி லென்ஸ்,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
வானம் பிறழ்வு,ਅਸਮਾਨ ਵਿਕਾਰ
அபராட்,abfarad
எபென்ரி,ਈਬੇਨਰੀ
கருங்காலி விளைவு,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
அசாதாரண துருவமுனைப்பு,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
அசாதாரண பரிமாற்றம்,ਅਸਧਾਰਨ ਸੰਚਾਰ
அமானுஷ்ய பிரதிபலிப்பு,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
அசாதாரண ஒளிவிலகல்*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
அமானுஷ்ய எதிர்ப்பு,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"முன்னுரிமை, தோல்வி","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
அடிக்கடி குதிக்கிறது,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
கை*,ਹੱਥ*
பிரதிபலிப்பு இழந்தது,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
