Hindi,Bengali
"1.एबेकस ,2. गिनतारा","1.অ্যাবাকাস, 2. গণনা"
असामान्य समापन,অস্বাভাবিক সমাপ্তি
अवरोधन,পথিমধ্যে রোধ করা
"1. निरपेक्ष ,2. परम","1. পরম, 2. সর্বোচ্চ"
निरपेक्ष पता,পরম ঠিকানা
निरपेक्ष पताभिगमन,পরম ঠিকানাযোগ্যতা
निरपेक्ष कोडांतरक,পরম সংযোজনকারী
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. পরম কোড, 2. পরম কোড"
निरपेक्ष समादेश,পরম আদেশ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
निरपेक्ष अनुदेश,পরম নির্দেশ
निरपेक्ष विधा,পরম মোড
निरपेक्ष पथ,পরম পথ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
अमूर्त वर्ग,বিমূর্ত ক্লাস
अमूर्त आंकड़ा प्रकार,বিমূর্ত তথ্য প্রকার
अमूर्त मशीन,বিমূর্ত মেশিন
अमूर्त प्रतीक,বিমূর্ত প্রতীক
अमूर्त वाक्य विन्यास,বিমূর্ত বাক্য গঠন
स्वीकृति परीक्षण,স্বীকৃতি পরীক্ষা
अभिगम प्रमाणन,অ্যাক্সেস সার্টিফিকেশন
"1. अभिगम कूट ,2. अभिगम कोड","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
अभिगम नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
अभिगम क्रमवीक्षण,অ্যাক্সেস স্ক্যানিং
सहयंत्र,আনুষাঙ্গিক
लेखा,অ্যাকাউন্টিং
"1. एकाउंट आई डी ,2. लेखा पहचान","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
संचायक,সঞ্চয়কারী
"1. विशुद्धता ,2. यर्थाथता","1. নির্ভুলতা, 2. সঠিকতা"
अभिगम,অ্যাক্সেস
अभिगम नियंत्रण बाइट,অ্যাক্সেস নিয়ন্ত্রণ বাইট
अभिगम सूचक,অ্যাক্সেস সূচক
अभिगम कुंजी,অ্যাক্সেস কী
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
अभिगम विधा,অ্যাক্সেস মোড
अभिगम विशेषाधिकार,সুযোগ সুবিধা
अभिगम सुरक्षा,অ্যাক্সেস নিরাপত্তা
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
अभिगम काल,প্রবেশাধিকার সময়
अभिस्वीकृति,স্বীকৃতি
ध्वनिकी,ধ্বনিবিদ্যা
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
क्रिया संदेश,কর্ম বার্তা
सक्रियण,সক্রিয়করণ
सक्रिय सर्वर पृष्ठ,সক্রিয় সার্ভার পৃষ্ঠা
सक्रिय वर्जन,সক্রিয় সংস্করণ
अचक्रीय,অ্যাসাইক্লিক
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
एडा कंप्यूटर भाषा,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. अनुकूलक ,2. अनुकूलित्र","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
योग (करना),যোগ করা)
योग संचिका,সমষ্টি ফাইল
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
योजक,যোগকারী
पता,জানি
पता बस,ঠিকানা বাস
पता संचिका,ঠিকানা ফাইল
पता आरूप,ঠিকানা বিন্যাস
पता जनक,ঠিকানা জেনারেটর
पता पंक्ति,ঠিকানা লাইন
पता प्रतिचित्रण,ঠিকানা ম্যাপিং
पता संकेतक,ঠিকানা নির্দেশক
पता पंजी,ঠিকানা রেজিস্টার
पता विघटन,ঠিকানা ভাঙ্গন
पता अनुवाद,ঠিকানা অনুবাদ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
पताभिगमन,সম্বোধন
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
संलग्न,সংযুক্তি
"1. प्रबंधन ,2. नियंत्रण","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. प्रबंधक ,2. नियंत्रक","1. ম্যানেজার, 2. নিয়ামক"
ऐडोब एक्रोबेट,অ্যাডোবি অ্যাক্রোব্যাট
ऐडोब फोटोशोप,অ্যাডোবি ফটোশপ
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा","1. উন্নত তথ্য, 2. উন্নত তথ্য"
उन्नत सूचना तंत्र,উন্নত তথ্য সিস্টেম
उन्नत प्रौद्योगिकी (ए टी),উন্নত প্রযুক্তি (AT)
कर्मक,কর্ম
समुच्चयन,সমষ্টি
