Odiya,Hindi
ଆମ୍ପେର୍ (ୟୁନିଟ୍),ऐम्पियर (मात्रक)
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |,ऐंगस्ट्रम
ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ए-वर्ग प्रवर्धक
ଏକ ରେଡିଓ ସାହା |,ए.एन रेडियो सहाय
ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |,ए-क्रमवीक्षण प्रस्तुति
a-darsh,ए-दर्श
ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |,ए-स्कोप प्रदर्शन
A-T ବକ୍ର ସ୍ଫଟିକ୍ |,ए-टी कर्तित क्रिस्टल
"ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
ମୁଁ,पूर्वाह्न
AMU (ପରମାଣୁ ମାସ ଏକକ),ए.एम.यू. (परमाणु संहति मात्रक)
aard-vark *,आर्ड-वार्क*
ab-ampere,ऐब-ऐम्पियर
A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ए-बी वर्ग प्रवर्धक
ଆଦା,आदितः
A-B ଶକ୍ତି ପିଟାକା |,ए-बी शक्ति पिटक
abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର),ऐबे संख्या (ऐबे नियतांक)
abe refractometer,ऐबे अपवर्तनमापी
ଆବେ ସାଇନ ଅବସ୍ଥା |,ऐबे ज्या अवस्था
ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |","विपथन, अपेरण"
ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |,विपथन संशोधक लेन्स
ଆକାଶ ଅବକ୍ଷୟ |,आकाश-विपथन
abfarad,एबफैराड
ଏବେନେରୀ |,एबहेनरी
ଇବୋନି ପ୍ରଭାବ |,ऐबनी प्रभाव (ऐबनी नियम)
ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |,अपसामान्य ध्रुवण
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,अपसामान्य संचरण
ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |,अपसामान्य परावर्तन
ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *,अपसामान्य अपवर्तन*
ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"ଅଗ୍ରାଧିକାର, ବିଫଳତା |","पूर्वपात, विफलन"
"ସଂଲଗ୍ନ, ସାଧାରଣତ ,, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
