Odiya,Marathi
ଆମ୍ପେର୍ (ୟୁନିଟ୍),अँपिअर (युनिट)
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |,angstrum
ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ए-क्लास अॅम्प्लिफायर
ଏକ ରେଡିଓ ସାହା |,एएन रेडिओ सहाय
ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |,एक-स्कॅनिंग सादरीकरण
a-darsh,a-darsh
ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |,ए-स्कोप कामगिरी
A-T ବକ୍ର ସ୍ଫଟିକ୍ |,A-T वक्र क्रिस्टल
"ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
ମୁଁ,आहे
AMU (ପରମାଣୁ ମାସ ଏକକ),AMU (अणु वस्तुमान एकक)
aard-vark *,आर्ड-वार्क*
ab-ampere,ab-ampere
A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A-B वर्ग अॅम्प्लिफायर
ଆଦା,adah
A-B ଶକ୍ତି ପିଟାକା |,A-B शक्ती पिटक
abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |,abc = संरेखन चार्ट = nomograph
ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର),अबे क्रमांक (अबे स्थिरांक)
abe refractometer,abe refractometer
ଆବେ ସାଇନ ଅବସ୍ଥା |,अबे साइन राज्य
ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |",विकृती
ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |,विकृती सुधारक लेन्स
ଆକାଶ ଅବକ୍ଷୟ |,आकाश विकृती
abfarad,abfarad
ଏବେନେରୀ |,एबेनरी
ଇବୋନି ପ୍ରଭାବ |,इबोनी प्रभाव
ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |,असामान्य ध्रुवीकरण
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,असामान्य प्रसार
ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |,अलौकिक प्रतिबिंब
ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *,असामान्य अपवर्तन*
ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |,अलौकिक प्रतिकार
ab-om,ab-om
"ଅଗ୍ରାଧିକାର, ବିଫଳତା |","प्राबल्य, अपयश"
"ସଂଲଗ୍ନ, ସାଧାରଣତ ,, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |","संलग्न, सहसा, उभे, विभक्त, खंडित"
ବାରମ୍ବାର ଡେଇଁପଡେ |,अनेकदा उडी मारते
ହାତ *,हात*
ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |,हरवलेले प्रतिबिंब
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,गहाळ स्पेक्ट्रम
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ,परिपूर्ण प्रवेग
ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |,परिपूर्ण वास्तव
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,परिपूर्ण पत्ता
ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |,भौगोलिक उच्चांक
ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |,भौगोलिक उंची
ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |,परिपूर्ण अँपिअर
ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |,परिपूर्ण उकळत्या बिंदू
ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |,परिपूर्ण प्रकाश
ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା,परिपूर्ण क्षमता
ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |,परिपूर्ण उंची
ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |,परिपूर्ण रंगद्रव्य
"ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |,परिपूर्ण कूलॉम्ब
ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |,पूर्ण अंधार
ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ,परिपूर्ण वेळापत्रक
