Telugu,Gujarati
తగ్గింపు,ખર્ચ
సంక్షిప్తీకరణ,સંક્ષેપ
అపహరణ,અપહરણ
Abeyance,સ્થગ
సామర్థ్యం,ક્ષમતા
అబ్ ఇనిషియో,આરંભ
సామర్థ్యం,કઠોર
అసాధారణ,અસામાન્ય
రద్దు,નાબૂદી
నిర్మూలన పోస్ట్,નાબૂદી પોસ્ટ
పైన పేర్కొన్నారు,ઉપર ઉલ્લેખ કર્યો છે
పైన కోట్ చేయబడింది,ઉપર જણાવેલ
పైన చెప్పారు,ઉપર જણાવ્યું હતું કે
లేకపోవడం,ગેરહાજરી
హాజరుకాని,ગેરહાજર
హాజరుకానితనం,ગેરહાજરી
హాజరుకాని ప్రకటన,અનુપસ્થિત નિવેદનો
సంపూర్ణ,અબાધિત
సంపూర్ణ గుత్తాధిపత్యం,અબાધિત ઈજારો
సంపూర్ణ యాజమాన్యం,અબાધિત માલિકી
శోషణ,સમાવેશ
నైరూప్య,નિષ્ક્રિય
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,અખબારો
అసంబద్ధం,વાહિયાત
సమృద్ధి,વિપુલતા
అధికార దుర్వినియోగం,સત્તાનો દુરુપયોગ
దుర్వినియోగ భాష,અપશબ્દો
విద్యావేత్త,શૈક્ષણિક
విద్యా చర్చ,શૈક્ષણિક ચર્ચા
విద్యా సెలవు,શૈક્ષણિક રજા
విద్యా అర్హత,શૈક્ષણિક લાયકાત
విద్యా రికార్డు,વિદ્યા
ACCEDE,સહયોગ કરવો
అంగీకరించండి,સ્વીકારવું
అంగీకారం,સ્વીકૃતિ
కార్యాలయం అంగీకారం,પદની સ્વીકૃતિ
టెండర్ అంగీకారం,પ્રતિજ્ ofા
యాక్సెస్,પ્રવેશ
ప్రవేశం,સંચાર
అనుబంధ,સહાયક
ప్రమాదం,અકસ્માત
అలవాటు,સ્વાર્થીકરણ
వసతి,આવાસ
తోడు,સંલગ્ન
ఒప్పందం,સંલગ્ન
అనుగుణంగా,અનુસાર
దీని ప్రకారం,તદનુસાર
ఖాతా,હિસાબ
జవాబుదారీతనం,જવાબદારી
జవాబుదారీతనం,જવાબદાર
అకౌంటెన్సీ,હિસાબની સંખ્યા
అకౌంటెంట్,હિસાબ રાખનાર
ఖాతా,માટે એકાઉન્ટ
ఖాతా హెడ్,હિસાબનું માથું
సేకరించిన ప్రయోజనం,ઉપાર્જિત લાભ
పెన్షన్ పెన్షన్,ઉપાર્જિત પેન્શન
చేరడం,સંચય
ఖచ్చితత్వం,ચોકસાઈ
ఖచ్చితమైనది,ચોક્કસ
నిందించండి,આક્ષેપ કરવો
ఆరోపణలు,આરોપી
సాధన,સિદ્ધિ
గుర్తింపు,સ્વીકૃતિ
రసీదు గడువు,સ્વીકૃતિ
పరిచయము,પરિચય
సముపార్జన,સંપાદન
సముపార్జన,મુક્તિ
చట్టం,કૃત્ય
నటన భత్యం,કાર્યકારી ભથ્થું
చర్య,ક્રિયા
కార్య ప్రణాళిక,કાર્ય યોજના
క్రియాశీల,સક્રિય
చురుకుగా,સક્રિયપણે
కార్యకర్త,સક્રિયકાર્ય
దైవఘటన,ભગવાનનો કૃત્ય
దుష్ప్రవర్తన చర్య,ગેરવર્તન
కమీషన్ మరియు కమీషన్,કમિશન અને કમિશન અને બાદબાકી
అసలు,વાસ્તવિક
వాస్తవాలు,વાસ્તવિક
అనుసరణ,અનુકૂલન
అదనంగా,વધારા
అదనపు ఛార్జ్,વધારાનો ખર્ચ
అదనపు ఫండ్,વધારાના નિધિ
అదనపు గ్రాంట్,વધારાની અનુદાન
అదనపు సమాచారం,વધારાની માહિતી
అదనపు వేతనం,વધારાનો પગાર
అదనంగా మరియు మార్పు,ઉમેરો અને ફેરફાર
చిరునామా,સંબોધન
చిరునామా,સંબોધન કરનાર
స్వాగత చిరునామా,સ્વાગતનું સરનામું
తగినంత,પૂરતું
కట్టుబడి,ને અનુરૂપ બનાવવું
తాత్కాలిక హాక్,તદર્થ
తాత్కాలిక దావా,તદર્થપત્ર
తాత్కాలిక కమిటీ,તદર્થ સમિતિ
తాత్కాలిక పెరుగుదల,તદર્થ વધારો
తాత్కాలిక చెల్లింపు,તદ્દન ચુકવણી
ప్రక్కనే,અડીને
ప్రక్కనే (= పరస్పర),અડીને (= સુસંગત)
వాయిదా,મોકૂફી
వాయిదా చలన,મોકૂફીની દરખાસ્ત
అనుబంధం,ન્યાયનિર્ણય કરવો
తీర్పు,ન્યાયનિર્ણય કરવો
తీర్పు,ન્યાયનિર્ણય
న్యాయాధికారి,ન્યાયનિધીકરણ કરનાર
సర్దుబాటు,સમાયોજન
నిర్వహించండి,સંચાલન કરવું
ప్రమాణం చేయండి,સોગંદ કરવો
పరిపాలన,વહીવટ
న్యాయం యొక్క పరిపాలన,ન્યાય પ્રણાલી
పరిపాలనా,વહીવટી
పరిపాలనా చర్య,વહીવટી પગલાં
అడ్మినిస్ట్రేటివ్ అప్రైసల్,વહીવટી મૂલ્યાંકન
పరిపాలనా ఆమోదం,વહીવટી મંજૂરી
పరిపాలనా అధికారం,વહીવટી સત્તા
పరిపాలనా నియంత్రణ,વહીવટી નિયંત્રણ
పరిపాలనా నిర్ణయం,વહીવટી નિર્ણય
పరిపాలనా విభాగం,વહીવટી વિભાગ
అడ్మినిస్ట్రేటివ్ హెడ్,વહીવટી વડા
పరిపాలనా ప్రధాన కార్యాలయం,વહીવટી મથક
పరిపాలనా చర్యలు,વહીવટી પગલાં
పరిపాలనా శక్తి,વહીવટી સત્તા
పరిపాలనా అనుమతి,વહીવટી મંજૂરી
పరిపాలనా సాంకేతికత,વહીવટી તકનીક
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,વહીવટી પંચ
ప్రవేశం,સ્વીકાર્યતા
ఆమోదయోగ్యమైన వ్యయం,સ્વીકાર્ય ખર્ચ
అంగీకరించండి,કબૂલવું
అడ్మిట్ కార్డ్,પ્રવેશ કાર્ડ
అంగీకరించారు,સ્વીકૃત
సలహా,સલાહ આપવી
దత్తత తీసుకున్న వ్యక్తి,દત્તક
దత్తత,અપનાવનાર
దత్తత,દત્તક
వయోజన,પુખ્ત
కల్తీ,ભેગ
వ్యభిచారం,વ્યભિચાર
వయోజన ఫ్రాంచైజ్,પુખ્ત મતાધિકાર
ప్రకటన విలువ,બહાનું
