Bengali,Hindi
অবসান,"उपशमन, कमी"
সংক্ষেপণ,संक्षिप्‍ति
অপহরণ,अपहरण
অবসান,प्रास्थगन
ক্ষমতা,योग्यता
অ্যাব initio,"आदित:, आरंभ से"
সক্ষম,योग्य
অস্বাভাবিক,अपसामान्य
বিলুপ্তি,"उन्मूलन, समाप्‍ति"
বিলোপ পোস্ট,पद समाप्‍ति
উপর্যুক্ত,"ऊपर उल्लिखित, उपर्युक्‍त"
উপরে উদ্ধৃত,ऊपर उद्‍धृत
উপরে বলেছেন,उपर्युक्‍त
অনুপস্থিতি,"अनुपस्थिति, गैरहाजि़री, अभाव"
অনুপস্থিত,"अनुपस्थित, ग़ैरहाजि़र"
অনুপস্থিতি,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
অনুপস্থিত বিবৃতি,अनुपस्थिति-विवरण
পরম,"पूर्ण, निरपेक्ष"
পরম একচেটিয়া,पूर्ण एकाधिकार
পরম মালিকানা,पूर्ण स्वामित्व
শোষণ,"आमेलन, अवशोषण"
বিমূর্ত,सार
অ্যাবস্ট্রাক্টস্টেটমেন্ট,सार-विवरण
অযৌক্তিক,"अर्थहीन, बेतुका"
প্রাচুর্য,प्रचुरता
ক্ষমতার অপব্যবহার,शक्‍ति का दुरुपयोग
অবমাননাকর ভাষা,गाली-गलौज
একাডেমিক,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
একাডেমিক আলোচনা,शास्त्रीय चर्चा
একাডেমিক ছুটি,अकादमिक छुट्टी
শিক্ষাগত যোগ্যতা,शैक्षिणिक अर्हता
একাডেমিক রেকর্ড,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
প্রশংসা,"मान लेना, अधिमिलन होना"
গ্রহণ,"स्वीकार करना, मानना"
গ্রহণযোগ্যতা,"स्वीकृति, प्रतिग्रहण"
অফিস গ্রহণ,पद-स्वीकृति
দরপত্র গ্রহণ,निविदा की स्वीकृति
অ্যাক্সেস,पहुंच
প্রবেশ,"राज्यारोहण, पदारोहण, परिग्रहण"
আনুষঙ্গিক,"अनुषंगी, उपसाधन"
দুর্ঘটনা,"दुर्घटना, संयोग"
প্রশংসাপত্র,पर्यनुकूलन
থাকার ব্যবস্থা,"आवास, निर्वाह, समंजन"
সহকারী,संगकार
চুক্তি,"समझौता, प्रदान करना, देना"
অ্যাকশন,"अनुरूपता, संगति"
তদনুসারে,तदनुसार
অ্যাকাউন্ট,"लेखा, खाता, हिसाब"
দায়িত্ব,जवाबदेही
দায়ী,"जवाबदेह, देनदार"
হিসাবরক্ষণ,"लेखा विधि, लेखा कार्य"
হিসাবরক্ষক,लेखाकार
কি কারণে,"कारण बताना, लेखा-जोखा देना"
অ্যাকাউন্ট হেড,लेखा-शीर्ष
অর্জিত সুবিধা,प्रोद्‌भूत हितलाभ
পেনশন আদায়,प्रोद्‌भूत पेन्शन
জমা,"संचय, संचयन"
সঠিকতা,"यथार्थता, परिशुद्‌धता"
নির্ভুল,"यथार्थ, सही, परिशुद्‌ध"
অভিযোগ,अभियोग लगाना
অভিযুক্ত,अभियुक्‍त
অর্জন,उपलब्‍धि
স্বীকৃতি,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
স্বীকৃতি বকেয়া,"पावती पत्र, रसीदी"
পরিচিত,"(व्यक्‍ति) परिचित, परिचय"
অধিগ্রহণ,"अधिग्रहण, अर्जन"
খালাস,"भुगतान, भरपाई, निस्तारण"
আইন,"कार्य, कृत्य, अधिनियम"
অভিনয় ভাতা,कार्यकारी भत्‍ता
কর্ম,"कार्रवाई, क्रिया, कार्य, संघर्ष"
অ্যাকশন প্ল্যান,कार्य योजना
সক্রিয়,सक्रिय
