Marathi,Hindi
"1.अॅबॅकस, 2. मोजणी","1.एबेकस, 2. गिनतारा"
असामान्य शेवट,असामान्य समापन
इंटरसेप्ट,अवरोधन
"1. निरपेक्ष, 2. सर्वोच्च","1. निरपेक्ष, 2. परम"
परिपूर्ण पत्ता,निरपेक्ष पता
परिपूर्ण पत्ता योग्यता,निरपेक्ष पताभिगमन
परिपूर्ण असेंबलर,निरपेक्ष कोडांतरक
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
निरपेक्ष आज्ञा,निरपेक्ष समादेश
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
परिपूर्ण सूचना,निरपेक्ष अनुदेश
परिपूर्ण मोड,निरपेक्ष विधा
परिपूर्ण मार्ग,निरपेक्ष पथ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
अमूर्त वर्ग,अमूर्त वर्ग
अमूर्त डेटा प्रकार,अमूर्त आंकड़ा प्रकार
अमूर्त मशीन,अमूर्त मशीन
अमूर्त चिन्ह,अमूर्त प्रतीक
अमूर्त वाक्यरचना,अमूर्त वाक्य विन्यास
स्वीकृती चाचणी,स्वीकृति परीक्षण
प्रवेश प्रमाणपत्र,अभिगम प्रमाणन
"1. प्रवेश कोड, 2. प्रवेश कोड","1. अभिगम कूट, 2. अभिगम कोड"
प्रवेश नियंत्रण,अभिगम नियंत्रण
प्रवेश स्कॅनिंग,अभिगम क्रमवीक्षण
उपकरणे,सहयंत्र
लेखा,लेखा
"1. खाते आयडी, 2. लेखा ओळख","1. एकाउंट आई डी, 2. लेखा पहचान"
संचयक,संचायक
"1. अचूकता, 2. अचूकता","1. विशुद्धता, 2. यर्थाथता"
प्रवेश,अभिगम
प्रवेश नियंत्रण बाइट्स,अभिगम नियंत्रण बाइट
प्रवेश सूचक,अभिगम सूचक
प्रवेश की,अभिगम कुंजी
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
प्रवेश मोड,अभिगम विधा
प्रवेश विशेषाधिकार,अभिगम विशेषाधिकार
प्रवेश सुरक्षा,अभिगम सुरक्षा
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
प्रवेश वेळ,अभिगम काल
पोचपावती,अभिस्वीकृति
ध्वनीशास्त्र,ध्वनिकी
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
क्रिया संदेश,क्रिया संदेश
सक्रियकरण,सक्रियण
सक्रिय सर्व्हर पृष्ठ,सक्रिय सर्वर पृष्ठ
सक्रिय आवृत्ती,सक्रिय वर्जन
अॅसायक्लिक,अचक्रीय
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
अडा संगणक भाषा,एडा कंप्यूटर भाषा
"1. ऑप्टिमायझर, 2. अनुकूलक","1. अनुकूलक, 2. अनुकूलित्र"
बेरीज करण्यासाठी),योग (करना)
बेरीज फाइल,योग संचिका
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. जोड़ संक्रिया, 2. योग संक्रिया"
जोडणारा,योजक
जाणून घ्या,पता
पत्ता बस,पता बस
पत्ता फाइल,पता संचिका
पत्त्याचे स्वरूप,पता आरूप
पत्ता जनरेटर,पता जनक
पत्ता ओळ,पता पंक्ति
पत्ता मॅपिंग,पता प्रतिचित्रण
पत्ता सूचक,पता संकेतक
पत्ता नोंदवही,पता पंजी
पत्ता ब्रेकडाउन,पता विघटन
पत्ता अनुवाद,पता अनुवाद
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
संबोधित,पताभिगमन
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
संलग्नक,संलग्न
"1. व्यवस्थापन, 2. नियंत्रण","1. प्रबंधन, 2. नियंत्रण"
"1. व्यवस्थापक, 2. नियंत्रक","1. प्रबंधक, 2. नियंत्रक"
adobe acrobat,ऐडोब एक्रोबेट
अडोब फोटोशाॅप,ऐडोब फोटोशोप
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
प्रगत माहिती प्रणाली,उन्नत सूचना तंत्र
प्रगत तंत्रज्ञान (AT),उन्नत प्रौद्योगिकी (ए टी)
क्रिया,कर्मक
एकत्रीकरण,समुच्चयन
