Kannada,Tamil
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,உயிரற்ற இனப்பெருக்கம்
ಅಧಿಸಾಮಾನ್ಯ,அமானுஷ்ய
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. நான்காவது வயிறு 2. எவோமாசோம்
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,வயிற்று வளர்ச்சி உறுப்பு
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,வளர்ச்சி குன்றிய விதை
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,உறிஞ்சப்பட்ட கேஷன்
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,உறிஞ்சுதல்
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,அபிசீனிய கடுகு
1. ಅಕಾರಿಸೈಡ್,1. காரக்கொல்லி
ಕೇಂದ್ರಾಭಿಮುಖ,மையவிலக்கு
ವರ್ಧನೆ (ಕೋಶ),பெருக்கம் (செல்)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.கூடுதல் 2.துணை 3.துணை
ರೂಪಾಂತರ,தழுவல்
ಶೇಖರಣೆ,திரட்சி
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1.vacuracy 2. துல்லியம்
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್,1. அமிலமானி 2. அமிலமானி
ಆಮ್ಲೀಯತೆ,அமிலத்தன்மை
ಅಸಿಡೋಫೈಲ್,அமிலத்தன்மை
ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
ಆಮ್ಲೀಕೃತ,அமிலமாக்கப்பட்ட
ಜಲಚರ,நீர்நிலை
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,கையகப்படுத்தல்
ಎಕರೆ,ஏக்கர்
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. பகுதி 2. பகுதி
ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್,இறுதி புள்ளி குரோமோசோம்
ಮುಂದೆ ನೋಡುವ,முன்னோக்கு
ಅಕ್ರೋಸೋಮ್,குரோசோம்
ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್,ஆக்டினோமைசீட்ஸ்
ಸಕ್ರಿಯ ಕೋರ್,செயலில் உள்ள மைய
1. ಉಗ್ರ 2. ತೀವ್ರ,1. சீற்றம் 2. தீவிரம்
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,தழுவல்
ಗ್ರಾಹಕೀಕರಣ,தனிப்பயனாக்கம்
1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,1. ஒட்டுதல் 2. ஒட்டுதல்
ಮೇದಸ್ಸಿನ,செபாசியஸ்
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,சரிசெய்தல் சமன்பாடு
ಅಡೋಬ್ ಮಣ್ಣು,அடோப் மண்
ಕಲಬೆರಕೆ,கலப்படம்
ಅಪಸ್ಥಾನೀಯ,எக்டோபிக்
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
