Telugu,Bengali
అసాధారణ,অস্বাভাবিক
అబార్ట్,গর্ভপাত
అబ్రేషన్,ঘর্ষণ
ఆకస్మిక,আকস্মিক
సంపూర్ణ క్షేత్ర బలం,পরম ক্ষেত্র শক্তি
సంపూర్ణ ఉష్ణోగ్రత,পরম তাপমাত্রা
సంపూర్ణ విలువ,পরম মান
గ్రహించండి,শোষণ
శోషణ సహ-సమర్థత,শোষণ গুণাঙ্ক
శోషణ నష్టం,শোষণ ক্ষতি
నైరూప్య,বিমূর্ত
యాక్సిలెరోమీటర్,অ্যাক্সিলোমিটার
అంగీకార పరీక్ష,স্বীকৃতি পরীক্ষা
యాక్సెస్,অ্যাক্সেস
యాక్సెస్ నియంత్రణ,প্রবেশাধিকার নিয়ন্ত্রণ
యాక్సెస్ పాయింట్,এক্সেস পয়েন্ট
ప్రాప్యత సమయం,প্রবেশাধিকার সময়
సౌలభ్యాన్ని,অ্যাক্সেসযোগ্যতা
సంచిత కణం,একুমুলেটর সেল
ఖచ్చితత్వం,সঠিকতা
ఖచ్చితమైనది,নির্ভুল
అచ్రోమాటిక్ లెన్స్,অ্যাক্রোমেটিক লেন্স
ఆమ్లము,অ্যাসিড
యాసిడ్ ప్రూఫ్,অ্যাসিড প্রুফ
ఆమ్లత్వం,অম্লতা
రసీదు బిట్,স্বীকৃতি বিট
శబ్ద,অ্যাকোস্টিক
ఎకౌస్టిక్ కమ్యూనికేషన్,অ্যাকোস্টিক যোগাযোগ
శబ్ద వ్యాప్తి,অ্যাকোস্টিক প্রসারণ
ఎకౌస్టిక్ ఈక్వలైజర్,অ্যাকোস্টিক ইকুয়ালাইজার
శబ్ద అభిప్రాయం,অ্যাকোস্টিক প্রতিক্রিয়া
శబ్ద వడపోత,অ্যাকোস্টিক ফিল্টার
శబ్ద ఇంపెడెన్స్,শব্দের সংরোধ
ఎకౌస్టిక్ మాస్కింగ్,অ্যাকোস্টিক মাস্কিং
శబ్ద శక్తి,অ্যাকোস্টিক শক্তি
శబ్ద ఆస్తి,অ্যাকোস্টিক সম্পত্তি
శబ్ద ప్రతిచర్య,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ఎకౌస్టిక్ రిఫ్లెక్స్,অ্যাকোস্টিক রিফ্লেক্স
శబ్ద టైల్,অ্যাকোস্টিক টাইল
శబ్ద వేవ్,অ্যাকোস্টিক তরঙ্গ
శబ్ద శోషణ,শাব্দিক শোষণ
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,শাব্দিক মনোযোগ ধ্রুবক
శబ్ద డంపింగ్,শাব্দিক স্যাঁতসেঁতে
శబ్ద ఆలస్యం రేఖ,শাব্দিক বিলম্ব লাইন
శబ్ద వక్రీకరణ,শাব্দিক বিকৃতি
శబ్ద వాహిక,শাব্দিক নালী
శబ్ద శక్తి,শাব্দিক শক্তি
శబ్ద అభిప్రాయం,শাব্দিক প্রতিক্রিয়া
శబ్ద వడపోత,শাব্দিক ফিল্টার
శబ్ద ఇంపెడెన్స్,শাব্দিক প্রতিবন্ধকতা
శబ్ద ప్రచారం స్థిరాంకం,শাব্দিক প্রচার ধ্রুবক
శబ్ద నిరోధకత,শাব্দিক প্রতিরোধের
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,শাব্দিকভাবে অন্তরক
ధ్వని,অ্যাকোস্টিকস
సముపార్జన,অধিগ্রহণ
ఎక్రోనిం,সংক্ষিপ্ত বিবরণ
కార్యాచరణ ప్రాంతం,অ্যাকশন এরিয়া
సక్రియం చేయబడిన ఫిలమెంట్,সক্রিয় ফিলামেন্ট
క్రియాశీల,সক্রিয়
క్రియాశీల ప్రాంతం,সক্রিয় এলাকা
క్రియాశీల విండో,সক্রিয় উইন্ডো
అనుకూలత,অভিযোজনযোগ্যতা
అడాప్టర్,অ্যাডাপ্টার (অ্যাডাপ্টার)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
చిరునామా పుస్తకం,ঠিকানা বই
చిరునామా బస్సు,ঠিকানা বাস
చిరునామా తీర్మానం,ঠিকানা রেজোলিউশন
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,সংলগ্ন চ্যানেল হস্তক্ষেপ
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,সংলগ্ন চ্যানেল নির্বাচন
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,সংলগ্ন ফ্রিকোয়েন্সি
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,সংলগ্ন ছবি ক্যারিয়ার
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,সংলগ্ন সাউন্ড ক্যারিয়ার
ప్రక్కనే ఉన్న స్టేషన్,সংলগ্ন স্টেশন
సర్దుబాటు,সামঞ্জস্যযোগ্য
సర్దుబాటు కండెన్సర్,সামঞ্জস্যযোগ্য কনডেন্সার
సర్దుబాటు ఒత్తిడిని,সামঞ্জস্য চাপ
రెంచ్ సర్దుబాటు,সামঞ্জস্য করা রেঞ্চ
సర్దుబాటు,সামঞ্জস্য
నిర్వాహకుడు,প্রশাসক
అధునాతన సాంకేతిక పరిజ్ఞానం,উন্নত প্রযুক্তি
ఆకాశయాన,এরিয়াল
వైమానిక శ్రేణి,এরিয়াল অ্যারে
వైమానిక బూస్టర్,এরিয়াল বুস্টার
వైమానిక ప్రవాహం,এরিয়াল কারেন্ট
వైమానిక ఎర్తింగ్ స్విచ్,এরিয়াল আর্থিং সুইচ
వైమానిక సామర్థ్యం,বায়বীয় দক্ষতা
వైమానిక ఇంపెడెన్స్,বায়বীয় প্রতিবন্ধকতা
వైమానిక ఇండక్టెన్స్,এরিয়াল ইন্ডাক্ট্যান্স
వైమానిక అవాహకం,এরিয়াল ইনসুলেটর
వైమానిక లోడింగ్ కాయిల్,এরিয়াল লোডিং কয়েল
వైమానిక ఫోటోగ్రఫీ,আকাশ থেকে ছবি তোলা
