Hindi,Bengali
ए बी वर्ग प्रवर्धक,A B শ্রেণীর পরিবর্ধক
"विपथन,अपेरण",বিকৃতি
असामान्य संचरण,অস্বাভাবিক সংক্রমণ
"असंलग्न,सहसा ,खड़आ,विच्छिन्न,खंडित","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
लुप्त स्पेक्ट्रम,অনুপস্থিত বর্ণালী
"निरपेक्ष,परम,अचर,परिशुद्ध","পরম, পরম, ধ্রুবক, নিখুঁত"
निरपेक्ष आर्द्रता,পরম আর্দ্রতা
निरपेक्ष गति,পরম গতি
निरपेक्ष प्रेक्षण,পরম পর্যবেক্ষণ
परम ताप,পরম তাপমাত্রা
परम शून्य,পরম শূন্য
अवशोषण करना,শোষণ করা
"अवशोषक, अवशोषी","শোষক, শোষক"
अवशोषण सामर्थ्य,শোষণ ক্ষমতা
अवशोषणांश,শোষণ
अवशोषी,শোষক
अवशोषकता,শোষণ
बाहुल्य अनुपात,বহুগুণ অনুপাত
त्वरित करना,ত্বরান্বিত করা
त्वरित,তাড়াতাড়ি
त्वरण,ত্বরণ
गुरुत्व त्वरण,অভিকর্ষের ত্বরণ
त्वरक,এক্সিলারেটর
"त्वरित्र,त्वरक",এক্সিলারেটর
त्वरणमापी,অ্যাক্সিলোমিটার
प्राक्प्रबलक,prestresser
स्वीकारी परीक्षण,গ্রহণযোগ্য পরীক্ষা
"ग्राही,स्वीकारी",গ্রহণকারী
आदाता अणु,দাতা অণু
"अभिगम,प्रतीक्षा,अभिगम्यता","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
अभिगम्यता,অ্যাক্সেসযোগ্যতা
"अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
अभिगम काल,প্রবেশাধিকার সময়
आगन्तुक त्रुटि,ভিজিটর ত্রুটি
समंजन,সমন্বয়
संचित,পুঞ্জীভূত
"संचय,संचयन","accumulation, accumulation"
संचायक,সঞ্চয়কারী
यथार्थता,সঠিকতা
यथार्थ,বাস্তবতা
अवर्णक लेन्स,অ্যাক্রোমেটিক লেন্স
अवर्णक,অ্যাক্রোমেটিক
अवर्णकता,বর্ণহীনতা
ध्वानिक,শাব্দিক
ध्वनिरुद्ध,শব্দরোধী
ध्वानिक फ़ओनॉन,শাব্দিক ফোনন
ध्वनि-मात्रक,শব্দ ইউনিট
ध्वानिक,শাব্দিক
ध्वनि जनित्र,শব্দ জেনারেটর
क्रिया और प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
सक्रियण,সক্রিয়করণ
सक्रियण उर्जा,অ্যাক্টিভেশন শক্তি
"सक्रियकारक,सक्रियक","সক্রিয়কারী, সক্রিয়কারী"
सक्रिय,সক্রিয়
सक्रियता,সক্রিয়তা
वास्तविक प्रतिबल,প্রকৃত চাপ
क्षिप्र उद्भासन,ফিসফিস
