Assamese,Tamil
অজৈৱিক প্ৰজনন,உயிரற்ற இனப்பெருக்கம்
অস্বাভাৱিক,அமானுஷ்ய
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. நான்காவது வயிறு 2. எவோமாசோம்
ষ্টোমেটাল বৃদ্ধিৰ অংগ,வயிற்று வளர்ச்சி உறுப்பு
স্তব্ধ বৃদ্ধিৰ বীজ,வளர்ச்சி குன்றிய விதை
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
শোষিত কেটিয়ন,உறிஞ்சப்பட்ட கேஷன்
শোষণ,உறிஞ்சுதல்
এবিচিনিয়ান সৰিয়হ,அபிசீனிய கடுகு
১.একেৰিচাইড,1. காரக்கொல்லி
centripetal,மையவிலக்கு
বৃদ্ধি (কোষ),பெருக்கம் (செல்)
অনুমোদিত সহনশীলতা,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.கூடுதல் 2.துணை 3.துணை
অভিযোজন,தழுவல்
সঞ্চয়,திரட்சி
1.vaccuracy 2. নিখুঁততা,1.vacuracy 2. துல்லியம்
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
১.এচিডিকৰণ ২.এচিডিকৰণ,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. அமிலமானி 2. அமிலமானி
এচিডিটি,அமிலத்தன்மை
এচিডোফাইল,அமிலத்தன்மை
এচিডিফাইড ৰক ফছফেট,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
এচিডিফাইড,அமிலமாக்கப்பட்ட
জলধাৰা,நீர்நிலை
অধিগ্ৰহণ,கையகப்படுத்தல்
একৰ,ஏக்கர்
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. பகுதி 2. பகுதி
শেষ বিন্দু ক্ৰম’জম,இறுதி புள்ளி குரோமோசோம்
আগলৈ চাই থকা,முன்னோக்கு
acrosome,குரோசோம்
actinomycetes,ஆக்டினோமைசீட்ஸ்
সক্ৰিয় কোৰ,செயலில் உள்ள மைய
1. উত্তেজিত 2. তীব্ৰ,1. சீற்றம் 2. தீவிரம்
