Tamil,Malayalam
"1.அபாகஸ், 2. எண்ணும்","1.അബാക്കസ്, 2. എണ്ണുന്നു"
அசாதாரண முடிவு,അസാധാരണമായ അവസാനം
இடைமறிக்கவும்,തടസ്സപ്പെടുത്തുക
"1. முழுமையான, 2. உச்சம்","1. കേവലം, 2. പരമോന്നത"
முழுமையான முகவரி,സമ്പൂർണ്ണ വിലാസം
முழுமையான முகவரித்திறன்,സമ്പൂർണ്ണ വിലാസക്ഷമത
முழுமையான அசெம்பிளர்,കേവല അസംബ്ലർ
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. കേവല കോഡ്, 2. കേവല കോഡ്"
முழுமையான கட்டளை,സമ്പൂർണ്ണ കമാൻഡ്
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
முழுமையான அறிவுறுத்தல்,സമ്പൂർണ്ണ നിർദ്ദേശം
முழுமையான பயன்முறை,കേവല മോഡ്
முழுமையான பாதை,കേവല പാത
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
சுருக்க வர்க்கம்,അമൂർത്ത ക്ലാസ്
சுருக்க தரவு வகை,അമൂർത്ത ഡാറ്റ തരം
சுருக்க இயந்திரம்,അമൂർത്ത യന്ത്രം
சுருக்க சின்னம்,അമൂർത്ത ചിഹ്നം
சுருக்க தொடரியல்,അമൂർത്തമായ വാക്യഘടന
ஏற்பு சோதனை,സ്വീകാര്യത പരിശോധന
அணுகல் சான்றிதழ்,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
நுழைவு கட்டுப்பாடு,പ്രവേശന നിയന്ത്രണം
அணுகல் ஸ்கேனிங்,ആക്സസ് സ്കാനിംഗ്
பாகங்கள்,സാധനങ്ങൾ
கணக்கியல்,അക്കൌണ്ടിംഗ്
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
திரட்டி,ശേഖരണം
"1. துல்லியம், 2. துல்லியம்","1. കൃത്യത, 2. കൃത്യത"
அணுகல்,പ്രവേശനം
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
அணுகல் காட்டி,പ്രവേശന സൂചകം
அணுகல் விசை,ആക്സസ് കീ
"1. அணுகல் அணி, 2. அணுகல் அணி","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
அணுகல் முறை,ആക്സസ് മോഡ്
அணுகல் சலுகைகள்,പ്രവേശനാവകാശങ്ങൾ
அணுகல் பாதுகாப்பு,ആക്സസ് സുരക്ഷ
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
அணுகல் நேரம்,പ്രവേശന സമയം
ஒப்புகை,അംഗീകാരം
ஒலியியல்,ശബ്ദശാസ്ത്രം
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
செயல் செய்தி,പ്രവർത്തന സന്ദേശം
செயல்படுத்துதல்,സജീവമാക്കൽ
செயலில் உள்ள சர்வர் பக்கம்,സജീവ സെർവർ പേജ്
செயலில் உள்ள பதிப்பு,സജീവ പതിപ്പ്
அசைக்ளிக்,അസൈക്ലിക്
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
அட கணினி மொழி,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
மொத்தத்தில்),ആകെ)
தொகை கோப்பு,തുക ഫയൽ
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
சேர்ப்பான்,ചേർക്കുന്നയാൾ
தெரியும்,അറിയുക
முகவரி பேருந்து,വിലാസം ബസ്
முகவரி கோப்பு,വിലാസ ഫയൽ
முகவரி வடிவம்,വിലാസ ഫോർമാറ്റ്
முகவரி ஜெனரேட்டர்,വിലാസ ജനറേറ്റർ
முகவரி வரி,വിലാസ ലൈൻ
முகவரி மேப்பிங்,വിലാസ മാപ്പിംഗ്
முகவரி காட்டி,വിലാസ സൂചകം
முகவரி பதிவு,വിലാസ രജിസ്റ്റർ
முகவரி முறிவு,വിലാസ തകർച്ച
முகவரி மொழிபெயர்ப்பு,വിലാസ വിവർത്തനം
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
உரையாற்றுதல்,അഭിസംബോധന
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
இணைப்பு,ബന്ധം
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. മാനേജർ, 2. കണ്ട്രോളർ"
அடோப் அக்ரோபேட்,അഡോബ് അക്രോബാറ്റ്
அடோ போட்டோஷாப்,അഡോബ് ഫോട്ടോഷോപ്പ്
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு","1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
மேம்பட்ட தகவல் அமைப்பு,വിപുലമായ വിവര സംവിധാനം
மேம்பட்ட தொழில்நுட்பம் (AT),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
நடவடிக்கை,നടപടി
திரட்டுதல்,സമാഹരണം
வான்வழி கணினி அமைப்பு,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
அல்டஸ் பக்கம்-தயாரிப்பு,ആൽഡസ് പേജ് മേക്ക്
எச்சரிக்கை பெட்டி,മുന്നറിയിപ്പ് ബോക്സ്
அல்கோல் (கணினி மொழி),അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
"1. அல்காரிதம் , 2. அல்காரிதம்","1. അൽഗോരിതം, 2. അൽഗോരിതം"
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு","1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
அல்காரிதம் திறன்,അൽഗോരിതം കാര്യക്ഷമത
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka","1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
சீரமைப்பு,വിന്യാസം
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு","1. വിഹിതം, 2. വിഹിതം"
"1. அகரவரிசை, 2. அகரவரிசையில்","1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
எண்ணெழுத்து,ആൽഫാന്യൂമെറിക്
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை","1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
ஆல்பா-சோதனை (1 வது நிலை சோதனை),ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്)
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்","1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം"
alt விசை,alt കീ
அல்டாவிஸ்டா,ആൾട്ടാവിസ്റ്റ
பன்முகத்தன்மை,ബഹുസ്വരത
தெளிவற்ற இலக்கணம்,അവ്യക്തമായ വ്യാകരണം
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii)
"1. ஒத்த, 2. அனலாக்","1. സാദൃശ്യം, 2. അനലോഗ്"
"1. அனலாக் கணினி, 2. அனலாக் கணினி","1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ"
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்","1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം"
"1. அனலாக் மோடம், 2. அனலாக் மோடம்","1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം"
டிஜிட்டல் மாற்றிக்கு அனலாக்,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു)
இறுதி சுற்று,അവസാന സർക്യൂട്ട്
இறுதி வாயில் மற்றும் வாயில்,അവസാന ഗേറ്റും ഗേറ്റും
செயல்பாடு அல்ல (விலக்கு),എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ)
"1. அனிமேஷன், 2. அதிர்வு","1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ"
குறிப்பு,കുറിപ്പ്
முரண்பாடு,പൊരുത്തക്കേട്
முந்தைய,മുമ്പത്തെ
முன்கூட்டிய பேஜிங்,മുൻകൂർ പേജിംഗ്
எதிர்-சமச்சீர்,എതിർ-സമമിതി
வைரஸ் தடுப்பு திட்டம்,ആൻറിവൈറൽ പ്രോഗ്രാം
"1. ஆப்லெட், 2. விண்ணப்பம்","1. ആപ്ലെറ്റ്, 2. അപേക്ഷ"
பயன்பாட்டு டெவலப்பர்,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
பயன்பாட்டு நிரலாக்கம்,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)","1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)"
பயன்பாட்டு மென்பொருள்,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
பயன்பாட்டு மொழி,ആപ്ലിക്കേഷൻ ഭാഷ
தோராயக் கொள்கை,ഏകദേശ തത്വം
கட்டமைப்பு,ഘടന
புல பரிமாற்றம்,ഫീൽഡ് കൈമാറ്റം
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்","1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ"
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு","1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്"
எண்கணித சரிபார்ப்பு,ഗണിത പരിശോധന
எண்கணித மாறிலி,ഗണിത സ്ഥിരാങ്കം
எண்கணித தரவு,ഗണിത ഡാറ്റ
எண்கணித அறிவுரை,ഗണിത നിർദ്ദേശം
கணிதம் மற்றும் தருக்க அலகு (ALU),മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU)
ARPA Net (RPNet),ARPA നെറ്റ് (RPNet)
வரிசை,അറേ
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்","1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി"
வரிசை கணினி,അറേ കമ്പ്യൂട്ടർ
வரிசை உறுப்பு,അറേ ഘടകം
வரிசை பெயர்,അറേ പേര്
வரிசை செயலி,അറേ പ്രോസസർ
அம்புக்குறி விசை,അമ്പടയാള കീ
ஒப்பந்தம்,ഉടമ്പടി
சந்திப்பு முனை,ജംഗ്ഷൻ പോയിന്റ്
செயற்கை சுருக்கம்,കൃത്രിമ കോംപാക്ഷൻ
செயற்கை கட்டுப்பாடு,കൃത്രിമ നിയന്ത്രണം
செயற்கை உணர்வு,കൃത്രിമബോധം
ஏற்ற,മൗണ്ട്
ஏறும் வகை,ആരോഹണ തരം
ascii எழுத்துக்கள்,ascii അക്ഷരമാല
ascii கட்டுப்பாட்டு சின்னம்,ascii നിയന്ത്രണ ചിഹ്നം
ascii கோப்பு,ascii ഫയൽ
ascii எழுத்துரு,ascii ഫോണ്ട്
ASCII பரிமாற்றம்,ASCII കൈമാറ്റം
விகிதம்,വീക്ഷണാനുപാതം
"1. ஆஸ்பி, 2. ASPI","1. ആസ്പി, 2. എ.എസ്.പി.ഐ"
ஏ எஸ் ஆர் கலாட்,എ എസ് ആർ കാലാട്
