Assamese,Marathi
এম্পিয়াৰ (ইউনিট),अँपिअर (युनिट)
angstrum,angstrum
এ-ক্লাছ এম্প্লিফায়াৰ,ए-क्लास अॅम्प्लिफायर
এ এন ৰেডিঅ&#39; সহায়,एएन रेडिओ सहाय
a-স্কেনিং উপস্থাপন,एक-स्कॅनिंग सादरीकरण
আ-দৰ্শ,a-darsh
এ-স্কোপ পৰিৱেশন,ए-स्कोप कामगिरी
A-T বক্ৰ স্ফটিক,A-T वक्र क्रिस्टल
"এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
am,आहे
এ এম ইউ (পাৰমাণৱিক ভৰ একক),AMU (अणु वस्तुमान एकक)
aard-vark* গেস্টবুক,आर्ड-वार्क*
ab-ampere,ab-ampere
A-B শ্ৰেণীৰ এম্প্লিফায়াৰ,A-B वर्ग अॅम्प्लिफायर
আদাহ,adah
ক-খ শক্তি পিটকা,A-B शक्ती पिटक
abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ,abc = संरेखन चार्ट = nomograph
Abe সংখ্যা (Abe ধ্ৰুৱক),अबे क्रमांक (अबे स्थिरांक)
abe বিবৰ্তনমাপক,abe refractometer
abe চাইন অৱস্থা,अबे साइन राज्य
স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
বিচ্যুতি,विकृती
বিচ্যুতি সংশোধক লেন্স,विकृती सुधारक लेन्स
আকাশৰ বিচ্যুতি,आकाश विकृती
abfarad,abfarad
এবেনৰী,एबेनरी
আবলুস ইফেক্ট,इबोनी प्रभाव
অস্বাভাৱিক মেৰুকৰণ,असामान्य ध्रुवीकरण
অস্বাভাৱিক সংক্ৰমণ,असामान्य प्रसार
অস্বাভাৱিক প্ৰতিফলন,अलौकिक प्रतिबिंब
অস্বাভাৱিক বিবৰ্তন*,असामान्य अपवर्तन*
পেৰানাৰ্মেল ৰেজিষ্টেন্স,अलौकिक प्रतिकार
ab-om,ab-om
"preponderance, বিফলতা","प्राबल्य, अपयश"
"সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত","संलग्न, सहसा, उभे, विभक्त, खंडित"
সঘনাই জপিয়াই পৰে,अनेकदा उडी मारते
হাত*,हात*
হেৰুৱা প্ৰতিফলন,हरवलेले प्रतिबिंब
অনুপস্থিত বৰ্ণালী,गहाळ स्पेक्ट्रम
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
নিৰপেক্ষ ত্বৰণ,परिपूर्ण प्रवेग
নিৰপেক্ষ বাস্তৱতা,परिपूर्ण वास्तव
নিৰপেক্ষ ঠিকনা,परिपूर्ण पत्ता
ভূ-আপেক্ষিক উচ্চতামাপক,भौगोलिक उच्चांक
ভূতাত্ত্বিক উচ্চতা,भौगोलिक उंची
নিৰপেক্ষ এম্পিয়াৰ,परिपूर्ण अँपिअर
নিৰপেক্ষ উতলাংক,परिपूर्ण उकळत्या बिंदू
নিৰপেক্ষ আলোকসজ্জা,परिपूर्ण प्रकाश
নিৰপেক্ষ ধাৰণক্ষমতা,परिपूर्ण क्षमता
নিৰপেক্ষ উচ্চতা,परिपूर्ण उंची
নিৰপেক্ষ ৰঞ্জক পদাৰ্থ,परिपूर्ण रंगद्रव्य
"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
নিৰপেক্ষ coulomb,परिपूर्ण कूलॉम्ब
সম্পূৰ্ণ অন্ধকাৰ,पूर्ण अंधार
নিৰপেক্ষ সময়সূচী,परिपूर्ण वेळापत्रक
নিৰপেক্ষ ঘনত্ব*,परिपूर्ण घनता*
নিৰপেক্ষ নিষ্কাশন,पूर्ण निचरा
নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক),संपूर्ण EMU (विद्युत चुंबकीय एकक)
নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক),संपूर्ण ESU (स्थिर एकक)
নিৰপেক্ষ দক্ষতা,परिपूर्ण कार्यक्षमता
নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ,परिपूर्ण इलेक्ट्रोमीटर
নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক,परिपूर्ण वारंवारता परिपूर्ण वारंवारता
নিৰপেক্ষ আৰ্দ্ৰতা,परिपूर्ण आर्द्रता
নিৰপেক্ষ প্ৰাদুৰ্ভাৱ,परिपूर्ण घटना
নিৰপেক্ষ বিবৰ্তন সূচকাংক,परिपूर्ण अपवर्तक निर्देशांक
নিৰপেক্ষ অস্থিৰতা,पूर्ण अस्थिरता
নিৰপেক্ষ অস্থিৰতা,पूर्ण अस्थिरता
"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা","परिपूर्ण तीव्रता, परिपूर्ण तीव्रता"
এষ্টেনিয়াৰ নিৰপেক্ষ সীমা,अस्थेनियाची परिपूर्ण मर्यादा
নিৰপেক্ষ আলোকসজ্জা sill,परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा
নিৰপেক্ষ পোহৰৰ বক্ৰ,परिपूर्ण प्रकाश वक्र
নিৰপেক্ষ পৰিমাণ,परिपूर्ण परिमाण
নিৰপেক্ষ বেৰ&#39;মিটাৰ,परिपूर्ण बॅरोमीटर
পৰম পৰম,सर्वोच्च सर्वोच्च
নিৰপেক্ষ চৰম,पूर्ण टोक
নিৰপেক্ষ সৰ্বনিম্ন,परिपूर्ण सर्वात कमी
নিৰপেক্ষ গতিবেগ,परिपूर्ण गती
নিৰপেক্ষ গতি,परिपूर्ण गती
নিৰপেক্ষ সংগীত,परिपूर्ण संगीत
নিৰপেক্ষ পৰ্যবেক্ষণ,परिपूर्ण निरीक्षण
নিৰপেক্ষ ওম,परिपूर्ण ओम
নিৰপেক্ষ অভিমুখীতা,परिपूर्ण अभिमुखता
নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা,परिपूर्ण विद्युत ऋणात्मकता
নিৰপেক্ষ মাধ্যাকৰ্ষণ,परिपूर्ण गुरुत्व
নিৰপেক্ষ চাপ,परिपूर्ण दबाव
নিৰপেক্ষ সম্পত্তি,परिपूर्ण मालमत्ता
নিৰপেক্ষ স্কেলাৰ,परिपूर्ण स्केलर
উষ্ণতাৰ চূড়ান্ত স্কেল*,तापमानाचे अंतिम प्रमाण*
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা","परिपूर्ण समक्रमण, परिपूर्ण समक्रमण"
নিৰপেক্ষ চাপ,पूर्ण ताण
নিৰপেক্ষ প্ৰতিসমতা,परिपूर्ण सममिती
নিৰপেক্ষ গতি শৰীৰ,परिपूर्ण गती शरीर
নিৰপেক্ষ একক ব্যৱস্থা,परिपूर्ण एकक प्रणाली
নিৰপেক্ষ উষ্ণতা,परिपूर्ण तापमान
নিৰপেক্ষ সময়,परिपूर्ण वेळ
নিৰপেক্ষ এককসমূহ,निरपेक्ष एकके
নিৰপেক্ষ মূল্য,परिपूर्ण मूल्य
পূৰ্ণসংখ্যা কেলকুলেটৰ,पूर्णांक कॅल्क्युलेटर
নিৰপেক্ষ বেগ,परिपूर्ण वेग
নিৰপেক্ষ আঠালতীয়াতা,परिपूर्ण चिकटपणा
নিৰপেক্ষ ওজন,परिपूर्ण वजन
নিৰপেক্ষ শূন্য*,पूर्ण शून्य*
শূন্যৰ নিৰপেক্ষ হজক,शून्याचा पूर्ण विभाजक
শুহি লোৱা,शोषून घेणे
শোষণ সূচকাংক*,शोषक निर्देशांक*
শোষিত শক্তি,शोषलेली ऊर्जा
"শোষক, শোষক","शोषक, शोषक"
শোষক মাধ্যম*,शोषक माध्यम*
শোষণ ক্ষমতা,शोषण क्षमता
শোষণ ক্ষমতা,शोषण
শোষণমাপক*,शोषणमापक*
শোষণমিতি*,शोषणमापन*
শোষণ,शोषण
শোষণ - বেণ্ড*,शोषण - बँड*
শোষণ বৰ্তনী,शोषण सर्किट
শোষণ সহগ,शोषण गुणांक
শোষণ স্তম্ভ,शोषण स्तंभ
শোষণ ধ্ৰুৱক,अवशोषण स्थिर
শোষণ ধাৰাবাহিকতা,शोषण सातत्य
শোষণ অঞ্চল,शोषण क्षेत्र
শোষণ কাৰেণ্ট,शोषण प्रवाह
শোষণ বক্ৰ*,शोषण वक्र*
শোষণ ভাঙন,शोषण फ्रॅक्चर
শোষণ কোৰ,शोषण कोर
শোষণ কাৰক,शोषण घटक
শোষণ ফিল্টাৰ,शोषण फिल्टर
শোষণ শিখা ফটোমেট্ৰি*,शोषण फ्लेम फोटोमेट्री*
শোষণ হাইগ্ৰ’মিটাৰ,शोषण हायग्रोमीटर
শোষণ ঘাত,शोषण घातांक
শোষণ প্ৰান্তীয়,शोषण सीमांत
শোষণ ৰেখা,शोषण रेखा
শোষণ ক্ষতি,शोषण नुकसान
শোষণ মডুলেচন,शोषण मॉड्यूलेशन
পোহৰ শোষণ,प्रकाश शोषण
বিকিৰণ শক্তি শোষণ কৰা,रेडिएशन उर्जेचे शोषण
শোষণ শিখৰ,शोषण शिखर
শোষণ আলোকমিতি,शोषण फोटोमेट्री
শোষণ অনুপাত,शोषण प्रमाण
শোষণ পৰিসৰ*,शोषण श्रेणी*
শোষণ বৰ্ণালী আলোকমিতি*,शोषण स्पेक्ट्रम फोटोमेट्री*
শোষণ বৰ্ণালী*,शोषण स्पेक्ट्रम*
"শোষণ নলী, শোষণ নলী","शोषक नळी, शोषक नळी"
শোষণ হাইগ্ৰ’মিটাৰ,शोषण हायग्रोमीटर
শোষক*,शोषक*
শোষক বাষ্পীভৱনকাৰী,शोषक बाष्पीभवक
শোষণ নিয়ম*,शोषण कायदा*
শোষণ মাধ্যম,शोषण माध्यम
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*","शोषक क्षमता, शोषकता*"
শোষণ ক্ষমতা*,शोषण*
ষ্টুডিঅ&#39; সজ্জা,स्टुडिओ सजावट
বহুগুণতা অনুপাত,गुणोत्तर गुणोत्तर
abvolt,उद्धटपणा
বিষয়ে,बद्दल
ত্বৰান্বিত কৰক,गती वाढवणे
ত্বৰণ-বন্ধ দূৰত্ব,प्रवेग-थांबा अंतर
খৰধৰকৈ উঠিল,घाई केली
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,द्रुत वेळ प्रभाव चाचणी
দ্ৰুত প্ৰবাহ,जलद प्रवाह
দ্ৰুত গতি,जलद गती
দ্ৰুত শৰীৰ,द्रुत शरीर
ত্বৰণকাৰী ওজনকাৰী,प्रवेगक तोलणारा
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,प्रवेगक इलेक्ट्रोड*
ত্বৰক সময়*,प्रवेगक वेळ*
ত্বৰণকাৰী পৰ্যায়,प्रवेगक टप्पा
ত্বৰণকাৰীৰ হাৰ,प्रवेगक दर
এক্সিলেটৰ ভোল্টেজ*,प्रवेगक व्होल्टेज*
বেগ বৃদ্ধি,प्रवेग
ত্বৰান্বিত দহন,प्रवेगक ज्वलन
ত্বৰণ সহগ,प्रवेग गुणांक
ত্বৰণ উপাদান,प्रवेग घटक
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,गुरुत्वाकर्षणामुळे प्रवेग
ত্বৰণ কাৰক,प्रवेग घटक
ত্বৰিত চাৰ্জ,प्रवेगक शुल्क
মাধ্যাকৰ্ষণৰ ত্বৰণ,गुरुत्वाकर्षणाचा प्रवेग
ত্বৰণ বিভৱ,प्रवेग क्षमता
ত্বৰণ আইন,प्रवेग कायदा
ত্বৰণ প্ৰক্ৰিয়া,प्रवेग प्रक्रिया
ত্বৰণ অঞ্চল,प्रवेग क्षेत्र
ত্বৰণ পদ্ধতি,प्रवेग पद्धत
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা","प्रवेग सहिष्णुता, प्रवेग सहिष्णुता"
ত্বৰণ ভেক্টৰ,प्रवेग वेक्टर
ত্বৰণ-ভোল্টেজ,प्रवेग-व्होल्टेज
ত্বৰণ তৰংগ,प्रवेग लहर
ত্বৰণকাৰী,प्रवेगक
"accelerate, ত্বৰণকাৰী*","प्रवेग, प्रवेगक*"
ত্বৰক সমীকৰণ,प्रवेगक समीकरण
ত্বৰণকাৰী*,प्रवेगक*
এক্সিলেৰমিটাৰ,प्रवेगमापक
এক্সিলেৰমিটাৰ মিলন,एक्सीलरोमीटर जुळणी
প্ৰিষ্ট্ৰেছাৰ,prestresser
বৈধ আখৰ,वैध वर्ण
গ্ৰহণযোগ্যতা কোণ,स्वीकृती कोन
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,स्वीकृती तपशील
গ্ৰহণযোগ্য পৰীক্ষা,स्वीकार्य चाचणी
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী","स्वीकारणारा*, स्वीकारणारा"
ৰিচেপ্টৰ পৰমাণু,रिसेप्टर अणू
ৰিচেপ্টৰ বণ্ড,रिसेप्टर बाँड
ৰিচিভাৰ চাৰ্কিট,रिसीव्हर सर्किट
ৰিচেপ্টৰ স্তৰ,रिसेप्टर पातळी
দাতা অণু,दाता रेणू
ৰিচেপ্টৰ বৈশিষ্ট্য,रिसेप्टर गुणधर्म
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,रिसेप्टर गुणधर्म पातळी
এক্সিলেটৰৰ নলী,प्रवेगक नळी
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ","प्रवेश, प्रतीक्षा, प्रवेश"
প্ৰৱেশ ভূজ,भुज प्रवेश
অভিগম ব্যৱস্থাপ্ৰণালী,प्रवेश प्रणाली
প্ৰৱেশ সময়,प्रवेश वेळ
অভিগম্যতা,प्रवेशयोग्यता
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক","अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे"
অতিৰিক্ত নিষেধাজ্ঞা,अतिरिक्त निर्बंध
কাকতালীয়,संधी योगायोग
আকস্মিক সংশোধন,अपघाती सुधारणा
আকস্মিক জৈৱজন্ম,अपघाती बायोजेनेसिस
আকস্মিক ডাইভাৰচন,अपघाती वळवणे
দৰ্শকৰ ভুল,अभ्यागत त्रुटी
"হঠাৎ বন্ধ, হঠাৎ বন্ধ","अचानक थांबणे, अचानक पकडणे"
আকস্মিক সংক্ৰমণ,अपघाती प्रेषण
ৰেণ্ডম ভ্যাৰিয়েন্স,यादृच्छिक भिन्नता
সমন্বয়,समायोजन
অৱস্থিত,स्थानबद्ध
সঞ্চিত ভুল,संचित त्रुटी
"সঞ্চয়, সঞ্চয়","जमा करणे, जमा करणे"
