Kannada,Odiya
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1. ଆବାକସ୍, ୨। ଗଣନା"
ಅಸಹಜ ಅಂತ್ಯ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ತಡೆಹಿಡಿಯಿರಿ,ବାଧା
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
ಸಂಪೂರ್ಣ ಮೋಡ್,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
ಅಮೂರ್ತ ವರ್ಗ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
ಅಮೂರ್ತ ಯಂತ್ರ,ବିସ୍ତୃତ ମେସିନ୍ |
ಅಮೂರ್ತ ಚಿಹ್ನೆ,ବିସ୍ତୃତ ପ୍ରତୀକ |
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ଗ୍ରହଣ ପରୀକ୍ଷା
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ಬಿಡಿಭಾಗಗಳು,ଆନୁଷଙ୍ଗିକ
ಲೆಕ್ಕಪತ್ರ,ହିସାବ
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
ಸಂಚಯಕ,ଜମାକାରୀ
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. ସଠିକତା, 2 ସଠିକତା"
ಪ್ರವೇಶ,ପ୍ରବେଶ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
ಪ್ರವೇಶ ಸೂಚಕ,ପ୍ରବେଶ ସୂଚକ
ಪ್ರವೇಶ ಕೀ,ପ୍ରବେଶ କୀ
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
ಪ್ರವೇಶ ಮೋಡ್,ପ୍ରବେଶ ମୋଡ୍
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,ସୁବିଧା ପ୍ରବେଶ
ಪ್ರವೇಶ ಭದ್ರತೆ,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
ಪ್ರವೇಶ ಸಮಯ,ପ୍ରବେଶ ସମୟ
ಸ್ವೀಕೃತಿ,ସ୍ୱୀକୃତି
ಅಕೌಸ್ಟಿಕ್ಸ್,ଆକାଶବାଣୀ
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ସକ୍ରିୟ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,ସକ୍ରିୟ ସଂସ୍କରଣ |
ಅಸೈಕ್ಲಿಕ್,acyclic
