Telugu,Odiya
తగ్గింపు,ଆବଦ୍ଧ
సంక్షిప్తీకరణ,ସଂକ୍ଷିପ୍ତକରଣ
అపహరణ,ଅପହରଣ
Abeyance,ଆବେରୀ
సామర్థ్యం,ଦକ୍ଷତା
అబ్ ఇనిషియో,Ab initio
సామర్థ్యం,ସକ୍ଷମ
అసాధారణ,ଅସ୍ୱାଭାବିକ |
రద్దు,ଚତୁରତା
నిర్మూలన పోస్ట్,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
పైన పేర్కొన్నారు,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
పైన కోట్ చేయబడింది,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
పైన చెప్పారు,ଉପରେ କହିଲା
లేకపోవడం,ଅନୁପସ୍ଥିତି
హాజరుకాని,ଅଧ୍ୟାପୀ
హాజరుకానితనం,ଅନୁପସ୍ଥିତତା
హాజరుకాని ప్రకటన,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
సంపూర్ణ,ସଂପୂର୍ଣ୍ଣ
సంపూర్ణ గుత్తాధిపత్యం,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
సంపూర్ణ యాజమాన్యం,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
శోషణ,ଶୋଷଣ
నైరూప్య,ବିସ୍ତୃତ
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,ବିସ୍ତୃତ
అసంబద్ధం,ଅବ urd ଧ |
సమృద్ధి,ପ୍ରଚୁରତା
అధికార దుర్వినియోగం,ଶକ୍ତିର ଅପବ୍ୟବହାର |
దుర్వినియోగ భాష,ଅପମାନଜନକ ଭାଷା |
విద్యావేత్త,ଏକାଡେମିକ୍ |
విద్యా చర్చ,ଏକାଡେମିକ୍ ଆଲୋଚନା
విద్యా సెలవు,ଏକାଡେମିକ୍ ଛୁଟି |
విద్యా అర్హత,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
విద్యా రికార్డు,ଏକାଡେମିକ୍ ରେକର୍ଡ |
ACCEDE,ଧ୍ୟାନଦେଇ
అంగీకరించండి,ଗ୍ରହଣ କର
అంగీకారం,ଗ୍ରହଣ
కార్యాలయం అంగీకారం,ଅଫିସ୍ ଗ୍ରହଣ
టెండర్ అంగీకారం,ଟେଣ୍ଡର ଗ୍ରହଣ
యాక్సెస్,ପ୍ରବେଶ
ప్రవేశం,ପ୍ରବେଶ
అనుబంధ,ଆନୁଷଙ୍ଗିକ
ప్రమాదం,ଦୁର୍ଘଟଣା
అలవాటు,ସୁକମ୍ଲାଇଜେସନ୍
వసతి,ଆବାସ
తోడు,ସାଥୀ
ఒప్పందం,ଆକର୍ଡ
అనుగుణంగా,ସମ୍ପତ୍ତୀ
దీని ప్రకారం,ସେହି ଅନୁଯାୟୀ |
ఖాతా,ଖାତା
జవాబుదారీతనం,ଉତ୍ତରଦାୟିତ୍ୱ
జవాబుదారీతనం,ଉତ୍ତରଦାୟୀ |
అకౌంటెన్సీ,ଆକାଉଣ୍ଟାଣ୍ଟି
అకౌంటెంట్,ଆକାଉଣ୍ଟାଣ୍ଟ
ఖాతా,ଖାତା ପାଇଁ
ఖాతా హెడ్,ଖାତା ହେଡ୍
సేకరించిన ప్రయోజనం,ଅଭିଯୋଗ ଲାଭ
పెన్షన్ పెన్షన్,ପେନ୍ ପେନ୍ସନ୍
చేరడం,ଜମା
ఖచ్చితత్వం,ସଠିକତା
ఖచ్చితమైనది,ସଠିକ୍
నిందించండి,ଅଭିଯୋଗ
ఆరోపణలు,ଅଭିଯୁକ୍ତ
సాధన,ସଫଳତା
గుర్తింపు,ସ୍ୱୀକୃତି
రసీదు గడువు,ସ୍ୱୀକୃତି ଦେବାର |
పరిచయము,ପରିଚୟ
సముపార్జన,ଅଧିଗ୍ରହଣ
సముపార్జన,ନିର୍ଦ୍ଦୋଷ
చట్టం,କାର୍ଯ୍ୟ କର
నటన భత్యం,ଅଭିନୟ ଭତ୍ତା
చర్య,କାର୍ଯ୍ୟ
కార్య ప్రణాళిక,କ୍ରିୟା ଯୋଜନା
క్రియాశీల,ସକ୍ରିୟ
చురుకుగా,ସକ୍ରିୟ ଭାବରେ |
కార్యకర్త,କାର୍ଯ୍ୟକର୍ତ୍ତା
దైవఘటన,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
దుష్ప్రవర్తన చర్య,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
కమీషన్ మరియు కమీషన్,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
అసలు,ପ୍ରକୃତ
వాస్తవాలు,କାର୍ଯ୍ୟ
అనుసరణ,ଆଡାପ୍ଟେସନ୍
అదనంగా,ଯୋଗ
అదనపు ఛార్జ్,ଅତିରିକ୍ତ ଚାର୍ଜ
అదనపు ఫండ్,ଅତିରିକ୍ତ ପାଣ୍ଠି
అదనపు గ్రాంట్,ଅତିରିକ୍ତ ଅନୁଦାନ
అదనపు సమాచారం,ଅତିରିକ୍ତ ସୂଚନା
అదనపు వేతనం,ଅତିରିକ୍ତ ଦେୟ
అదనంగా మరియు మార్పు,ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ
చిరునామా,ଠିକଣା
చిరునామా,ଆଡ୍ରେସେେ |
స్వాగత చిరునామా,ସ୍ୱାଗତିବାର ଠିକଣା
తగినంత,ପର୍ଯ୍ୟାପ୍ତ
కట్టుబడి,ନିୟମ ପାଳନ
తాత్కాలిక హాక్,ଅନୁପଚାରି
తాత్కాలిక దావా,ବିଜ୍ଞାପନ ହକ୍ ଦାବି |
తాత్కాలిక కమిటీ,ବିଜ୍ଞାପନ ହକ୍ କମିଟି |
తాత్కాలిక పెరుగుదల,AD HOC ବୃଦ୍ଧି |
తాత్కాలిక చెల్లింపు,ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |
ప్రక్కనే,ସଂଲଗ୍ନ
ప్రక్కనే (= పరస్పర),ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ)
వాయిదా,ସ୍ଥଗିତତା
వాయిదా చలన,ଆଡଜାଇବା ଗତି
అనుబంధం,ସମର୍ଥନ କର ଘର
తీర్పు,ଗୁଚିଚୀନିକ
తీర్పు,ସମର୍ଥନ
న్యాయాధికారి,ଆଦ୍ବ୍ରୀକରଣ
సర్దుబాటు,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
నిర్వహించండి,ପ୍ରଶାସକ
ప్రమాణం చేయండి,ଶପଥ କର
పరిపాలన,ପ୍ରଶାସନ
న్యాయం యొక్క పరిపాలన,ନ୍ୟାୟ ପ୍ରଶାସନ
పరిపాలనా,ପ୍ରଶାସନିକ
పరిపాలనా చర్య,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
అడ్మినిస్ట్రేటివ్ అప్రైసల్,ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |
పరిపాలనా ఆమోదం,ପ୍ରଶାସନିକ ଅନୁମୋଦନ |
పరిపాలనా అధికారం,ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ
పరిపాలనా నియంత్రణ,ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |
పరిపాలనా నిర్ణయం,ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି
పరిపాలనా విభాగం,ପ୍ରଶାସନିକ ବିଭାଗ
అడ్మినిస్ట్రేటివ్ హెడ్,ପ୍ରଶାସନିକ ମୁଣ୍ଡ
పరిపాలనా ప్రధాన కార్యాలయం,ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |
పరిపాలనా చర్యలు,ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |
పరిపాలనా శక్తి,ପ୍ରଶାସନିକ ଶକ୍ତି |
పరిపాలనా అనుమతి,ପ୍ରଶାସନିକ ମଞ୍ଜୁର |
పరిపాలనా సాంకేతికత,ପ୍ରଶାସନିକ କ techni ଶଳ |
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |
ప్రవేశం,ଗ୍ରହଣୀୟତା |
ఆమోదయోగ్యమైన వ్యయం,ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |
అంగీకరించండి,ସ୍ୱୀକାର କର |
అడ్మిట్ కార్డ్,କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |
అంగీకరించారు,ସ୍ୱୀକାର କରାଯାଇଛି |
సలహా,ଉପଦେଶ ଦିଅନ୍ତୁ |
దత్తత తీసుకున్న వ్యక్తి,ଆଡେପିଟି |
దత్తత,ଆଡପୁଟର୍
దత్తత,ଗ୍ରହଣ
వయోజన,ବୟସ୍କ
కల్తీ,ବ୍ୟଭିଚାର
వ్యభిచారం,ବ୍ୟଭିଚାର
వయోజన ఫ్రాంచైజ్,ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |
ప్రకటన విలువ,ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |
అడ్వాన్స్,ଅଗ୍ରିମ
అడ్వాన్స్ బుకింగ్,ଅଗ୍ରୀମ ବୁକିଂ
ముందస్తు కాపీ,ଅଗ୍ରଶୀ ନକଲ
ముందస్తు పెరుగుదల,ଅଗ୍ରଗତି ବୃଦ୍ଧି
ముందస్తు చెల్లింపు,ଅଗ୍ରିମ ଦେୟ
ప్రతికూల ప్రవేశం,ପ୍ରତିକୂଳ ପ୍ରବେଶ
ప్రతికూల వ్యాఖ్యలు,ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |
ప్రతికూల నివేదిక,ପ୍ରତିକୂଳ ରିପୋର୍ଟ
ప్రకటన,ବିଜ୍ଞାପନ
సలహా,ପରାମର୍ଶ
చెల్లింపు సలహా,ଦେୟର ପରାମର୍ଶ |
సలహా సమితి,ପରାମର୍ଶଦାତା କମିଟି |
సలహా మండలి,ପରାମର୍ଶଦାତା ପରିଷଦ |
న్యాయవాది,ଓକିଲ
వ్యవహారాలు,ସମ୍ପର୍କ
అఫిడవిట్,ପ୍ରମାଣପତ୍ର
అనుబంధం,ଅନୁବନ୍ଧ
ధృవీకరణ,ନିଶ୍ଚିତତା
ధృవీకరించేది,ନିଶ୍ଚିତ
స్థోమత,ସୁଲଭ
పైన పేర్కొన్నది,Aforesaid
అఫ్రెష్,ଉପରୁବର୍ତ୍ତୀ
వ్యతిరేకంగా,ବିପକ୍ଷରେ
వయస్సు,ବୟସ
వయస్సు ధృవీకరణ పత్రం,ବୟସ ପ୍ରମାଣପତ୍ର
ఓటు హక్కు కోసం వయస్సు,ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |
వయో పరిమితి,ବୟସ ସୀମା |
ఏజెన్సీ,ସଂସ୍ଥା
ఎజెండా,କାର୍ଯ୍ୟସୂଚୀ
పదవీ విరమణ వయస్సు,ଅବସରର ବୟସ
పర్యవేక్షణ వయస్సు,ସୁପରନୁଏସନ୍ ବୟସ
సమూహనం,ମିଳନ
బాధపడ్డాడు,ବହୁଳ
ఆందోళన,ଆଗ୍ରିଲେସନ୍
AGM,Agm
ఒప్పందం,ଚୁକ୍ତିନାମା
ఒప్పంద ఫారం,ଚୁକ୍ତି ଫର୍ମ
వ్యవసాయం,କୃଷି
అగ్రో-ఇండస్ట్రీ,Agro-idustry
సహాయం,ସହାୟତା
అలారం,ଆଲାର୍ମ
అప్రమత్తత,ସତର୍କତା
అలియాస్,ଛଦ୍ମନାମ
ఆరోపణ,ଅଭିଯୋଗ
విధేయత,ଅନୁଗତ
కూటమి,ମିଳିତତା
అనుబంధ సేవలు,ସମର୍ଥନ ସେବାଗୁଡିକ
అన్ని కలుపుకొని ఖర్చు,ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |
ఆల్ ఇండియా సర్వీసెస్,ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |
కేటాయింపు,ଆବଣ୍ଟନ
కేటాయింపు,ବଣ୍ଟନ
కేటాయింపు లేఖ,ବଣ୍ଟନ ଚିଠି
కేటాయింపు,ବଣ୍ଟନେ |
అనుమతించదగినది,ଅନୁମତି ଯୋଗ୍ୟ
అనుమతించదగిన ఖర్చులు,ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |
అప్పీల్‌ను అనుమతించండి,ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |
భత్యం,ଭତ୍ତା
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ
అక్షర క్రమం,ବର୍ଣ୍ଣମାଳା କ୍ରମ
వాగ్వాదం,ବ atutem ିସଣ
ప్రత్యామ్నాయ,ବିକଳ୍ପ
ప్రత్యామ్నాయం,ବିକଳ୍ପ
సమ్మేళనం,ଅମାଲଗାମୀ
సవరించిన చిత్తుప్రతి,ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |
సవరణ,ସଂଶୋଧନ
సౌకర్యం,ସୁବିଧା
స్నేహపూర్వక,ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ
మందుగుండు సామగ్రి,ଗୁଳିଗୋଳା
రుణ రుణమాఫీ,Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |
మొత్తం,ପରିମାଣ
పెన్షన్ మొత్తం,ପେନ୍ସନ୍ ର ପରିମାଣ
సారూప్య పోస్ట్,ଅନୁରୂପ ପୋଷ୍ଟ |
విశ్లేషణ,ବିଶ୍ଳେଷଣ |
విశ్లేషణాత్మక అధ్యయనం,ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |
పూర్వీకుడు,ପୂର୍ବଜ
సహాయక పరిశ్రమ,ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |
శత్రుత్వం,ଶତ୍ରୁତା |
అనుబంధం,ଆନୁଷ୍ଠାନ
వార్షికోత్సవం,ବାର୍ଷିକୀ
ప్రకటన,ଘୋଷଣା
కోపం,ବିରକ୍ତିକର
వార్షిక ఆర్థిక ప్రకటన,ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ
వార్షిక నివేదిక,ବାର୍ଷିକ ବିବରଣୀ
యాన్యుటీ,ବାର୍ଷିକ
అనామక,ବେନାମୀ |
అనామక ఫిర్యాదు,ଅଜ୍ଞାତ ଅଭିଯୋଗ |
జవాబుదారీతనం,ଉତ୍ତର୍ୟତା
జవాబు పత్రం,ଉତ୍ତର ସିଟ୍
విరోధి,ବିରୋଧୀ
పూర్వజన్మలు,ପିତୃପୁରୁଷ
Bean హించిన ఖర్చు,ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ
Ntic హించిన ఆదాయం,ପ୍ରତୀକ୍ଷିତ ଆୟ
Ntic హించడం,ପ୍ରତୀକ୍ଷା
ముందస్తు బెయిల్,ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |
అవినీతి నిరోధక కొలత,ବିରୋଧୀ ମାପ |
యాంటీ డంపింగ్,ଆଣ୍ଟି-ଡମ୍ପିଂ |
పురాతన,ପ୍ରାଚୀନ
వర్ణవివక్ష,ଅପାର୍ଥିଡ଼ିଆ
ఉదాసీనత,ଉଦାସୀନତା |
అపెక్స్ బాడీ,Apex ଶରୀର
క్షమాపణ,କ୍ଷମା ପ୍ରାର୍ଥନା
అప్పీల్,ଆବେଦନ
స్వరూపం,ରୂପ
సంతృప్తి,ସନ୍ତୁଷ୍ଟ
అప్పీలేట్ ట్రిబ్యునల్,ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |
అపెండిక్స్,ପରିଶିଷ୍ଟ
ఉపకరణం,ଉପକରଣ
