Bengali,Malayalam
ওয়েস্টমিনস্টারের অ্যাবে,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
বর্জনীয়,ഒഴിഞ്ഞുമാറുക
দাসত্বের সমাপ্তি,അടിമത്തം നിർത്തലാക്കൽ
আদিবাসী,ആദിവാസികൾ
আব্রাহাম যুগ,അബ്രഹാം യുഗം
অনুপস্থিত জমির মালিক,ഹാജരാകാത്ത ഭൂവുടമകൾ
একাডেমী,അക്കാദമി
আকরা সম্মেলন,അക്ര സമ്മേളനം
সঞ্চয়,സമാഹരണങ്ങൾ
সংগ্রহ,സംസ്കരണം
অ্যাসেলডামা,അസെൽഡാമ
আচিয়ান (=আচিয়ান),അച്ചായൻ (=അച്ചിയൻ)
আচিয়ান লীগ (=আচিয়ান লীগ),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
অ্যাক্রোপলিস,അക്രോപോളിസ്
Acta Diurna,ആക്റ്റ ദിയുർന
Acta Senatus,ആക്റ്റ സെനറ്റസ്
অ্যাক্ট অ্যাডিশনেল,ആക്റ്റ് അഡീഷണൽ
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
প্রাপ্তির কাজ,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
ক্ষতিপূরণ এবং বিস্মৃতির আইন,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
নিষ্পত্তির আইন,സെറ്റിൽമെന്റ് നിയമം
বিজ্ঞাপন চুক্তি সীল,പരസ്യ കരാർ മുദ്ര
আদুল্লামাইটস,അഡുല്ലമൈറ്റുകൾ
প্রতিপক্ষ,എതിരാളി
প্রতিপক্ষ,എതിരാളി
Aeon,അയോൺ
এরারিয়াম,എയറേറിയം
বায়বীয় যুদ্ধ,ആകാശ യുദ്ധം
এটোলিয়ান লীগ,എറ്റോലിയൻ ലീഗ്
বয়স,വയസ്സ്
বার্ধক্য (=বার্ধক্য),വാർദ്ധക്യം (=വാർദ്ധക്യം)
বার্ধক্য প্রক্রিয়া,പ്രായമാകൽ പ്രക്രിയ
এগেলাই,അഗെലൈ
বীরত্বের বয়স,ധീരതയുടെ പ്രായം
এনলাইটমেন্টের বয়স,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
পেরিক্লেসের বয়স,പെരിക്കിൾസിന്റെ പ്രായം
কারণ বয়স,യുക്തിയുടെ പ്രായം
কৃষিবাদ,കാർഷികവാദം
কৃষি আন্দোলন,കാർഷിക പ്രസ്ഥാനം
অ্যালবিয়ন,ആൽബിയോൺ
অ্যালবাম,ആൽബം
অল্ডারম্যান,ആൽഡർമാൻ
লোভনীয় অস্ত্র,വശീകരിക്കുന്ന ആയുധങ്ങൾ
বন্ধুত্ব,അമിറ്റി
অ্যাম্ফিক্টোনিক কাউন্সিল,ആംഫിക്റ്റോണിക് കൗൺസിൽ
Amphictyonic লীগ,ആംഫിക്റ്റോണിക് ലീഗ്
অ্যাম্ফিথিয়েটার,ആംഫി തിയേറ്റർ
আমরি নল দল (মৃৎপাত্রের),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
অ্যানাক্রোনিজম,അനാക്രോണിസം
অ্যানাক্রোনিস্টিক,അനാക്രോണിസ്റ്റിക്
পূর্বপুরুষ,പൂർവ്വികൻ
পূর্ব পুরুষের পুজা,പൂർവിക ആരാധന
বংশ,വംശപരമ്പര
বংশ,വംശപരമ്പര
বংশ,വംശപരമ്പര
বংশ,വംശപരമ്പര
প্রাচীন শাসন,പുരാതന ഭരണം
প্রাচীন,പുരാതന
প্রাচীন গীতিনাট্য,പുരാതന ബാലഡ്
প্রাচীন বিশ্বাস,പുരാതന വിശ്വാസം
প্রাচীন রীতি,പുരാതന ആചാരം
প্রাচীন ইতিহাস,പുരാതനമായ ചരിത്രം
প্রাচীন স্মৃতিস্তম্ভ,പുരാതന സ്മാരകങ്ങൾ
উপাখ্যান,ഉപകഥ
অ্যাঞ্জেলট,ആഞ്ചലോട്ട്
এঞ্জেলাস,ആഞ്ചലസ്
অ্যাঞ্জেভিন (=এনজেভিন),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
কোণ,കോണുകൾ
অ্যাংলিকান,ആംഗ്ലിക്കൻ
অ্যাংলিকান কমিউনিয়ন,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
অ্যাংলিকানিজম,ആംഗ്ലിക്കനിസം
অ্যাংলো-ফোব,ആംഗ്ലോ-ഫോബ്
অ্যাংলো-ফোবিয়া,ആംഗ്ലോ-ഫോബിയ
অ্যাংলো-স্যাক্সন,ആംഗ്ലോ-സാക്സൺ
অ্যাংলো-স্যাক্সোনিজম,ആംഗ്ലോ-സാക്‌സോണിസം
অ্যানালিস্ট,അനലിസ്റ്റ്
ইতিহাস,വാർഷികങ്ങൾ
সংযোজন,കൂട്ടിച്ചേർക്കൽ
এন্টে-বেলাম,ആന്റി-ബെല്ലം
তারিখের আগে,മുൻ തീയതി
করণিকবাদ বিরোধী,പൗരോഹിത്യ വിരുദ്ധത
অ্যান্টি-ক্লারিক্যাল আইন,വൈദിക വിരുദ്ധ നിയമം
প্রাচীনত্ব,പൗരാണികത
ভাড়া বিরোধী,വാടക വിരുദ്ധം
ভাড়া বিরোধী,വാടക വിരുദ്ധം
সেমিটিজম বিরোধী,സെമിറ്റിസം വിരുദ്ധത
আনজাক,അൻസാക്ക്
আপেলা,അപ്പെല്ല
আরালু,അരലു
আর্চ বিশপ,ആർച്ച് ബിഷപ്പ്
আর্চ ডুচি,ആർച്ച് ഡച്ചി
আর্চ ডিউক,ആർച്ച് ഡ്യൂക്ക്
আর্কিফ (= আর্কাইভাল সংগ্রহ),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
আর্কিপিস্কোপেট,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
আভিজাত্য,പ്രഭുവർഗ്ഗം
অভিজাত,പ്രഭു
আভিজাত্য স্নোবারি,പ്രഭുവർഗ്ഗ സ്നോബറി
এরিস্টটলীয়,അരിസ്റ്റോട്ടിലിയൻ
আরমাডা,അർമാഡ
আরমাদা (=স্প্যানিশ আরমাদা),അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ)
আর্মোরিস্ট (= আর্মারিস্ট),കവചക്കാരൻ (=കവചക്കാരൻ)
বর্ম (= বর্ম),കവചം (=കവചം)
আর্মারিস্ট,ആയുധധാരി
আরিয়ান,ആര്യൻ
আরিয়ান,ആര്യൻ
আসকারী,അസ്കരി
বরাদ্দ,നിയോഗിക്കുക
সহায়তা,അസൈസ് ചെയ്യുക
সহায়তা,അസൈസ് ചെയ്യുക
সহায়তা,അസൈസ് ചെയ്യുക
অস্ত্র আইনের সহায়তা,അസൈസ് ഓഫ് ആയുധ നിയമം
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,അസൈസ് ഓഫ് ഡാരെൻ അവതരണം
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്
নভেল ডিসিসিনের অ্যাসাইজ,അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ
নৃশংসতা,ക്രൂരത
আক্রমণ,ആക്രമണം
অলিক কাউন্সিল,ഔലിക് കൗൺസിൽ
দেবীর কুঠার (=দেহী কুঠার),ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്)
ব্যাবিলন,ബാബിലോൺ
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം)
বাচনাল ভক্ত,ബച്ചനൽ ഭക്തൻ
বাচনালিয়া,ബച്ചനാലിയ
ব্যাচেলর,ബാച്ചിലർ
বাগদাদ চুক্তি,ബാഗ്ദാദ് കരാർ
বলকান লীগ,ബാൽക്കൻ ലീഗ്
বলকান চুক্তি,ബാൽക്കൻ കരാർ
বলকান যুদ্ধ,ബാൽക്കൻ യുദ്ധങ്ങൾ
বাল্টিক চুক্তি,ബാൾട്ടിക് കരാർ
দস্যু,കൊള്ളക്കാരൻ
বান্দুং সম্মেলন,ബന്ദൂങ് സമ്മേളനം
নির্বাসন,നാടുകടത്തൽ
ব্যানার,ബാനർ
অসভ্য,ബാർബേറിയൻ
বারবিকান,ബാർബിക്കൻ
বারদোলী সত্যাগ্রহ,ബർദോളി സത്യാഗ്രഹം
শস্যাগার বার্নার্স,കളപ്പുര ബർണറുകൾ
ব্যারন,ബാരൺ
ব্যারোনেজ,ബാരോണേജ്
ব্যারনস মেজরস,ബറോണസ് മേജേഴ്സ്
ব্যারোনস মাইনরস,ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ
ব্যারনেস,ബാരോണസ്
ব্যারোনেট,ബാരോനെറ്റ്
ব্যারোনেটেজ,ബാരോനെറ്റേജ്
ব্যারোনেটেজ,ബാരോനെറ്റേജ്
ব্যারোনেটসি,ബാരോനെറ്റി
ব্যারনি,ബാരോണി
ব্যারাকুন,ബാരക്കൂൺ
ব্যারাকুন,ബാരക്കൂൺ
ব্যারিকেড (=ব্যারিকেড),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
ব্যারিকেড (=ব্যারিকেড),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
ব্যারিকেড (=ব্যারিকেড),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
সেনাঘাঁটি,ബേസ് ക്യാമ്പ്
ব্যাসিলিকা,ബസിലിക്ക
ব্যাসিলিকা,ബസിലിക്ക
বাস্তিলা,ബാസ്റ്റില
বাস্তিল,ബാസ്റ്റിലി
বাস্তিল,ബാസ്റ്റിലി
ব্যাটারি,ബാറ്ററി
যুদ্ধ,യുദ്ധം
ব্যাটলে-অ্যারে,Battle-array
যুদ্ধ কান্না,യുദ്ധകാഹളം
যুদ্ধ দিন,യുദ്ധം
যুদ্ধক্ষেত্র,യുദ്ധക്കളം
যুদ্ধের স্তব,യുദ്ധഗാനം
স্পার্সের যুদ্ধ,സ്പർസിന്റെ യുദ്ധം
স্ট্যান্ডার্ড যুদ্ধ,സ്റ്റാൻഡേർഡ് യുദ്ധം
যুদ্ধজাহাজ,യുദ്ധക്കപ്പൽ
যুদ্ধজাহাজ-শক্তি,യുദ്ധക്കപ്പൽ-ബലം
Bayeux ট্যাপেস্ট্রি,Bayeux ടേപ്പ്സ്ട്രി
বীকন,ബീക്കൺ
বীকন টাওয়ার,ബീക്കൺ ടവർ
বিভার,ബീവർ
বিভার,ബീവർ
সমুদ্রের ভিক্ষুক,കടലിലെ യാചകർ
বেলিকোস,ബെല്ലിക്കോസ്
বেলিকোস,ബെല്ലിക്കോസ്
বেলিকোস,ബെല്ലിക്കോസ്
বেলিকোসিটি,ബെല്ലിക്കോസിറ്റി
বেলোনা,ബെല്ലോന
উপকারিতা,ഗുണം
যাজকদের সুবিধা,വൈദികരുടെ പ്രയോജനം
বেনেলাক্স,ബെനെലക്സ്
বার্লিন ডিক্রি,ബെർലിൻ ഉത്തരവ്
বেসার,ബെർസർക്കർ
বেসান্ট (=বেজেন্ট),ബസന്റ് (=ബെസന്റ്)
বেথেল,ബെഥേൽ
বিবিলিওলেটর,ബിബ്ലിയോലേറ്റർ
বিবিলিওলাট্রি,ഗ്രന്ഥശാസ്‌ത്രം
বিগ বার্থা,ബിഗ് ബെർത്ത
বিগট,മതഭ്രാന്തൻ
বিলেটিং,ബില്ലെറ്റിംഗ്
অ্যাটেন্ডারের বিল,ബിൽ ഓഫ് അറ്റൈൻഡർ
অধিকার বিল,അവകാശങ്ങളുടെ ബിൽ
জীবনীকার,ജീവചരിത്രകാരൻ
জন্মের গল্প,ജനന കഥകൾ
বিভাক,Bivouac
বিভাক,Bivouac
বিভাক,Bivouac
বিজোনিয়া,ബിസോണിയ
কালো পাখি,കറുത്ത പക്ഷികൾ
কালো পতাকা,കറുത്ത കൊടി
কৃষ্ণ গহ্বর,ബ്ലാക്ക് ഹോൾ
কৃষ্ণ গহ্বর,ബ്ലാക്ക് ഹോൾ
কালো পা (= স্ক্যাব),കറുത്ത കാൽ (=ചുണങ്ങു)
কালো শার্ট,കറുത്ത ഷർട്ട്
ব্লাজন,ബ്ലാസൺ
ব্লাজন,ബ്ലാസൺ
ব্লাজনরি,ജ്വലനം
ব্লাজনরি,ജ്വലനം
Blitzkrieg,ബ്ലിറ്റ്സ്ക്രീഗ്
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം)
