English,Kannada
Abelian group,ಅಬೆಲಿ ಗುಂಪು
abelian semigroup,ಅಬೆಲಿ ಗುಂಪು
abscissa,ಕೈ
absolute,"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
absolute convergence,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
absolute error,ಸಂಪೂರ್ಣ ದೋಷ
absolute maximum,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
absolute minimum,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
absolute value,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
absolute velocity,ಸಂಪೂರ್ಣ ವೇಗ
abstract algebra,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
abstract group theory,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
acceleration,ವೇಗವರ್ಧನೆ
acceleration due to gravity,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
acceptable choice set,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
acceptable quality level,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
acceptable range,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
acceptable reliability level,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
acceptable sampling,ಸ್ವೀಕಾರ ಮಾದರಿ
accumulated error,ಸಂಚಿತ ದೋಷ
accuracy,ನಿಖರತೆ
acting force,ಅನ್ವಯಿಸಿದ ಬಲ
action,"ಕ್ರಿಯೆ, ಕಾರ್ಯ"
action and reaction,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
acturial science,ವಿಮಾ ವಿಜ್ಞಾನ
acute angled triangle,ತೀವ್ರ ತ್ರಿಕೋನ
acyclic,ಅಸೈಕ್ಲಿಕ್
add,ಒಟ್ಟುಗೂಡಿಸಲು
adder,ಸೇರಿಸುವವನು
addition,"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
addition formula,ಯೋಗದ ಸೂತ್ರ
addition of complex numbers,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
addition of functions,ಕಾರ್ಯಗಳ ಮೊತ್ತ
addition of matrices,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
addition of polynomials,ಬಹುಪದಗಳ ಮೊತ್ತ
addition of probabilities,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
addition of vectors,ವಾಹಕಗಳ ಮೊತ್ತ
addition theorem,"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
additive group,ಸಂಯೋಜಕ ಗುಂಪು
additive inverse,ಸಂಯೋಜಕ ವಿಲೋಮ
additive property,ಸೇರಿಸುವಿಕೆ
additivity,ಸೇರಿಸುವಿಕೆ
adjacency matrix,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
adjacent,"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
