Kannada,Odiya
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,AC ସମାନ ସର୍କିଟ |
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,ଶୋଷଣ ଗୁଣବତ୍ତା
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
ಗ್ರಾಹಕ ಪರಮಾಣು,ରିସେପ୍ଟର ପରମାଣୁ |
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,ସକ୍ରିୟ ଶକ୍ତି
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
ಸಕ್ರಿಯ ಲೋಡ್,ସକ୍ରିୟ ଭାର
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
ಸಕ್ರಿಯ ಪ್ರದೇಶ,ସକ୍ରିୟ କ୍ଷେତ୍ର |
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
ಸೇರಿಸುವವನು,ଆଡର୍
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
ನುಗ್ಗುವಿಕೆ,ଅନୁପ୍ରବେଶ
ಏರಿಯಲ್,ଆରିଏଲ
ಪೆಪ್ ಆವರ್ತನ,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
ಜೋಡಣೆ,ଶ୍ରେଣୀବଦ୍ଧତା |
ಅಲ್ಗಾರಿದಮ್,ଆଲଗୋରିଦମ |
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,ମିଶ୍ରିତ ଜଙ୍କସନ |
ಕ್ಷೀಣತೆ,ଆଘାତ
ಪರ್ಯಾಯ ಪ್ರವಾಹ,ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
ಹೊರಗಿನ ತಾಪಮಾನ,ପରିବେଶର ତାପମାତ୍ରା |
ಬೈಪೋಲಾರ್,ଦ୍ୱିପାକ୍ଷିକ
ವರ್ಧನೆ,ବୃଦ୍ଧି
ಆಂಪ್ಲಿಫಯರ್,ଏମ୍ପ୍ଲିଫାୟର୍
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |
ಆಯಾಮಗಳು,ପରିମାପ
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,ପ୍ରଶସ୍ତତା ଆଘାତ
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,ଆନାଗଲ୍ ସର୍କିଟ୍ |
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |
ಅನಲಾಗ್ ಸ್ವಿಚ್,ଆନାଗଲ୍ ସୁଇଚ୍ |
ಮತ್ತು ಗೇಟ್,ଏବଂ ଫାଟକ |
ಕೋನೀಯ ಆವರ್ತನ,କୋଣ ଅନୁକୋଣ
"ಅಯಾನ್, ಅಯಾನ್","ଆୟନ, ଆୟନ"
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |
ಆನೋಡ್,anode
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಅನೋಡೈನ್,anodyne
ಆಂಟೆನಾ,ଆଣ୍ଟେନା |
ಆಂಟೆನಾ ಘಟಕ,ଆଣ୍ଟେନା ଉପାଦାନ |
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |
ದ್ವಾರಕ ಕಾಲ,ଦ୍ୱାରକ ଅବଧି |
ವರ್ಚುವಲ್ ಶಕ್ತಿ,ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |
ತಂತಿ ಸಂಪರ್ಕ,ତାର ସଂଯୋଗ
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର
ಆಂಟೆನಾ ರಚನೆ,ଆଣ୍ଟେନା ଆରେ |
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ","ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |"
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ)
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್,ଅସୀମିତ ଜଙ୍କସନ
ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |
ಪರಮಾಣು,ପରମାଣୁ
ಪರಮಾಣು ಸಂಖ್ಯೆ,ପରମାଣୁ ସଂଖ୍ୟା
ಪರಮಾಣು ರಚನೆ,ପରମାଣୁ ଗଠନ
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್,ଅଡିଓ କ୍ୟାସେଟ୍ |
ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್,ଅଡିଓ ସର୍କିଟ |
ಶ್ರವ್ಯ ಆವರ್ತನ,ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |
ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ,ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |
ಹಿಮಕುಸಿತ,ବାଘ
ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್,ହାରାହାରି ଡିଟେକ୍ଟର |
ಅಕ್ಷೀಯ ಮೋಡ್,ଅକ୍ଷୀୟ ମୋଡ୍ |
ಅಕ್ಷೀಯ ಅನುಪಾತ,ଅକ୍ଷୀୟ ଅନୁପାତ |
ಆಂಟೆನಾ,ଆଣ୍ଟେନା |
ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್,ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |
ಹಿಂಭಾಗದ ಪ್ರದೇಶ,ପଛ କ୍ଷେତ୍ର
ಮತ್ತೆ ಚದುರುವಿಕೆ,ପଛ ବିଛାଇବା |
ಹಿನ್ನೆಲೆ ಶುಲ್ಕ,ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |
ಅಡ್ಡ ಶಬ್ದ,ପାର୍ଶ୍ୱ ଶବ୍ଦ |
ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
ಹಿಂಭಾಗದ ವಿಕಿರಣ,ପରବର୍ତ୍ତୀ ବିକିରଣ |
ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್,ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |
ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ,ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |
"ಅಡಚಣೆ, ಅಡಚಣೆ","ବାଧା, ବାଧା"
ಅಡಚಣೆ,ବାଧା
ಸಮತೋಲಿತ ಸೇತುವೆ,ସନ୍ତୁଳିତ ସେତୁ |
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್,ସନ୍ତୁଳିତ ସର୍କିଟ |
ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್,ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |
ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ,ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |
ಬೋಲೋಮೀಟರ್,ବୋଲୋମିଟର |
ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ,ବୋଲୋମିଟର ବ୍ରିଜ୍ |
ಬಲೂನ್,ବେଲୁନ୍ |
ಬನಾನಾ ಜ್ಯಾಕ್,ବାନା ଜ୍ୟାକ୍ |
ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್,ବାନା ପ୍ଲଗ୍ |
"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್","ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |"
ಬ್ಯಾಂಡ್ ಚಾಲಕ,ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |
ಬ್ಯಾಂಡ್ ಶಕ್ತಿ,ବ୍ୟାଣ୍ଡ ଶକ୍ତି
ಬ್ಯಾಂಡ್ ಅಂತರ,ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |
ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್,ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್,ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |
ಬಾಡ್ ದರ ಜನರೇಟರ್,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್,ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |
ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್,ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |
