Marathi,English
Uptement,Abatement
संक्षेप,Abbreviation
अपहरण,Abduction
अबाधित,Abeyance
क्षमता,Ability
अब इनिशिओ,Ab initio
सक्षम,Able
असामान्य,Abnormal
निर्मूलन,Abolition
रद्दबातल पोस्ट,Abolitionof post
वर दिल्याप्रमाणे,Above mentioned
वर उद्धृत,Above quoted
वरील म्हणाले,Above said
अनुपस्थिती,Absence
अनुपस्थित,Absentee
अनुपस्थिति,Absenteeism
अनुपस्थित विधान,Absentee statement
परिपूर्ण,Absolute
परिपूर्ण मक्तेदारी,Absolute monopoly
परिपूर्ण मालकी,Absolute ownership
शोषण,Absorption
गोषवारा,Abstract
अमूर्त स्टेटमेंट,Abstractstatement
बेशुद्ध,Absurd
विपुलता,Abundance
शक्तीचा गैरवापर,Abuse of power
अपमानास्पद भाषा,Abusive language
शैक्षणिक,Academic
शैक्षणिक चर्चा,Academic discussion
शैक्षणिक रजा,Academic leave
शैक्षणिक पात्रता,Academic qualification
शैक्षणिक नोंद,Academic record
प्रवेश,Accede
स्वीकारा,Accept
स्वीकृती,Acceptance
कार्यालय स्वीकारणे,Acceptance of office
निविदा स्वीकारणे,Acceptance of tender
प्रवेश,Access
प्रवेश,Accession
Ory क्सेसरी,Accessory
अपघात,Accident
सहनशीलता,Acclimatization
निवास,Accommodation
सोबत,Accompanist
करार,Accord
अनुयायी,Accordance
त्यानुसार,Accordingly
खाते,Account
उत्तरदायित्व,Accountability
जबाबदार,Accountable
अकाउंटन्सी,Accountancy
अकाउंटंट,Accountant
साठी खाते,Account for
खाते डोके,Account head
जमा लाभ,Accrued benefit
जमा पेन्शन,Accrued pension
संचय,Accumulation
अचूकता,Accuracy
अचूक,Accurate
आरोप,Accuse
आरोपी,Accused
यश,Achievement
पोचपावती,Acknowledgement
पावती देय,Acknowledgement due
ओळखी,Acquaintance
संपादन,Acquisition
शोध,Acquittance
कायदा,Act
अभिनय भत्ता,Acting allowance
क्रिया,Action
कृती योजना,Action plan
सक्रिय,Active
सक्रियपणे,Actively
कार्यकर्ता,Activist
देवाची करणी,Act of God
गैरवर्तन कायदा,Act of misconduct
कमिशनचे कार्य आणि वगळणे,Act of commission and omission
वास्तविक,Actual
वास्तविक,Actuals
रुपांतर,Adaptation
या व्यतिरिक्त,Addition
अतिरिक्त शुल्क,Additional charge
अतिरिक्त निधी,Additional fund
अतिरिक्त अनुदान,Additional grant
अतिरिक्त माहिती,Additional information
अतिरिक्त वेतन,Additional pay
जोड आणि बदल,Addition and alteration
पत्ता,Address
पत्ता,Addressee
स्वागताचा पत्ता,Address of welcome
पुरेसे,Adequate
चे पालन करा,Adhere to
अ‍ॅड हॉक,Ad hoc
तदर्थ दावा,Ad hoc claim
तदर्थ समिती,Ad hoc committee
तदर्थ वाढ,Ad hoc increase
तदर्थ देयक,Ad hoc payment
समीप,Adjacent
शेजारी (= संमिश्र),Adjoining (=contiguous)
तहकूब,Adjournment
तहकूब गती,Adjournment motion
सहभाग,Adjudge
न्यायाधीश,Adjudicate
निर्णय,Adjudication
न्यायाधीश,Adjudicator
समायोजन,Adjustment
प्रशासकीय,Administer
शपथ प्रशासित करा,Administer oath
प्रशासन,Administration
न्याय प्रशासन,Administration of justice
प्रशासकीय,Administrative
प्रशासकीय कारवाई,Administrative action
प्रशासकीय मूल्यांकन,Administrative appraisal
प्रशासकीय मान्यता,Administrative approval
प्रशासकीय अधिकार,Administrative authority
प्रशासकीय नियंत्रण,Administrative control
प्रशासकीय निर्णय,Administrative decision
प्रशासकीय विभाग,Administrative department
प्रशासकीय प्रमुख,Administrative head
प्रशासकीय मुख्यालय,Administrative headquarters
प्रशासकीय उपाय,Administrative measures
प्रशासकीय शक्ती,Administrative power
प्रशासकीय मंजुरी,Administrative sanction
प्रशासकीय तंत्र,Administrative technique
प्रशासकीय न्यायाधिकरण,Administrative tribunal
प्रवेशयोग्यता,Admissibility
स्वीकार्य खर्च,Admissible expenditure
कबूल करा,Admit
प्रवेश कार्ड,Admit card
दाखल,Admitted
सूचना,Admonish
दत्तक,Adoptee
दत्तक,Adoptor
दत्तक,Adoption
प्रौढ,Adult
भेसळ,Adulteration
व्यभिचार,Adultery
प्रौढ मताधिकार,Adult franchise
अ‍ॅड व्हॅलोरम ड्यूटी,Ad valorem duty
प्रगती,Advance
अ‍ॅडव्हान्स बुकिंग,Advance booking
आगाऊ प्रत,Advance copy
आगाऊ वाढ,Advance increment
आगाऊ भरणा,Advance payment
प्रतिकूल प्रविष्टी,Adverse entry
प्रतिकूल टीका,Adverse remarks
प्रतिकूल अहवाल,Adverse report
जाहिरात,Advertisement
सल्ला,Advice
देयकाचा सल्ला,Advice of payment
सल्लागार समिती,Advisory committee
सल्लागार परिषद,Advisory council
वकिली,Advocate
घडामोडी,Affairs
प्रतिज्ञापत्र,Affidavit
संलग्नता,Affiliation
पुष्टीकरण,Affirmation
होकारार्थी,Affirmative
परवाना,Afford
उपरोक्त,Aforesaid
पुन्हा,Afresh
विरुद्ध,Against
वय,Age
वय प्रमाणपत्र,Age certificate
मताधिकार वय,Age for suffrage
वय मर्यादा,Age limit
एजन्सी,Agency
अजेंडा,Agenda
सेवानिवृत्तीचे वय,Age of retirement
अधोरेखित वय,Age of superannuation
एकत्रिकरण,Aggregation
संताप,Aggrieved
आंदोलन,Agitation
एजीएम,AGM
करार,Agreement
करार फॉर्म,Agreement form
शेती,Agriculture
कृषी-उद्योग,Agro-industry
मदत,Aid
गजर,Alarm
सतर्कता,Alertness
उर्फ,Alias
आरोप,Allegation
निष्ठा,Allegiance
युती,Alliance
संबद्ध सेवा,Allied services
सर्व समावेशक किंमत,All inclusive cost
अखिल भारतीय सेवा,All India Services
वाटप,Allocation
वाटप,Allotment
वाटप पत्र,Allotment letter
अ‍ॅलोटी,Allottee
परवानगीयोग्य,Allowable
अनुमत खर्च,Allowable expenses
अपीलला परवानगी द्या,Allow an appeal
भत्ता,Allowance
सर्व हक्क राखीव,All rights reserved
वर्णमाला क्रम,Alphabetic order
भांडण,Altercation
वैकल्पिक,Alternate
पर्यायी,Alternative
एकत्रिकरण,Amalgamation
सुधारित मसुदा,Amended draft
दुरुस्ती,Amendment
सुविधा,Amenity
मैत्रीपूर्ण,Amicable
दारूगोळा,Ammunition
कर्जाचे or न्टायझेशन,Amortization of debt
रक्कम,Amount
पेन्शनची रक्कम,Amount of pension
समान पोस्ट,Analogous post
विश्लेषण,Analysis
विश्लेषणात्मक अभ्यास,Analytical study
पूर्वज,Ancestor
सहायक उद्योग,Ancillary industry
वैर,Animosity
जोड,Annexure
वर्धापनदिन,Anniversary
घोषणा,Announcement
त्रास,Annoyance
वार्षिक आर्थिक विधान,Annual financial statement
वार्षिक अहवाल,Annual report
वार्षिकी,Annuity
अज्ञात,Anonymous
अज्ञात तक्रार,Anonymous complaint
उत्तरदायित्व,Answerability
उत्तरपत्रिका,Answer sheet
विरोधी,Antagonist
पूर्वज,Antecedents
अपेक्षित खर्च,Anticipated expenditure
अपेक्षित उत्पन्न,Anticipated income
अपेक्षा,Anticipation
अपेक्षित जामीन,Anticipatory bail
भ्रष्टाचारविरोधी उपाय,Anti-corruption measure
अँटी-डंपिंग,Anti-dumping
प्राचीन,Antique
वर्णभेद,Apartheid
औदासिन्य,Apathy
शिखर शरीर,Apex body
दिलगिरी,Apology
अपील,Appeal
देखावा,Appearance
