Bengali,Assamese
A B শ্রেণীর পরিবর্ধক,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
বিকৃতি,বিচ্যুতি
অস্বাভাবিক সংক্রমণ,অস্বাভাৱিক সংক্ৰমণ
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
অনুপস্থিত বর্ণালী,অনুপস্থিত বৰ্ণালী
"পরম, পরম, ধ্রুবক, নিখুঁত","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
পরম আর্দ্রতা,নিৰপেক্ষ আৰ্দ্ৰতা
পরম গতি,নিৰপেক্ষ গতি
পরম পর্যবেক্ষণ,নিৰপেক্ষ পৰ্যবেক্ষণ
পরম তাপমাত্রা,নিৰপেক্ষ উষ্ণতা
পরম শূন্য,নিৰপেক্ষ শূন্য
শোষণ করা,শুহি লোৱা
"শোষক, শোষক","শোষক, শোষক"
শোষণ ক্ষমতা,শোষণ ক্ষমতা
শোষণ,শোষণ ক্ষমতা
শোষক,শোষক
শোষণ,শোষণ ক্ষমতা
বহুগুণ অনুপাত,বহুগুণতা অনুপাত
ত্বরান্বিত করা,ত্বৰান্বিত কৰক
তাড়াতাড়ি,খৰধৰকৈ উঠিল
ত্বরণ,বেগ বৃদ্ধি
অভিকর্ষের ত্বরণ,মাধ্যাকৰ্ষণৰ ত্বৰণ
এক্সিলারেটর,ত্বৰণকাৰী
এক্সিলারেটর,ত্বৰণকাৰী
অ্যাক্সিলোমিটার,এক্সিলেৰমিটাৰ
prestresser,প্ৰিষ্ট্ৰেছাৰ
গ্রহণযোগ্য পরীক্ষা,গ্ৰহণযোগ্য পৰীক্ষা
গ্রহণকারী,গ্ৰহণকাৰী
দাতা অণু,দাতা অণু
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
অ্যাক্সেসযোগ্যতা,অভিগম্যতা
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
প্রবেশাধিকার সময়,প্ৰৱেশ সময়
