Tamil,Odiya
கைவிடப்பட்ட உறுப்பு,ପରିତ୍ୟାଗ ଅଙ୍ଗ |
நிறுத்தப்பட்ட விதை,ପରିତ୍ୟାଗ
கருக்கலைப்பு,ଗର୍ଭପାତ
முழுமையான களை,ସଂପୂର୍ଣ୍ଣ ତୃଣ
உறிஞ்சப்பட்ட கேஷன்,ଅବଶୋଷିତ କେସନ
உறிஞ்சுதல்,ଶୋଷଣ
அபிசீனிய கடுகு,Abayssinian mystard |
அகரைடு,ଅରିକାଇଡ୍ |
உச்சரிப்பு,ଉଚ୍ଚାରଣ
உச்சநிலை (செல்),ଉଚ୍ଚାରଣ (ସେଲ୍)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |
துணை,ଆନୁଷଙ୍ଗିକ
பழக்கவழக்கமயமாக்கல்,ସୁକମ୍ଲାଇଜେସନ୍
குவிப்பு,ଜମା
துல்லியம்,ସଠିକତା
அசெருலஸ்,Acervulus
அசிடிபிகேஷன்,ଯୁକ୍ତିଯୁକ୍ତିକ
அமிலமயமாக்கல்,ଅମ୍ଳଗତ
அமிலமீட்டர்,ଏସିଡିମିଟର
அமிலத்தன்மை,ଅମ୍ଳତା
அமிலத்தன்மை கொண்ட,ଏସିଡୋଫିଲିକ୍ |
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,ACIDUCED ROX FHSHATE |
அமிலத்தன்மை,ଅସିଡିଆରି |
நீர்வாழ்,ଜଳଜଳ |
கையகப்படுத்தல்,ଅଧିଗ୍ରହଣ
ஏக்கர்,ଏକର
ஏக்கர் தூரம்,ଏକରାଗେଜ୍
அக்ரோசென்ட்ரிக் குரோமோசோம்,ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |
அக்ரோபெட்டல்,ଆଖୋପ୍ଟାଲ୍ |
சக்ரோசோம்,ଆନୋକୋମ୍
ஆக்டினோமைசீட்கள்,ଆକ୍ଟିନୋମିସେସିସ୍ |
செயலில் ரூட் மண்டலம்,ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର
கடுமையான,ତୀବ୍ର
தகவமைப்பு,ଅନୁକେତ
தழுவல்,ଆଡାପ୍ଟେସନ୍
ஒட்டுதல்,ଆଡେସନ୍
கொழுப்பு,ଆଦିବ
சரிசெய்தல் சமன்பாடு,ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |
அடோப் மண்,ଆଡୋବ ମାଟି |
கலப்படம்,ବ୍ୟଭିଚାର
சாகச,ବିଶ୍ୱସ୍ତତା
Aecidiospore,Aechidispor
ஏலியன் செயல்முறை,ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |
ஏயோலியன்,ଆଦାମୀ
காற்றோட்டம்,ଆରେଟ୍
வான்வழி,ବାୟୁ
ஏரோமானி,ଏରୋମିଟର |
ஏரோசோல்,ଏରୋସୋଲ୍ |
அவதூறு,ବାୟେ
ஏட்டாலஜி (நோயியல்,ଆୟନୋଜି (ଇଟିଓଲୋଜି)
காடு வளர்ப்பு,ଆଗ ଶତ୍ରୁମାନଙ୍କର
கிளர்ச்சி,ଆଗ୍ରିଲେସନ୍
அக்மார்க்,Awarmark
விவசாய,କୃଷି
வேளாண் மருத்துவமனை,କୃଷି କ୍ଲିନିକ୍ |
விவசாய உழைப்பு,କୃଷି ଶ୍ରମ
விவசாய சந்தைப்படுத்தல்,କୃଷି ମାର୍କେଟିଂ |
விவசாய தொழில்நுட்பம்,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
வேளாண்மை,କୃଷି
வேளாண் வளர்ப்பை,ଯୁକ୍ତିଯୁକ୍ତ
வேளாண் பன்முகத்தன்மை,Agrobizioditicity |
வேளாண் வியாபார குறைபாடுகள்,Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |
வேளாண்வியல்,Agrobiogioly |
வேளாண் பன்முகத்தன்மை,ଭୟଙ୍କର ବିବିଧତା |
வேளாண் மண்டல,ଭୟଙ୍କର ଜୋନିଂ |
வளர்ப்பு,Agroftry
விவசாயவியல்,ସହଯୋଗୀ
வேளாண்,କିରେନୋନୋମ୍ବନ
அக்ரோபாஸ்டோரல்,Agronastoal
அக்ரோபிராசெசிங்,ସହପ୍ରଗୋକ୍ତ
அக்ரோஸ்டாலஜி,ଦୁର୍ଗସ୍
வேளாண் வகை,Agrotype
விமான ஆலை,ବାୟୁ ପ୍ଲାଣ୍ଟ |
அகியோச்சி மண்,ଆକିଓଚି ମାଟି |
ஆல்பினிசம்,ଆଲବିନିମ୍
அல்பிசோல்ஸ்,Altfisolles
பாசி,ଆଲିଜି |
பாசி நோய்,Alegal ରୋଗ
கார நீர்,ଆଲକାଲି ପାଣି |
கார,କ୍ଷାରିକ |
அல்லீல்,ଆହେଲେ |
அல்லீல கெமிக்கல்ஸ்,ଆଲଲେଇଚିକ୍
அல்லீலோமார்ப்,ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |
அலெலோபதி,ଆଲୋଲୋପାଥି |
சந்து பயிர்,ଆଲି କ୍ରପ୍ କରିବା |
ஒதுக்கீடு,Alloarcy
Allocamy,ଆଲଗଲାମି |
அலோமெட்ரி,Allomitry
அலோபோலிப்ளோயிட்,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍)
மாற்று தாங்கி,ବିକଳ୍ପ ନୋଟିଂ |
மாற்று நில பயன்பாடு,ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |
சுற்றுப்புறம்,ପରିବେଶ
அமெலியோரண்ட்,ଅମୃତାରା
அமிடோசிஸ்,ଅମିତୋସାଇସ୍ |
வெடிமருந்து,ଅମୃତନ
அம்மோனிகேஃபிகேஷன்,ଆମୋନିଫିକେଟ୍
அம்மோனியர்,ଆମୋନିଫାୟର୍
அமார்,ଅମୋରଫ
ஆம்பிமிக்ஸிஸ்,ଆମ୍ଫିମିକ୍ସିସ୍ |
ஆம்போடெரிக்,ଆମ୍ଫୋଷ୍ଟିକ୍ |
அனபோலிசம்,ଆନାବୋଲିଜିମ୍ |
காற்றில்லா,ଆନାରୋବେ |
அனூப்ளோயிட்,ଆନୁପ୍ଲଏଡ୍ |
கோண நடவு,କୋଣ ବୃକ୍ଷ
கால்நடை வளர்ப்பு,ପଶୁ କୁମ୍ଭାରୀ
விலங்கு மறுப்பு,ପଶୁ ମନା କରେ |
ஆற்றல் உயிரின,ଆନିମେଟ୍ ଶକ୍ତିମାନ |
அனிசோப்ளோயிட்,Aningoploid
ஆண்டு ஆலை,ବାର୍ଷିକ ଉଦ୍ଭିଦ |
ஆண்டு,ବାର୍ଷିକ
ஆன்டெஸிஸ்,ଆନେସିଟି
ஆந்த்ராக்ஸ்,ଆନ୍ଥ୍ରାକ୍ସ |
மானுடவியல் காரணி,ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |
ஆண்டிபியோசிஸ்,ଆଣ୍ଟିବାସିସ୍
நுண்ணுயிர்க்கொல்லி,ଆଣ୍ଟିବାୟୋଟିକ୍ |
மாற்று,ପ୍ରତିକାର
ஆக்ஸிஜனேற்றிகள்,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
ஆன்டிடாக்சின்,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
ANNULUS,ବ୍ରହ୍ମାଣ୍ଡ
அஃபிட்,ଆପିଡ୍ |
அபிகல் மொட்டு,ଆପିକାଲ୍ ଗୁଣ୍ଡ |
நுனி ஆதிக்கம்,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
Apulcalure (தேனீ வைத்திருத்தல்),ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା)
Apomixis,ଆପୋମିକ୍ସସ୍ |
அப்போப்டொசிஸ்,ଆପୋଟୋଏସ୍
இணைப்பு,ଅନୁକ୍ରମଣିକା
பசி,ଭୋକକାରୀ
பயன்படுத்தப்பட்டது,ପ୍ରୟୋଗ କରାଯାଏ |
நீர்வாழ் களை,ଜଳୀୟ ତୃଣ
ஆர்போரியல்,ଅର୍ବ୍ରାଲ୍ |
ஆர்பரைசேஷன்,ସ୍ଥାପନ |
தொல்பொருள்-பொட்டானியல் பதிவுகள்,ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
பகுதி புள்ளிவிவரங்கள்,କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ
பகுதி,କ୍ଷେତ୍ର
வறண்ட சுற்றுச்சூழல் அமைப்பு,ARID ECOSYSem |
Aril,ଅରିଲ୍
நறுமணம்,ସୁଗନ୍ଧ
நறுமண ஆலை,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
நறுமண அரிசி,ସୁଗନ୍ଧିତ ଚାଉଳ |
அம்பு,ତୀର
அசெப்ஸிஸ்,ଆସେସିସ୍
அசெப்டிக்,ଅଭିଯୁକ୍ତ
ஓரினச்சேர்க்கை பரப்புதல்,ଶ୍ୱେକାର ପ୍ରଚାର
மதிப்பீடு,ଆମ୍ପେ
சொத்துக்கள்,ସମ୍ପତ୍ତି
ஒருங்கிணைப்பு,ଆସିମେଇର |
தொடர்பு,ସଙ୍ଗଠନ
ஆஸ்ட்ரிஜென்ட்,Astringent
அசினாப்சிஸ்,ଆସନାପାସୀ |
அடாவிசம்,ସଂଲଗ୍ନବାଦ
அணுசக்தி,ପରମାଣିଜର
அட்ராபி,ଆଟ୍ରୋଫି |
தன்னியக்க,ଅଟୋଗାମି |
