Assamese,Hindi
এ চি সমতুল্য বৰ্তনী,ए.सी. समतुल्य परिपथ
এনালগ টু সংখ্যাগত ৰূপান্তৰক,अनुरूप से अंकीय परिवर्तक
নিৰপেক্ষ শূন্য,परम शून्य
শোষণ সহগ,अवशोषण गुणांक
শোষণ বৰ্ণালী,अवशोषण स्पेक्ट्रम
ৰিচেপ্টৰ পৰমাণু,ग्राही परमाणु
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,प्रत्यावर्ती धारा युग्मन
ইলেক্ট্ৰন সংগ্ৰহ কৰা,इलेक्ट्रॉन संचयन
ফুটা সংৰক্ষণ,होल संचयन
সক্ৰিয়কৰণ শক্তি,सक्रियण ऊर्जा
সক্ৰিয় পৰিবৰ্ধক,सक्रिय प्रवर्धक
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,सक्रिय डायोड परिपथ
সক্ৰিয় ফিল্টাৰ,सक्रिय फिल्टर
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,सक्रिय उच्च आवृत्ति पारक फिल्टर
সক্ৰিয় লোড,सक्रिय लोड
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,सक्रिय निमन आवृत्ति पारक फिल्टर
সক্ৰিয় অঞ্চল,सक्रिय क्षेत्र
অভিযোজিত ইলেক্ট্ৰনিক্স,अनुकूली इलेक्ट्रॉनिकी
adder,योजक
এডজাষ্টেবল বেণ্ড এক্সটেনচন,समायोजी बैंड विस्तार
ভেদ,प्रवेश्यता
এৰিয়েল,एरियल
pep কম্পাঙ্ক,स्फूर्ति आवृत्ति
এয়াৰ কণ্ডিচনাৰ,वातानुकूलक
প্ৰান্তিককৰণ,संरेखन
এলগৰিদম,आल्गोरिदम
সকলো পাছ ফিল্টাৰ,समस्त पारक फिल्टर
মিশ্ৰণ সংযোগ,मिश्रधातु संधि
ক্ষীণকৰণ,क्षीणन
বিকল্প বিদ্যুৎ প্ৰবাহ,प्रत्यावर्ती धारा
পৰিৱেশৰ উষ্ণতা,परिवेश ताप
বাইপোলাৰ,उभयध्रुवीय
এম্প্লিফিকেশন,प्रवर्धन
এম্প্লিফায়াৰ,प्रवर्धक
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,प्रवर्धक दक्षता
মাত্ৰাসমূহ,आयाम
প্ৰসাৰণ ক্ষীণকৰণ,आयाम क्षीणन
প্ৰসাৰণ মডুলেটেড AM দোলক,आयाम मॉडुलित ए.एम. दोलित्र
প্ৰসাৰণ মডুলেচন,आयाम मॉडुलन
প্ৰসাৰণ মডুলেটৰ,आयाम मॉडुलक
angstrom একক,एंगस्ट्रॉम इकाई
এনালগ বৰ্তনী,अनुरूप परिपथ
এনালগ কম্পিউটাৰ,अनुरूप कंप्यूटर
এনালগ ফিল্টাৰ,अनुरूप फिल्टर
এনালগ মাল্টিমিটাৰ,अनुरूप बहुमापी
এনালগ চুইচ,अनुरूप स्विच
AND গেট,AND गेट
কৌণিক কম্পাঙ্ক,कोणीय आवृत्ति
"এনিয়ন, এনিয়ন","ऋणायन, एनॉयन"
এনিয়েলিং উষ্ণতা,अनीलन तापमान
এনোড,ऐनोड
এনোড এম্প্লিফায়াৰ,ऐनोड प्रवर्धक
এনোডাইন,ऐनोडी करण
এন্টেনা,ऐन्टेना
এন্টেনা উপাদান,ऐन्टेना घटक
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,परावर्तन रोधी लेपन
এন্টিলগিন এম্প্লিফায়াৰ,प्रतिलघुगुणक प्रवर्धक
এন্টিৰেজোনেণ্ট চাৰ্কিট,प्रतिअनुनादी परिपथ
দ্বাৰক যুগ,द्वारक काल
ভাৰ্চুৱেল শক্তি,आभासीय शक्ति
তাঁৰৰ সংযোগ,तार संयोजन
আনুমানিক ভোল্টেজ লাভ,सन्निकट वोल्टता लब्धि
আৰ্মষ্ট্ৰং মডুলেটৰ,आर्मस्ट्रांग माडुलक
এন্টেনা এৰে,ऐन्टेना-व्यूह
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","आकार अनुपात, अभिमुखता अनुपात"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),अस्थायी परिपथ (मुक्तचालित परिपथ)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,स्वचालित बहुकंपित्र
ভাসমান মাল্টিভাইব্ৰেটৰ,अस्थायी बहुकंपित्र
অসমতাপূৰ্ণ সংযোগস্থল,असममित संधि
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,अतुल्यकाली गणक
পাৰমাণৱিক,परमाणु
পাৰমাণৱিক সংখ্যা,परमाणु संख्या
পাৰমাণৱিক গঠন,परमाणु संरचना
অডিঅ&#39; এম্প্লিফায়াৰ,श्रव्य प्रवर्धक
অডিঅ&#39; এম্প্লিফায়াৰ,श्रव्य प्रवर्धक
অডিঅ&#39; কেছেট,श्रव्य कैसेट
অডিঅ&#39; বৰ্তনী,श्रव्य परिपथ
শ্ৰৱণযোগ্য কম্পাঙ্ক,श्रव्य आवृत्ति
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,स्वत: वोल्टता नियंत्रण
হিমস্খলন,एवलांश
গড় ডিটেক্টৰ,औसत संसूचक
অক্ষীয় ধৰণ,अक्षीय विधा
অক্ষীয় অনুপাত,अक्षीय अनुपात
এন্টেনা,ऐन्टेना
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,पश्च विद्युत वाहक बल
পিছফালৰ অঞ্চল,पश्च क्षेत्र
পিছলৈ বিক্ষিপ্ততা,पश्च प्रकीर्णन
পটভূমি চাৰ্জ,पृष्ठभूमि आवेश
কাষৰ শব্দ,पार्श्व रव
ৰেট্ৰ&#39;গ্ৰেছন,पश्चगमन
পশ্চাৎ বিকিৰণ,पश्चपालि विकिरण
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,बैकवार्ड डायोड/पश्च डायोड
পিছলৈ তৰংগ দোলক,पश्चगामी तरंग दोलक
"বাধা, বাধা","बाधिका, व्यारोध"
বাধাগ্ৰস্ততা,बाधिका
সুষম দলং,संतुलित सेतु
সুষম মডুলেটৰ,संतुलित विमॉडुलक
সুষম মডুলেটৰ,संतुलित मॉडुलक
সুষম বৰ্তনী,संतुलित परिपथ
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,संतुलित ढाल संसूचक
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,धारा स्थिरक प्रतिरोध
বলোমিটাৰ,बोलोमीटर
বলোমিটাৰ দলং,बोलोमीटर सेतु
বেলুন,बलून
কল জেক,बनाना जैक
কল প্লাগ,बनाना प्लग
"বেণ্ড, বেণ্ডেজ","बैंड, पट्टी"
বেণ্ড ড্ৰাইভাৰ,बैंड चालक
বেণ্ড শক্তি,बैंड ऊर्जा
বেণ্ড গেপ,बैंड अंतराल
badpark এম্প্লিফায়াৰ,बैडपारक प्रवर्धक
বেণ্ড পাছ ফিল্টাৰ,बैंड पारक फिल्टर
বড হাৰ জেনেৰেটৰ,बॉड दर जनित्र
banddispersion,बैंडफैलाव
বেণ্ড ৰেজিষ্টৰ,बैंड रोधक
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,बैंड विरामक फिल्टर
বেণ্ড সম্প্ৰসাৰণ,बैंड विस्तार
বেণ্ড আঁতৰোৱা ফিল্টাৰ,बैंड वर्जक फिल्टर
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,बैंड विस्तार विक्षेपण गुणक
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,बैंड विस्तार दूरी गुणक
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","पुंज संधारित्र, बैंक संधारित्र"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","बारकर कूट, बारकर कोड"
barravaugen মাপকাঠী,बार्रवाउजेन कसौटी
বেৰেটৰ,बैरेटर
বাধা,रोध
ইনচুলেটিং কেপাচিটৰ,रोध संधारित्र
বাধা শক্তি,रोधिका उर्जा
ৰেজিষ্টৰ ভল্টেজ,रोधी वोल्टता
বাৰ্টলেট উইণ্ড&#39;,बार्टलेट विंडो
