Punjabi,Gujarati
ਐਬੈਕਸਿਅਲ ਸਤਹ,મહારમાન સપાટી
ਪੇਟ,પેટ
ਪੇਟ AORTA,પેટનો એરોર્ટા
ਪੇਟ ਗੰਗਾਲੀਆ,આધાર ગેંગલિયા
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
ਅਸਧਾਰਨ,વિપુલતા
ਅੱਛਾ,નાજુક
ਅਬਿੰਗਡਨ ਕਛੂਆ,એબિંગ્ડન કાચબો
ਅਬੀਓਜੀਨੇਸਿਸ,સ્વત્વાર્પણ
ਅਬੀਓਟਿਕ,અહંકારી
ਅਬੀਓਟਿਕ ਕਾਰਕ,અભણ પરિબળ
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,અસામાન્ય પેશાબ
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,એબીઓ રક્ત જૂથ
Abscisic ਐਸਿਡ,સદસ્યાટ
ਵਿਵੇਕ,વિકલાંગતા
ਸੋਖਣਾ,શોષવું
ਸਮਾਈ ਪੀਕ,શોષણ ટોચ
ਸਮਾਈ,સમાવેશ
ਅੱਕੀਆ ਕੈਟੂਯੂ,બાવળ
ਅਕਾਰੀਆ ਅਰਬੀ,એકરિયા અરબીકા
ਐਕਾਪ੍ਰਿਨ,એકર
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,સ્વીકાર્ય જાતીય વર્તન
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,સહાયક ગ્રંથિ
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,સહાયક ગ્રંથિ
ਸਹਾਇਕ ਅੰਗ,સહાયક અંગ
ਅਨੁਕੂਲਤਾ,સ્વાર્થીકરણ
ਅਹਿਮ,મામૂલી કરવું
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),આવાસ (ધ્યાન કેન્દ્રિત)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,આંખનું સ્થાન
ਅਦਭੁਤ ਵਾਧਾ,પરિધિ
ਇਕੱਠਾ,સંચય
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,કાર્બનિક પદાર્થનું સંચય
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,જમીનનો સંચય
ਐਸੀਲੂਲਰ,મધ્યમ
ਐਸੀਲੂਲਰ ਜੀਵ,મધ્ય જીવ
ਐਸੀਟੌਮੂਲਮ,અકારો
ਐਸੀਟਲਾਈਡਾਈਡ,Ecetaldehyde
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,એસીટીલ કોએન્ઝાઇમ
ਅਮੀਥਿਨਾ,એકલતા
ਅੱਕੇ,અચેન પ્રકાર
ਅਕੇਸ਼ੀ,અહંકાર
AchlamyDosporeae,આચ્છાદન
ਐਸਿਡ ਬਾਰਸ਼,એસિડ વરસાદ
ਤੇਜਾਬ,અમ્દિન
ਤੇਜ਼ਾਬ ਗੈਸ,અમ્બલિક ગેસ
ਐਸਿਡਿਟੀ,અમલ્ય
ਐਕਸੀਨਰ ਸੈੱਲ,કોતરણીનો કોષ
ਆਕੋਲੀਓਮੈਟ,Acાંકણ
ਐਕੋਨਿਟਮ,એક જાતની કળા
ਐਕੋਰਨ ਕੀੜਾ,એકોખી
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,ધ્વનિ ક્ષેત્ર
ਪਾਤਰ ਪਾਤਰ,પ્રાપ્ત કરેલું પાત્ર
ਸੀਮਤ ਸੀਮਤ,હસ્તગત પ્રતિરક્ષા
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ)
ਅਰੇਂੀਆ,ક્રોધાવેશ
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,એસિડાઇન રંગ
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,અતિશય
ਐਕਰੋਮਰ,કરચલી
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,સર્કરો
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,સરકરાનો હુકમ
ਐਕਰੋਸਿਨ,ગળાશ
ਐਕਟਿਨ,કાર્ય
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,કૃત્ય
ਐਕਟਿਨੀਮੋਰਿਕ,અભિપ્રાયનું
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,કૃત્ય
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,કાર્ય માટેની ક્ષમતા
ਸਰਗਰਮ ਸਲੱਜ,સક્રિય કાદવ
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,સક્રિય કાદવ ફ્લોક
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,સક્રિય energyર્જા
ਐਕਟਿਵ ਸਮਾਈ,સક્રિય શોષણ
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,સક્રિય પ્રતિરક્ષા
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,સક્રિય કિરણોત્સર્ગ
ਐਕਟਿਵ ਸਾਈਟ,સક્રિય સ્થળ
ਐਕਟੀਵੇਟ,સક્રિય
ਅਮੀਮਿਨੇਟ,અણીદાર
ਐਡਮਜ਼ੀਆ,એડ્મસિયા
ਅਨੁਕੂਲਤਾ,અનુકૂલનક્ષમતા
ਅਨੁਕੂਲਤਾ,અનુકૂલન
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,પ્રકાશ શાસન માટે અનુકૂલન
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,પાણીની અછતને અનુકૂલન
ਅਨੁਕੂਲ ਗੁਣ,અનુકૂલનશીલ લાક્ષણિકતાઓ
ਅਨੁਕੂਲ ਛੋਟ,અનુકૂલનશીલ પ્રતિરક્ષા
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,અનુકૂલનશીલ કિરણોત્સર્ગ
ਅਨੁਕੂਲ ਗੁਣ,અનુકૂલન લક્ષણ
ਏਕੈਕਸੀਅਲ ਸਤਹ,ઉપદેશક
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,વ્યસનકારક વિકાર
ਐਡੀਨੇਨ,એક જાતની adાળ
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,એડોનોકોર્ટિકોટ્રોપિન
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,એનોહિપોફિસીસ
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,એડેનોસિન ડિફોસ્ફેટ
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,એમેનોસિન
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,એનોસિન મોનોફોસ્ફેટ
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી)
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,સાયક્લેઝ
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,ચપળ બળ
ਐਡਪੋਜ਼,શણગારવું
Adipocyte (ਚਰਬੀ ਸੈੱਲ),એડિપોસાઇટ (ચરબી કોષ)
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,ચરબી પેશી
ਐਡਨੇਟ,Nતરતું
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,સંલગ્ન સમુદાય
ਐਡਰੀਨਲ,વ્યવહાસી
ਐਡਰੇਨਲ ਗਲੈਂਡ,એડ્રીનલ ગ્રંથિ
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ)
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ)
ਐਡੋਰਬੈਂਟ,શોષક
ਇਸ਼ਤਿਹਾਰ,શોષક
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,અદ્યતન તાર
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,ફાયદાકારક પરિવર્તન
ਸਾਹਸੀ,સાહસિક
ਸਾਹਸੀ ਜੜ,અગમ્ય મૂળ
ਗਲਤ ਪ੍ਰਭਾਵ,પ્રતિકૂળ અસર
ਏ.ਡੀ.ਡੀ.,એડીસ
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,સંસ્કૃતિનો વાયુ
Énerchyma,વિમાન
ਏਰੀਅਲ,હવાઈ
ਏਰੀਅਲ ਰੂਟ,હવાઈ ​​મૂળ
ਏਰੀਅਲ ਸ਼ੂਟ,હવાઈ ​​ગોળી
ਐਰੋਬਿਕ ਸਾਹ,વાયુગામી શ્વસન
ਐਰੋਬਿਕ ਸਾਹ,વાયુગામી શ્વસન
ਸੁਹਜ,સૌંદર્ય શાસ્ત્ર
ਖਰਾਸ਼,નિલાસ્ય
ਖਰਾਸ਼,નિલાસ્ય
ਪਿਆਰ,સંલગ્ન
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,લગાવ રંગ
ਦੁਖੀ ਅੰਗ,પીડિત અંગ
ਕਥਾ,વનીકરણ
ਅਗਿਆਤ,અકસ્માત
ਅਗਰ,પાટિયું
ਅਗਿਆਤ,અણીદાર
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,એલોઝ જેલ એલેટ્રોફોરેસિસ
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,પિલર જેલ
ਅਤਿ,અવસ્થામાં
ਅਗਾਵ,ખાડી
ਉਮਰ ਵੰਡ,વય વહેંચણી
ਉਮਰ ਪਿਰਾਮਿਡ,વય પિરામિડ
Agglutate,Agલટ
ਸਮੁੱਚੀ,સમૂહ
Follicle ਦਾ ਸਮੁੱਚਾ,એકંદર
Follicle ਦਾ ਸਮੁੱਚਾ,એકંદર
ਇਕੱਤਰਤਾ,એકંદર
ਹਮਲਾਵਰਤਾ,આક્રમકતા
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,આંદોલનકારી પદ્ધતિ
ਅਗਨੀਥਾ,એકરાગ
ਅਗਾਤੀ,અણી
ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ,અગ્રાણ ક્લોરોપ્લાસ્ટ
ਅਗਰੂ,એકરારવાળું
ਅਗਰਾਨੂਲੋਸਾਈਟ,એગ્રાન્યુલોસાઇટ
ਖੇਤੀ ਬਾੜੀ,કૃષિ
ਐਗਰੋਫੋਰੈਸਟਰੀ,કૃષિ -પ્રવેશ
ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ,મધ્યસ્થી
ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼,એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ
ਐਗਰੋ ਕੈਮੀਕਲ,કૃષિ -તકનીકી
ਐਗਰੋ ਕੈਮੀਕਲ,કૃષિ -તકનીકી
ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ,કૃષિ -ક્ષેત્ર
ਖੇਤੀਬਾਜੀ ਗੁਣ,કૃષિવિજ્ trાન
ਖੇਤੀਬਾੜੀ,કૃષિવિજ્yાન
ਏਡਜ਼,સહાય
ਏਅਰ ਬਲੈਡਰ,હવાઈ ​​મૂત્રાશય
ੲੇ. ਸੀ,હવાઈ ​​કન્ડિશનર
ਹਵਾ ਦਾ ਰਾਹ,હવાઈ ​​માર્ગ
ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ,હવા પ્રદૂષણ
ਏਅਰ ਸੈਕ,હવાઈ ​​કોથળી
ਏਅਰ ਵੈਕਲੂਓਲ,હવાઈપૂટી
ਹਵਾ-ਸਾਹ,હવાઈ ​​શ્વાસ
ਅਲੇਨ,અણીદાર
ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ,અણીદાર સ્નાયુ
ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ,અલાસ્કા બ્રાઉન રીંછ
ਐਲਬਿਨੋ,કોયડો
ਆਲਬੂਗੋ,કાંચક
ਐਲਬਮਿਨ,આલ્બ્યુબિન
ਐਲਬਿੰਜੀਨ ਬੀਜ,શામક બીજ
ਐਲਬਿ → ਮਿਨੂਰੀਆ,આલ્બમિન્યુરિયા
ਐਲਬਟਨਮ,આવરણ
ਐਲਸੀਏਸੀ,અણી
Aldeyhede,શણગાર
ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ,મિથોસ્ટેરોન
ਅਲੇਸਟਰੋਨ,અલડોસ્ટેરા
ਅਲੇਪੁਰਨ ਪਰਤ,Alલ્યુરોન સ્તર
ਐਲੇਰੋਪਲਾਸਟ,એક જાતનો અવાજ
ਅਲਫਾਫਾ,એક જાતની કળા
ਐਲਗਲ ਖਿੜ,એલ્ગલ મોર
ਅਲੀਗਿਨ,જાસૂસ
ਪਰਦੇਸੀ ਡੀਐਨਏ,પરાયું ડીએનએ
ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ,પરિયન જાતિઓ
ਅਲਾਈਨਮੈਂਟ,ગોઠવણી
ਅਲਾਈਨਮੈਂਟ,ગોઠવણી
ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ,ઉદાર નહેર
ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ,અંતરીલ પદ્ધતિ
ਐਲਿਸਮੇਸਸੀ,અણી
ਐਲਕਾਲਾਇਡ,ક્ષુદ્ર
ਐਲਕਲੀਨ,ક્ષુદ્ર
ਅਲਕਾਪਟਨੂਰੀਆ,આલ્કીપ્ટોન્યુરિયા
ਅੱਲੈਂਟੋਇਸ,અણી
ਐਲੀ ਬਾਰੰਬਾਰਤਾ,એલીલ આવર્તન
ਐਲੀਲ,એલીલ
ਅਲੇਲਬਿਕ ਜੋੜੀ,એલેલોમોર્ફિક જોડી
ਐਲਰਗੇਨ,એલર્જન
ਐਲੀਗੇਟਰ,મગર
ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.,એલીયમ સી.પી.ઇ.પી.એ.
ਆਲੋਗਮ,સહ -સંબંધ
ਅਲਾਗ੍ਰਾਫਟ,અલગ
ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ,એલોપેટ્રિક સ્પષ્ટીકરણ
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,ફિલોપ્લોઇડ
ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ,એલોસ્ટીક અસર
ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ,એલોસ્ટીક ઉત્સુક
ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ,એલોસ્ટીક અવરોધક
ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ,ખેલ -મોડ્યુલેશન
ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ,એલોસ્ટીક સ્થળ
ਐਲੋਸਟਰਿਕ ਰੋਕ,એલોસ્ટીક અવરોધ
Allotetraplaidd,એલોટેટ્રાપ્લોઇડ
ਐਲਾਨਸ,કૃતિ
ਐਲੋ,કુંવાર
ਐਕਸੋਨ ਦੇ ਨਾਲ,ચેતાક્ષની સાથે
ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ,આલ્ફા-એન્ટાઇટ્રિપ્સિન
ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ,અણી
