Kannada,Marathi
ಆಂಪಿಯರ್ (ಘಟಕ),अँपिअर (युनिट)
ಆಂಗ್ಸ್ಟ್ರಮ್,angstrum
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,ए-क्लास अॅम्प्लिफायर
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,एएन रेडिओ सहाय
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,एक-स्कॅनिंग सादरीकरण
a-ದರ್ಶ್,a-darsh
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,ए-स्कोप कामगिरी
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,A-T वक्र क्रिस्टल
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
ಬೆಳಗ್ಗೆ,आहे
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),AMU (अणु वस्तुमान एकक)
aard-vark*,आर्ड-वार्क*
ಅಬ್-ಆಂಪಿಯರ್,ab-ampere
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,A-B वर्ग अॅम्प्लिफायर
ಅದಾ,adah
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,A-B शक्ती पिटक
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = संरेखन चार्ट = nomograph
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),अबे क्रमांक (अबे स्थिरांक)
ಅಬೆ ವಕ್ರೀಕಾರಕ,abe refractometer
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,अबे साइन राज्य
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
"ವಿಪಥನ, ವಿಪಥನ",विकृती
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,विकृती सुधारक लेन्स
ಆಕಾಶ ವಿಪಥನ,आकाश विकृती
abfarad,abfarad
ಎಬೆನ್ರಿ,एबेनरी
ಎಬೊನಿ ಎಫೆಕ್ಟ್,इबोनी प्रभाव
ಅಸಹಜ ಧ್ರುವೀಕರಣ,असामान्य ध्रुवीकरण
ಅಸಹಜ ಪ್ರಸರಣ,असामान्य प्रसार
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,अलौकिक प्रतिबिंब
ಅಸಹಜ ವಕ್ರೀಭವನ*,असामान्य अपवर्तन*
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,अलौकिक प्रतिकार
ab-om,ab-om
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ","प्राबल्य, अपयश"
"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ","संलग्न, सहसा, उभे, विभक्त, खंडित"
ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು,अनेकदा उडी मारते
ಕೈ*,हात*
ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ,हरवलेले प्रतिबिंब
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,गहाळ स्पेक्ट्रम
