Gujarati,Odiya
"1.એબેકસ, 2. ગણતરી","1. ଆବାକସ୍, ୨। ଗଣନା"
અસામાન્ય અંત,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ઇન્ટરસેપ્ટ,ବାଧା
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
સંપૂર્ણ સરનામું,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
સંપૂર્ણ સંબોધનક્ષમતા,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
સંપૂર્ણ એસેમ્બલર,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
સંપૂર્ણ આદેશ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
સંપૂર્ણ સૂચના,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
સંપૂર્ણ મોડ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
સંપૂર્ણ માર્ગ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
અમૂર્ત વર્ગ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
અમૂર્ત ડેટા પ્રકાર,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
અમૂર્ત મશીન,ବିସ୍ତୃତ ମେସିନ୍ |
અમૂર્ત પ્રતીક,ବିସ୍ତୃତ ପ୍ରତୀକ |
અમૂર્ત વાક્યરચના,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
સ્વીકૃતિ કસોટી,ଗ୍ରହଣ ପରୀକ୍ଷା
પ્રવેશ પ્રમાણપત્ર,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
વપરાશ નિયંત્રણ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ઍક્સેસ સ્કેનિંગ,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
એસેસરીઝ,ଆନୁଷଙ୍ଗିକ
નામું,ହିସାବ
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
સંચયક,ଜମାକାରୀ
"1. ચોકસાઈ, 2. ચોકસાઈ","1. ସଠିକତା, 2 ସଠିକତା"
ઍક્સેસ,ପ୍ରବେଶ
એક્સેસ કંટ્રોલ બાઇટ્સ,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
ઍક્સેસ સૂચક,ପ୍ରବେଶ ସୂଚକ
ઍક્સેસ કી,ପ୍ରବେଶ କୀ
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
ઍક્સેસ મોડ,ପ୍ରବେଶ ମୋଡ୍
ઍક્સેસ વિશેષાધિકારો,ସୁବିଧା ପ୍ରବେଶ
ઍક્સેસ સુરક્ષા,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
ઍક્સેસ સમય,ପ୍ରବେଶ ସମୟ
સ્વીકૃતિ,ସ୍ୱୀକୃତି
ધ્વનિશાસ્ત્ર,ଆକାଶବାଣୀ
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
ક્રિયા સંદેશ,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
સક્રિયકરણ,ସକ୍ରିୟ
સક્રિય સર્વર પૃષ્ઠ,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
સક્રિય સંસ્કરણ,ସକ୍ରିୟ ସଂସ୍କରଣ |
એસાયક્લિક,acyclic
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |"
અદા કોમ્પ્યુટર ભાષા,ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍"
સરવાળે),to sum)
સરવાળો ફાઇલ,ରାଶି ଫାଇଲ୍ |
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ"
ઉમેરનાર,ଆଡର୍
જાણો,ଜାଣନ୍ତୁ |
સરનામું બસ,ଠିକଣା ବସ୍
