Tamil,Kannada
அசாதாரணமானது,ಅಸಹಜ
கருக்கலைப்பு,ಸ್ಥಗಿತಗೊಳಿಸು
சிராய்ப்பு,ಸವೆದುಹೋಗುವಿಕೆ
திடீரென்று,ಹಠಾತ್ತಾಗಿ
முழுமையான புல வலிமை,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
முழுமையான வெப்பநிலை,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
துல்லியமான மதிப்பு,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
உறிஞ்சும்,ಹೀರಿಕೊಳ್ಳಿ
உறிஞ்சுதல் சக செயல்திறன்,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
உறிஞ்சுதல் இழப்பு,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
சுருக்கம்,ಅಮೂರ್ತ
முடுக்கமானி,ವೇಗವರ್ಧಕ ಮಾಪಕ
ஏற்பு சோதனை,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
அணுகல்,ಪ್ರವೇಶ
நுழைவு கட்டுப்பாடு,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
அணுகல் புள்ளி,ಪ್ರವೇಶ
அணுகல் நேரம்,ಪ್ರವೇಶ ಸಮಯ
அணுகல்,ಪ್ರವೇಶಿಸುವಿಕೆ
குவிப்பான் செல்,ಸಂಚಯಕ ಕೋಶ
துல்லியம்,ನಿಖರತೆ
துல்லியமானது,ನಿಖರವಾದ
முடிச்சு லென்ஸ்,ವರ್ಣರಂಜಿತ ಮಸೂರದ
அமிலம்,ಆಮ್ಲ
அமில ஆதாரம்,ಆಮ್ಲ ಪುರಾವೆ
அமிலத்தன்மை,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
ஒப்புதல் பிட்,ಸ್ವೀಕೃತ ಬಿಟ್
ஒலி,Acೇಳ್ಳರದ
ஒலி தொடர்பு,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ஒலி பரவல்,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ஒலி சமநிலைப்படுத்தி,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ஒலி கருத்து,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ஒலி வடிகட்டி,ಕೊಳೆತ ಫಿಲ್ಟರ್
ஒலி மின்மறுப்பு,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ஒலி முகமூடி,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ஒலி சக்தி,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
சட்டவிரோத சொத்து,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ஒலி எதிர்வினை,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ஒலி ரிஃப்ளெக்ஸ்,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ஒலி ஓடு,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ஒலி அலை,ಸ ೦ ವರ ತರಂಗ
ஒலியியல் உறிஞ்சுதல்,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ஒலியியல் விழிப்புணர்வு மாறிலி,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
ஒலியியல் ஈரமாக்குதல்,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
ஒலியியல் தாமத வரி,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ஒலியியல் விலகல்,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
ஒலியியல் குழாய்,ಅಕೌಟಿಕಲ್ ನಾಳ
ஒலியியல் ஆற்றல்,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
ஒலியியல் கருத்து,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ஒலியியல் வடிகட்டி,ಕೊಳೆತ ಫಿಲ್ಟರ್
ஒலியியல் மின்மறுப்பு,ಕೊಳೆತ ಪ್ರತಿರೋಧ
ஒலியியல் பரப்புதல் மாறிலி,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ
ஒலியியல் எதிர்ப்பு,ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ
ஒலியியல்,ಸ್ರವಿಸುವ
கையகப்படுத்தல்,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
சுருக்கம்,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
செயல் பகுதி,ಕಾರ್ಯ ಪ್ರದೇಶ
செயல்படுத்தப்பட்ட இழை,ಸಕ್ರಿಯ ತಂತು
செயலில்,ಸಕ್ರಿಯ
செயலில் உள்ள பகுதி,ಸಕ್ರಿಯ ಪ್ರದೇಶ
செயலில் சாளரம்,ಸಕ್ರಿಯ ಕಿಟಕಿ
தகவமைப்பு,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
அடாப்டர் (அடாப்டர்),ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
முகவரி புத்தகம்,ವಿಳಾಸ ಪುಸ್ತಕ
முகவரி பஸ்,ವಿಳಾಸ ಬಸ್
முகவரி தீர்மானம்,ವಿಳಾಸ ಪರಿಹಾರ
அருகிலுள்ள சேனல் குறுக்கீடு,ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ
அருகிலுள்ள சேனல் தேர்வு,ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ
அருகிலுள்ள அதிர்வெண்,ಪಕ್ಕದ ಆವರ್ತನ
அருகிலுள்ள அதிர்வெண் சேனல்,ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್
அருகிலுள்ள படம் கேரியர்,ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ
அருகிலுள்ள ஒலி கேரியர்,ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ
அருகிலுள்ள நிலையம்,ಪಕ್ಕದ ನಿಲ್ದಾಣ
சரிசெய்யக்கூடியது,ಹೊಂದಿಸಲಾಗುವ
சரிசெய்யக்கூடிய மின்தேக்கி,ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್
அழுத்தம் சரிசெய்தல்,ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು
குறடு சரிசெய்தல்,ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ
சரிசெய்தல்,ಹೊಂದಾಣಿಕೆ
நிர்வாகி,ನಿರ್ವಾಹಕ
மேம்பட்ட தொழில்நுட்பம்,ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ
வான்வழி,ವೈಮಾನಿಕ
வான்வழி வரிசை,ವೈಮಾನಿಕ ರಚನೆ
வான்வழி பூஸ்டர்,ವೈಮಾನಿಕ ಬೂಸ್ಟರ್
வான்வழி மின்னோட்டம்,ವೈಮಾನಿಕ ಪ್ರವಾಹ
வான்வழி பூமி சுவிட்ச்,ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್
வான்வழி செயல்திறன்,ವೈಮಾನಿಕ ದಕ್ಷತೆ
வான்வழி மின்மறுப்பு,ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ
வான்வழி தூண்டல்,ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ
வான்வழி இன்சுலேட்டர்,ವೈಮಾನಿಕ ಅವಾಹಕ
வான்வழி ஏற்றுதல் சுருள்,ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್
வான்வழி புகைப்படம்,ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ
வான்வழி சக்தி,ವೈಮಾನಿಕ ಶಕ್ತಿ
வான்வழி கதிர்வீச்சு,ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ
வான்வழி எதிர்வினை,ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ
ஏரோடைனமிக்ஸ்,ಧಾರ್ಮಿಕತೆ
ஏஜென்சி,ವಾಗ್ದಾನ
காற்று அழுத்தி,ವಾಯು ಸಂಕೋಚಕ
ஏர் மின்தேக்கி,ವಾಯುಮಂಡಲ
குளிா்ந்த காற்று,ಗಾಳಿ ತಣ್ಣಗಾಯಿತು
காற்று கோர்ட் சுருள்,ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್
ஏர் கண்டிஷனிங்,ಹವಾನಿಯಂತ್ರಣ
ஆல்பெடோ,ಪಂಥದ
வழிமுறை,ಅಲ್ಗಾರಿದಮ್
மாற்றுப்பெயர்ச்சி,ಅಲಿಯಾಸೆ
சீரமைத்தல்,ಜೋಡಣೆ
சீரமைப்பு,ಜೋಡಣೆ
அனைத்து அலை வான்வழி,ಎಲ್ಲಾ ತರಂಗ ವೈಮಾನಿಕ
ஒதுக்கீடு,ಮನವಸಿಕೆ
