Odiya,Bengali
"1. ଆବାକସ୍, ୨। ଗଣନା","1.অ্যাবাকাস, 2. গণনা"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,অস্বাভাবিক সমাপ্তি
ବାଧା,পথিমধ্যে রোধ করা
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. পরম, 2. সর্বোচ্চ"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,পরম ঠিকানা
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,পরম ঠিকানাযোগ্যতা
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,পরম সংযোজনকারী
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. পরম কোড, 2. পরম কোড"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,পরম আদেশ
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,পরম নির্দেশ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,পরম মোড
ସଂପୂର୍ଣ୍ଣ ପଥ,পরম পথ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,বিমূর্ত ক্লাস
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,বিমূর্ত তথ্য প্রকার
ବିସ୍ତୃତ ମେସିନ୍ |,বিমূর্ত মেশিন
ବିସ୍ତୃତ ପ୍ରତୀକ |,বিমূর্ত প্রতীক
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,বিমূর্ত বাক্য গঠন
ଗ୍ରହଣ ପରୀକ୍ଷା,স্বীকৃতি পরীক্ষা
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,অ্যাক্সেস সার্টিফিকেশন
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,প্রবেশাধিকার নিয়ন্ত্রণ
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,অ্যাক্সেস স্ক্যানিং
ଆନୁଷଙ୍ଗିକ,আনুষাঙ্গিক
ହିସାବ,অ্যাকাউন্টিং
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
ଜମାକାରୀ,সঞ্চয়কারী
"1. ସଠିକତା, 2 ସଠିକତା","1. নির্ভুলতা, 2. সঠিকতা"
ପ୍ରବେଶ,অ্যাক্সেস
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ପ୍ରବେଶ ସୂଚକ,অ্যাক্সেস সূচক
ପ୍ରବେଶ କୀ,অ্যাক্সেস কী
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
ପ୍ରବେଶ ମୋଡ୍,অ্যাক্সেস মোড
ସୁବିଧା ପ୍ରବେଶ,সুযোগ সুবিধা
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,অ্যাক্সেস নিরাপত্তা
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
ପ୍ରବେଶ ସମୟ,প্রবেশাধিকার সময়
ସ୍ୱୀକୃତି,স্বীকৃতি
ଆକାଶବାଣୀ,ধ্বনিবিদ্যা
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,কর্ম বার্তা
ସକ୍ରିୟ,সক্রিয়করণ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,সক্রিয় সার্ভার পৃষ্ঠা
ସକ୍ରିୟ ସଂସ୍କରଣ |,সক্রিয় সংস্করণ
acyclic,অ্যাসাইক্লিক
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
to sum),যোগ করা)
ରାଶି ଫାଇଲ୍ |,সমষ্টি ফাইল
"1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
ଆଡର୍,যোগকারী
ଜାଣନ୍ତୁ |,জানি
ଠିକଣା ବସ୍,ঠিকানা বাস
ଠିକଣା ଫାଇଲ୍ |,ঠিকানা ফাইল
ଠିକଣା ଫର୍ମାଟ୍,ঠিকানা বিন্যাস
ଠିକଣା ଜେନେରେଟର,ঠিকানা জেনারেটর
ଠିକଣା ରେଖା,ঠিকানা লাইন
ଠିକଣା ମ୍ୟାପିଂ,ঠিকানা ম্যাপিং
ଠିକଣା ସୂଚକ,ঠিকানা নির্দেশক
ଠିକଣା ରେଜିଷ୍ଟର,ঠিকানা রেজিস্টার
ଠିକଣା ଭାଙ୍ଗିବା,ঠিকানা ভাঙ্গন
ଠିକଣା ଅନୁବାଦ,ঠিকানা অনুবাদ
"1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
ଠିକଣା,সম্বোধন
"1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
ସଂଲଗ୍ନ,সংযুক্তি
"1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ","1. ম্যানেজার, 2. নিয়ামক"
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,অ্যাডোবি অ্যাক্রোব্যাট
ଆଡୋବ ଫଟୋସପ୍ |,অ্যাডোবি ফটোশপ
ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
"1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ","1. উন্নত তথ্য, 2. উন্নত তথ্য"
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,উন্নত তথ্য সিস্টেম
ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT),উন্নত প্রযুক্তি (AT)
କାର୍ଯ୍ୟ,কর্ম
ଏକୀକରଣ,সমষ্টি
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus page-make,aldus পৃষ্ঠা তৈরি
ଆଲର୍ଟ ବାକ୍ସ,সতর্কতা বাক্স
algol (କମ୍ପ୍ୟୁଟର ଭାଷା),আলগোল (কম্পিউটার ভাষা)
"1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |","1. অ্যালগরিদম, 2. অ্যালগরিদম"
"1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |","1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,অ্যালগরিদম দক্ষতা
"1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା","1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
ଶ୍ରେଣୀବଦ୍ଧତା |,প্রান্তিককরণ
"1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ","1. বরাদ্দ, 2. বরাদ্দ"
"1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |","1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
ବର୍ଣ୍ଣମାଳା,আলফানিউমেরিক
"1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |","1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା),আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
"1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |","1. আলফা সংস্করণ, 2। আলফা ফর্ম"
alt କି,alt কী
altavista,আলতাভিস্তা
ବହୁଗୁଣ,বহুগুণ
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,অস্পষ্ট ব্যাকরণ
ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
"1. ଅନୁରୂପ, 2 analog","1. সাদৃশ্যপূর্ণ, 2. এনালগ"
"1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |","1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
"1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ","1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
"1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |","1. এনালগ মডেম, 2. এনালগ মডেম"
ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |,এনালগ থেকে ডিজিটাল কনভার্টার
ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ),শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত)
ଶେଷ ସର୍କିଟ |,শেষ সার্কিট
ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |,শেষ গেট এবং গেট
ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର),শেষ নয় অপারেশন (বর্জন)
"1. ଆନିମେସନ୍, 2. କମ୍ପନ |","1. অ্যানিমেশন, 2. কম্পন"
ଧ୍ୟାନ ଦିଅନ୍ତୁ,বিঃদ্রঃ
ଅସଙ୍ଗତି |,অসঙ্গতি
ପୂର୍ବ,আগে
ଆଶାକର୍ମୀ ପେଜିଂ |,প্রত্যাশিত পেজিং
କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |,কাউন্টার-সিমেট্রিক
ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |,অ্যান্টিভাইরাল প্রোগ্রাম
"1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ","1. অ্যাপলেট, 2। আবেদন"
ପ୍ରୟୋଗ ବିକାଶକାରୀ |,অ্যাপ্লিকেশন ডেভেলপার
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,অ্যাপ্লিকেশন প্রোগ্রামিং
"1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)","1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)"
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,অ্যাপ্লিকেশন সফ্টওয়্যার
ପ୍ରୟୋଗ ଭାଷା,অ্যাপ্লিকেশন ভাষা
ଆନୁମାନିକ ନୀତି,আনুমানিক নীতি
ଗଠନ,গঠন
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର,ক্ষেত্র স্থানান্তর
"1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ","1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ"
"1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |","1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট"
ଗାଣିତିକ ଯାଞ୍ଚ |,পাটিগণিত পরীক্ষা
ଗାଣିତିକ ସ୍ଥିର |,গাণিতিক ধ্রুবক
ଗାଣିତିକ ତଥ୍ୟ,গাণিতিক তথ্য
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,গাণিতিক নির্দেশ
ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU),গাণিতিক ও লজিক্যাল ইউনিট (ALU)
ARPA ନେଟ (RPNet),ARPA নেট (RPNet)
ଆରେ,অ্যারে
"1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ","1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি"
ଆରେ କମ୍ପ୍ୟୁଟର |,অ্যারে কম্পিউটার
ଆରେ ଉପାଦାନ |,অ্যারে উপাদান
ଆରେ ନାମ,অ্যারের নাম
ଆରେ ସଞ୍ଚାଳକ,অ্যারে প্রসেসর
ତୀର କି,তীর কী
ଚୁକ୍ତି,সন্ধি
ଜଙ୍କସନ୍ ପଏଣ୍ଟ |,সংযোগ বিন্দু
କୃତ୍ରିମ ସଙ୍କୋଚନ |,কৃত্রিম কম্প্যাকশন
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,কৃত্রিম নিয়ন্ত্রণ
କୃତ୍ରିମ ଅର୍ଥ |,কৃত্রিম অনুভূতি
ଆରୋହଣ,মাউন্ট
ଆରୋହଣ କ୍ରମ,আরোহী সাজানোর
ascii ବର୍ଣ୍ଣମାଳା |,ascii বর্ণমালা
ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |,ascii নিয়ন্ত্রণ প্রতীক
ascii ଫାଇଲ୍ |,ascii ফাইল
ascii ଫଣ୍ଟ,ascii ফন্ট
ASCII ସ୍ଥାନାନ୍ତର |,ASCII স্থানান্তর
ଆନୁମାନିକ ଅନୁପାତ,আনুমানিক অনুপাত
"1. ଆସ୍ପି, ୨ ASPI","1. Aspy, 2. এএসপিআই"
ଏକ S R କାଲାଡ୍ |,এ এস আর কালাদ
"1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା","1. স্মরণ, 2. সমাবেশ, 3. জড় করা"
"1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ","1. অ্যাসেম্বলার, 2. অনুস্মারক"
"1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ","1. সমাবেশ, 2. স্মরণ"
"1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |","1. মুখস্থ ভাষা, 2. একত্রিত ভাষা"
ନିଷ୍ଠା,সংকল্প
"1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ","1. নির্দিষ্ট কাজ, 2. বরাদ্দ"
ସାଥୀତା,সাহচর্য
ସହଯୋଗୀ ଠିକଣା,সহযোগী ঠিকানা
"1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି","1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি"
ନକ୍ଷତ୍ର (* ଚିହ୍ନ),তারকাচিহ্ন (* চিহ্ন)
ଅସୀମିତ |,অপ্রতিসম
"1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |","1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস"
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,অ্যাসিঙ্ক্রোনাস স্থানান্তর
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
"1. ପରମାଣୁ, ୨ ପରମାନ","1. পরমাণু, 2. পরমণ"
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,সংযুক্ত নথি
"1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |","1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল"
"1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ","1. ঘের, 2. সম্বন্ধযুক্ত"
"1. ଗୁଣ, 2 ବିଶେଷତା","1. বৈশিষ্ট্য, 2. বিশেষত্ব"
ଶ୍ରବଣଯୋଗ୍ୟ |,শ্রবণযোগ্য
"1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |","1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং"
ଖାତା ଯାଞ୍ଚ |,অ্যাকাউন্ট পরীক্ষা
ପଦୋନ୍ନତି,পদোন্নতি
ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |,সার্টিফিকেশন প্রোটোকল
ଲେଖକ ପଦ୍ଧତି,রচনা পদ্ধতি
"1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ","1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল"
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,স্বয়ংক্রিয় বিমূর্ত
"1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍","1. অটো বুটিং, 2. স্ব বুট"
ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା),অটোক্যাড (একটি কম্পিউটার ভাষা)
ଅଟୋ ଲଗ୍ ଅନ୍ |,স্বয়ংক্রিয় লগ-অন
ଅଟୋମେଟା |,স্বয়ংক্রিয়
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,স্বয়ংক্রিয় তত্ত্ব
ସ୍ୱୟଂଚାଳିତ ଗଣନା,স্বয়ংক্রিয় গণনা
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,স্বয়ংক্রিয় ত্রুটি সংশোধন
ଅଟୋ ଫଙ୍କସନ୍,স্বয়ংক্রিয় ফাংশন
"1. ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ, 2 ସ୍ୱୟଂଚାଳିତ ତାଲିକା |","1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা"
ଅଟୋ-ସଂଗ୍ରହ କଲ୍ |,স্বয়ংক্রিয় সংগ্রহ কল
"1. ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ, 2 ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |","1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং"
