Kannada,Odiya
ಅಸಹಜ,ଅସ୍ୱାଭାବିକ |
ಸ್ಥಗಿತಗೊಳಿಸು,ପରିତ୍ୟାଗ
ಸವೆದುಹೋಗುವಿಕೆ,ଅଳିଆ ଆବେଗ
ಹಠಾತ್ತಾಗಿ,ଆକସ୍ମିକ
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ಹೀರಿಕೊಳ್ಳಿ,ଶୋଷଣ
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,ଶୋଷଣୀୟ କ୍ଷତି |
ಅಮೂರ್ತ,ବିସ୍ତୃତ
ವೇಗವರ್ಧಕ ಮಾಪಕ,ଆକ୍ସଲେରୋମିଟର |
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ଗ୍ରହଣ ପରୀକ୍ଷା
ಪ್ರವೇಶ,ପ୍ରବେଶ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ಪ್ರವೇಶ,ପ୍ରବେଶ ବିନ୍ଦୁ
ಪ್ರವೇಶ ಸಮಯ,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
ಪ್ರವೇಶಿಸುವಿಕೆ,ଅଭିଗମ୍ୟତା |
ಸಂಚಯಕ ಕೋಶ,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
ನಿಖರತೆ,ସଠିକତା
ನಿಖರವಾದ,ସଠିକ୍
ವರ್ಣರಂಜಿತ ಮಸೂರದ,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
ಆಮ್ಲ,ଏସିଡ୍ |
ಆಮ್ಲ ಪುರಾವೆ,ଏସିଡ୍ ପ୍ରମାଣ |
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ଅମ୍ଳତା
ಸ್ವೀಕೃತ ಬಿಟ್,ସ୍ୱୀକୃତି ବିଟ୍
Acೇಳ್ಳರದ,ଆକାଶବାଣୀ |
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ଆକାଶବାଣୀ ବିସ୍ତାର
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ଆକାଶବାଣୀ ସମାନତା |
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ଆକାଶବାଣୀ ମତାମତ |
ಕೊಳೆತ ಫಿಲ್ಟರ್,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,ଆକାଶବାଣୀ ମାସ୍କିଂ |
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,ଆକାଶବାଣୀ ଶକ୍ତି |
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ಸ ೦ ವರ ತರಂಗ,ଆକାଶବାଣୀ ତରଙ୍ଗ |
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,ଆକାଶବାଣୀ ବିକୃତି |
ಅಕೌಟಿಕಲ್ ನಾಳ,ଆକାଶବାଣୀ ନଳୀ |
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,ଆକାଶବାଣୀ ଶକ୍ତି |
