Telugu,English
గర్భస్రావం చేసిన అవయవం,Aborted organ
గర్భస్రావం చేసిన విత్తనం,Aborted seed
గర్భస్రావం,Abortion
సంపూర్ణ కలుపు,Absolute weed
గ్రహించిన కేషన్,Absorbed cation
శోషణ,Absorption
అబిస్సినియన్ ఆవాలు,Abyssinian mustard
అకారిసైడ్,Acaricide
యాక్సెంట్రిక్,Accentric
ఉచ్ఛారణ (సెల్),Accentuate (cell)
అంగీకరించబడిన సహనం,Accepted tolerance
అనుబంధ,Accessory
అలవాటు,Acclimatization
చేరడం,Accumulation
ఖచ్చితత్వం,Accuracy
అసర్వులస్,Acervulus
ఎసిటిఫికేషన్,Acetification
ఆమ్లీకరణ,Acidification
అసిడిమీటర్,Acidimeter
ఆమ్లత్వం,Acidity
అసిడోఫిలిక్,Acidophilic
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,Acidulated rock phosphate
యాసిడ్యూరిక్,Aciduric
జలాశయం,Aquifer
సముపార్జన,Acquisition
ఎకరాలు,Acre
ఎకరాల,Acreage
అక్రోసెంట్రిక్ క్రోమోజోమ్,Acrocentric chromosome
అక్రోపెటల్,Acropetal
అక్రోసోమ్,Acrosome
ఆక్టినోమైసెట్స్,Actinomycetes
యాక్టివ్ రూట్ జోన్,Active root zone
తీవ్రమైన,Acute
అనుకూలత,Adaptability
అనుసరణ,Adaptation
సంశ్లేషణ,Adhesion
కొవ్వు,Adipose
సర్దుబాటు సమీకరణం,Adjustment equation
అడోబ్ నేల,Adobe soil
కల్తీ,Adulterant
సాహసోపేతమైనది,Adventitious
Aecidiospore,Aecidiospore
అయోలియన్ ప్రక్రియ,Aeolian process
అయోలియన్,Aeolian
ఎఫరేట్,Aerate
ఆకాశయాన,Aerial
ఏరోమీటర్,Aerometer
ఏరోసోల్,Aerosol
ఎస్టివేషన్,Aestivation
పశ్చాత్తాప విజ్ఞానము,Aetiology (etiology)
అటవీ నిర్మూలన,Afforestation
ఆందోళన,Agitation
అగ్మార్క్,Agmark
వ్యవసాయం,Agrarian
వ్యవసాయ క్లినిక్,Agricultural clinic
వ్యవసాయ శ్రమ,Agricultural labour
వ్యవసాయ మార్కెటింగ్,Agricultural marketing
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,Agricultural technology
వ్యవసాయం,Agriculture
అగ్రిసిల్వికల్చర్,Agrisilviculture
అగ్రోబియోడివైవర్సిటీ,Agrobiodiversity
అగ్రోబయోలాజికల్ లోపాలు,Agrobiological defects
అగ్రోబయాలజీ,Agrobiology
అగ్రోక్లిమాటిక్ వైవిధ్యం,Agroclimatic diversity
అగ్రోక్లిమాటిక్ జోనింగ్,Agroclimatic zoning
అగ్రోఫారెస్ట్రీ,Agroforestry
వ్యవసాయ శాస్త్రం,Agrology
వ్యవసాయ శాస్త్రం,Agronomy
అగ్రోపాస్టోరల్,Agropastoral
అగ్రోప్రాసెసింగ్,Agroprocessing
అగ్రోస్టాలజీ,Agrostology
అగ్రోటైప్,Agrotype
ఎయిర్ ప్లాంట్,Air plant
అకియోచి నేల,Akiochi soil
అల్బినిజం,Albinism
ఆల్ఫిసోల్స్,Alfisols
ఆల్గే,Algae
ఆల్గల్ వ్యాధి,Algal disease
క్షార నీరు,Alkali water
ఆల్కలీన్,Alkaline
యుగ్మ వికల్పం,Allele
అల్లెలోకెమికల్స్,Allelochemicals
అల్లెలోమోర్ఫ్,Allelomorph
అల్లెలోపతి,Allelopathy
అల్లే క్రాపింగ్,Alley cropping
కేటాయింపు,Allocarpy
అయోగాగమి,Allogamy
అలోమెట్రీ,Allometry
అల్లోపాలిప్లోయిడ్,Allopolyploid
(అలోసిన్సిస్ఐలు,Allosynapsis (allosyndesis)
ప్రత్యామ్నాయ బేరింగ్,Alternate bearing
ప్రత్యామ్నాయ భూ వినియోగం,Alternate land use
పరిసర,Ambient
అమేలియోరెంట్,Ameliorant
అమిటోసిస్,Amitosis
అమినైజేషన్,Amminization
అమ్మోనిఫికేషన్,Ammonification
అమ్మోనిఫైయర్,Ammonifier
AMORFH,Amorph
యాంఫిమిక్సిస్,Amphimixis
యాంఫోటెరిక్,Amphoteric
అనాబాలిజం,Anabolism
Anaerobe,Anaerobe
అనూప్లోయిడ్,Aneuploid
యాంగిల్ నాటడం,Angle planting
పశుసంరక్షణ,Animal husbandry
జంతు తిరస్కరణ,Animal refuse
శక్తిని యానిమేట్ చేయండి,Animate energy
అనిసోప్లాయిడ్,Anisoploid
వార్షిక ప్లాంట్,Annual plant
వార్షిక,Annual
సంశ్లేషణ,Anthesis
ఆంత్రాక్స్,Anthrax
మానవ కారకం,Anthropogenic factor
యాంటీబయోసిస్,Antibiosis
యాంటీబయాటిక్,Antibiotic
విరుగుడు,Antidote
యాంటీఆక్సిడెంట్లు,Antioxidants
యాంటిటాక్సిన్,Antitoxin
యాన్యులస్,Annulus
అఫిడ్,Aphid
ఎపికల్ బడ్,Apical bud
ఎపికల్ ఆధిపత్యం,Apical dominance
పుష్పగుచ్ఛము,Apiculture (bee keeping)
అపోమిక్సిస్,Apomixis
అపోప్టోసిస్,Apoptosis
అనుబంధం,Appendage
ఆకలి,Appetizer
అనువర్తిత,Applied
జల కలుపు,Aquatic weed
అర్బోరియల్,Arboreal
అర్బరైజేషన్,Arborization
ఆర్కియో-బొటానికల్ రికార్డులు,Archaeo-botanical records
ప్రాంత గణాంకాలు,Area statistics
ప్రాంతం,Area
శుష్క పర్యావరణ వ్యవస్థ,Arid ecosystem
అరిల్,Aril
వాసన,Aroma
సుగంధ మొక్క,Aromatic plant
సుగంధ బియ్యం,Aromatic rice
బాంజింగ్,Arrowing
అసేప్సిస్,Asepsis
అసెప్టిక్,Aseptic
అలైంగిక ప్రచారం,Asexual propagation
పరీక్ష,Assay
ఆస్తులు,Assets
సమీకరణ,Assimilation
అసోసియేషన్,Association
రక్తస్రావం,Astringent
అసినప్సిస్,Asynapsis
అటావిజం,Atavism
అటామైజర్,Atomizer
క్షీణత,Atrophy
ఆటోగామి,Autogamy
ఆటోలిసిస్,Autolysis
ఆటోక్సీడేషన్,Autoxidation
ఆటోపోలిప్లోయిడ్,Autopolyploid
ఆక్సిన్లు,Auxins
దంపతులు,Awn (bristle)
బాదం,Almond
కలబంద,Aloe
అమరాంథస్,Amaranthus
Ammi,Ammi
అంజన్ గడ్డి,Anjan grass
ఆంథూరియం,Anthurium
"అయోన్లా, ఇండియన్ గూస్బెర్రీ","Aonla, Indian gooseberry"
ఆపిల్,Apple
నేరేడు పండు,Apricot
అర్బియన్ జాస్మిన్,Arbian jasmine
అరేకా గింజ,Areca nut
అర్జున్,Arjun
అస్ఫోటిడా,Asfoetida
యాష్ పొట్లకాయ,Ash gourd
అశోక చెట్టు,Ashoka tree
కవచము కలుపు,Ashthma weed (euphorbia)
ఆస్పరాగస్,Asparagus
అవోకాడో,Avocado
అంతా అల్నాఫ్న్నే,Alfalfa (lucerne)
చీమలు,Ants
అఫిడ్స్,Aphids
ఆర్మీ పురుగు,Army worm
వ్యవసాయ ఆర్థికవేత్త,Agricultural economist
వ్యవసాయ పొడిగింపు,Agricultural extensionist
వ్యవసాయ శాస్త్రవేత్త,Agricultural scientist
వ్యవసాయ ఇంజనీర్,Agriculture engineer
అగ్రోబయాలజిస్ట్,Agrobiologist
వ్యవసాయ శాస్త్రవేత్త,Agronomist
అగ్రోఫిసిక్,Agrophysicst
జంతువుల పెంపకందారుడు,Animal breeder
బాసిల్లస్ వైరస్,Bacillus virus
బాసిల్లస్,Bacillus
బాక్టీరియా,Bacteria
బాక్టీరియోటాక్సిన్,Bacteriotoxin
బాగస్సే,Bagasse
బ్యాలెన్స్ షీట్,Balance sheet
సమతుల్య ఫలదీకరణం,Balanced fertilization
బార్ రేఖాచిత్రం,Bar diagram
బెరడు,Bark
బేరోమీటర్,Barometer
బంజరు,Barren
బేస్,Base
బేసిన్,Basin
బాసిపెటల్,Basipetal
బేసిథెర్నమ్,Basisternum
బే రుతుపవనాలు,Bay monsoon
బేరింగ్ ప్లాంట్,Bearing plant
మం చం,Bed
బెడర్,Bedder
పరుపు,Bedding
దుంప మొలాసిస్,Beet molasses
బెలోస్,Bellows
బెల్ట్,Belt
బెనిఫిట్-కాస్ట్ అనాలిసిస్,Benefit-cost analysis
పక్షపాతం,Biased (sampling)
ద్వైవార్షిక,Biennial
ద్విపద,Binomial
బయోజెంట్,Bioagent
బయోక్లైమేట్,Bioclimate
బయోఎనర్జీ,Bioenergy
బయోనోమిక్స్,Bionomics
బయోఇయాక్టర్,Bioreactor
బయోస్పియర్,Biosphere
బయోటిక్,Biotic
బయోటైప్,Biotype
ద్విలింగ,Bisexual
బ్లాంచింగ్,Blanching
పేలుడు,Blast
కలపండి,Blend
ముడత,Blight
పొక్కు,Blister
నీలం విప్లవం,Blue revolution
దిగువ వేడి గది,Bottom heat chamber
దిగువ ఉష్ణ సాంకేతికత,Bottom heat technique
బ్రాన్,Bran
శాఖ,Branching
బ్రాంచ్లెట్,Branchlet
జాతి,Breed
పెంపకం,Breeding
బ్రిమ్మింగ్,Brimming
సంతానం,Brood
బడ్డింగ్,Budding
బడ్జెట్,Budget
బఫర్,Buffer
బల్బ్,Bulb
బంట్,Bunt
ఉప-ఉత్పత్తి,By-product
బాబుల్ అకాసియా,Babul acacia
బేబీ మొక్కజొన్న,Baby corn
బేల్,Bael
బైల్,Baill
బాల్సం,Balsam
వెదురు,Bamboo
అరటి,Banana
మర్రి చెట్టు,Banyan tree
బార్లీ,Barley
బార్నియార్డ్ మిల్లెట్,Barnyard millet
తులసి,Basil
బాస్టర్డ్ సెడార్,Bastard cedar
బాస్టర్డ్ మైరోబాలన్,Bastard myrobalan
బౌహినియా,Bauhinia
బే బెర్రీ,Bay berry
బీన్,Bean
దుంప,Beet
బెల్లడోన్నా,Belladonna
బెర్,Ber
బెర్సీమ్,Berseem
బెటెల్,Betel
బిలింబి,Bilimbi
కాకరకాయ,Bitter gourd
బ్లాక్ గ్రామ్,Black gram
బ్లాక్ నైట్ షేడ్,Black nightshade
బౌగెన్విలియా,Bougainvillea
బాటిల్ బ్రష్,Bottle brush
బాటిల్ పొట్లకాయ,Bottle gourd
బాక్స్ ట్రీ,Box tree
బ్రెడ్ ఫ్రూట్,Bread fruit
పెళ్లి లత,Bridal creeper
బ్రింజల్,Brinjal
బ్రాడ్ బీన్,Broad bean
బ్రోకలీ,Broccoli
బ్రస్సెల్ మొలక,Brussel's sprout
బుక్వీట్,Buckwheat
బ్యూటియా,Butea
బాండికూట్,Bandicoot
ఎలుగుబంటి,Bear
బీటిల్,Beetle
బొబ్బ బీటిల్,Blister beetle
బ్లూ బుల్,Blue bull
బోల్ పురుగు,Boll worm
సీతాకోకచిలుక,Butterfly
బాక్టీరియాలజిస్ట్,Bacteriologist
బయోకెమిస్ట్,Biochemist
జీవశాస్త్రవేత్త,Biologist
బయోటెక్నాలజిస్ట్,Biotechnologist
వృక్షశాస్త్రజ్ఞుడు,Botanist
సి తేమ లక్షణ వక్రత,C moisture characteristic curve
కేక్,Cake
కాల్కారియస్,Calcarious
కాల్సిఫికేషన్,Calcification
ఫాస్ఫేట్ యొక్క లెక్కింపు,Calcination of phosphate
కాలోసిటీ,Callosity
కాలిస్,Callus
కాలిక్స్,Calyx
కాలిక్స్-ఎండ్,Calyx-end
కాంబియం,Cambium
క్యాంకర్,Canker
క్యానింగ్,Canning
పందిరి,Canopy
రాజధాని,Capital
కాప్రిఫికేషన్,Caprification
క్యాప్సూల్,Capsule
కార్బోనేటేడ్,Carbonated
కార్బోనైజేషన్,Carbonization
కార్పెల్,Carpel
కార్పస్,Carpus
కాస్టింగ్,Casting
క్యాటాబోలిజం,Catabolism
ఉత్ప్రేరక,Catalysis
గొంగళి పురుగు,Caterpillar
సి-డిఎన్ఎ లైబ్రరీ,C-DNA Library
పైకప్పు,Ceiling
సెల్,Cell
కేంద్ర నాయకుడు వ్యవస్థ,Central leader system
సెంట్రిక్,Centric
సెంట్రిఫ్యూగేషన్,Centrifugation
సెంట్రిఫ్యూజ్,Centrifuge
సెంట్రియోల్,Centriole
సెంట్రోజెనిక్,Centrogenic
సెంట్రోజెనస్,Centrogenous
సెర్కస్,Cercus
ధాన్యం,Cereal
ధృవీకరణ,Certification
ధృవీకరించబడిన విత్తనం,Certified seed
చాఫ్,Chaff
చలాజా,Chalaza
కెమోట్రోపిజం,Chemotropism
చియాస్మా,Chiasma
చిల్లింగ్ గంటలు,Chilling hours
చిల్లింగ్ గాయం,Chilling injury
చిమెరా,Chimera
క్లోరాంథీ,Chloranthy
క్లోరోఫిల్,Chlorophyll
క్లోరోసిస్,Chlorosis
క్లోరాలజీ,Chlorology
క్రోమాటిడ్,Chromatid
క్రోమాటిన్,Chromatin
క్రోమాటోగ్రఫీ,Chromatography
క్రోమాటోలిసిస్,Chromatolysis
క్రోమోసెంట్రే,Chromocentre
క్రోమోజెనిసిస్,Chromogenesis
క్రోమోప్రొటీన్,Chromoprotein
క్రోమోజోమ్,Chromosome
దీర్ఘకాలిక,Chronic
సిట్రేంజ్,Citrange
క్లాడోడ్,Cladode
వర్గీకరణ,Classification
మట్టి,Clay
శుభ్రపరచడం,Cleaning
క్లిస్టోగామి,Cleistogamy
క్లైమాక్టెరిక్ పండు,Climacteric fruit
వాతావరణం,Climate
క్లైమాటాలజీ,Climatology
క్లిప్పర్,Clipper
క్లాడ్,Clod
క్లోన్,Clone
మేఘం,Cloud
క్లాంప్,Clump
క్లస్టర్,Cluster
ముతక,Coarse
విత్తనం,Coat (seed)
కోకన్,Cocoon
కోఎంజైమ్,Coenzyme
సమన్వయం,Cohesion
కోయిర్,Coir
కోలియోరిజా,Coleorrhiza
కాలర్,Collar
ఘోథ,Colloid (soil)
కొలుమెల్లా,Columella
కాలమ్,Column
ప్రారంభం,Commensalism
వాణిజ్య బ్యాంకు,Commercial bank
వస్తువు,Commodity
సంఘం,Community
సంపీడన (మట్టి),Compaction (of soil)
అనుకూలత,Compatibility
అనుకూలత,Compatibility
పరిహారం,Compensation
పోటీ పరస్పర చర్య,Competitive interaction
పరిపూరకరమైన పంట,Complementary crop
క్లిష్టమైన,Complex
భాగం,Component
కూర్పు,Composition
కంపోస్ట్,Compost
చక్రవడ్డీ,Compound interest
గణన,Computation
కంప్యూటర్,Computer
ఏకాగ్రత,Concentration
కండీషనర్,Conditioner
ప్రవర్తన,Conductance
ఆకృతీకరణ,Configuration
అనుగుణ్యత,Conformity
గందరగోళం,Confounding
సంయోగం,Conjugation
కనెక్టివ్,Connective
పరిరక్షణ,Conservation
ఏకీకరణ,Consolidation
భాగాలు,Constituents
వినియోగదారు,Consumer
వినియోగం,Consumption
కాలుష్యం,Contamination
ఆకృతి నాటడం,Contour planting
ఆకృతి,Contour
కాంట్రాక్ట్ వ్యవసాయం,Contract farming
నియంత్రిత నిల్వ,Controlled storage
సహకార బ్యాంక్,Co-operative bank
సహకారం,Cooperator
కాపిస్,Coppice
కార్మ్,Corm
కొరోల్లా,Corolla
కార్టెక్స్,Cortex
ధర,Cost
కోడిలిడాన్,Cotyledon (seed)
క్రెడిట్ సొసైటీ,Credit society
క్రెడిట్,Credit
రుణదాత,Creditor
క్రెస్ట్,Crest
ముడతలు,Crinkle
సంక్షోభం,Crisis
ప్రమాణం,Criterion
క్లిష్టమైన,Critical
పంట భీమా,Crop insurance
పంట రుణం,Crop loan
పంట,Crop
పంట ప్రాంతం,Cropping area
క్రాస్ ఇన్ఫాంపిబుల్,Cross-incompatible
