Punjabi,English
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,Abbey of Westminster
ਨਿਮਰਤਾ,Abditory
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,Abolition of slavery
ਆਦਿਵਾਸੀ,Aboriginal
ਅਬਰਾਹਮ ਯੁੱਗ,Abraham Era
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,Absentee landlords
ਅਕੈਡਮੀ,Academy
ਅਕਰਾ ਕਾਨਫਰੰਸ,Accra conference
ਪ੍ਰਾਪਤੀ,Accruals
ਐਕਲਚਰੇਸ਼ਨ,Acculturation
ਐਸੇਲਡਾਮਾ,Aceldama
ਅਚੀਅਨ (=ਅਚੀਅਨ),Achaean (=Achian)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),Achaean League (=Achian League)
ਐਕ੍ਰੋਪੋਲਿਸ,Acropolis
ਐਕਟਾ ਦਿਉਰਨਾ,Acta Diurna
ਐਕਟਾ ਸੇਨੇਟਸ,Acta Senatus
ਐਕਟ ਐਡੀਸ਼ਨਲ,Acte Additionel
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),Active record (=current record)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,Act of attainder
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,Act of Indemnity and oblivion
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,Act of Settlement
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,Ad contractus seal
ਅਦੁਲਾਮਾਈਟਸ,Adullamites
ਵਿਰੋਧੀ,Adversary
ਵਿਰੋਧੀ,Adversary
ਏਯੋਨ,Aeon
ਏਰੈਰੀਅਮ,Aerarium
ਹਵਾਈ ਜੰਗ,Aerial warfare
ਏਟੋਲੀਅਨ ਲੀਗ,Aetolian League
ਉਮਰ,Age
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),Ageing (=aging)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,Ageing process
ਅਗੇਲੈ,Agelai
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,Age of chivalry
ਗਿਆਨ ਦੀ ਉਮਰ,Age of Englightment
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,Age of Pericles
ਕਾਰਨ ਦੀ ਉਮਰ,Age of reason
ਖੇਤੀਵਾਦ,Agrarianism
ਖੇਤੀ ਅੰਦੋਲਨ,Agrarian movement
ਐਲਬੀਅਨ,Albion
ਐਲਬਮ,Album
ਐਲਡਰਮੈਨ,Alderman
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,Allusive arms
ਦੋਸਤੀ,Amity
Amphictyonic ਕੌਂਸਲ,Amphictyonic Council
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,Amphictyonic League
ਅਖਾੜਾ,Amphitheatre
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),Amri Nal group (of pottery)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,Anachronism
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,Anachronistic
ਪੂਰਵਜ,Ancestor
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,Ancestor Worship
ਵੰਸ਼,Ancestry
ਵੰਸ਼,Ancestry
ਵੰਸ਼,Ancestry
ਵੰਸ਼,Ancestry
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,Ancien regime
ਪ੍ਰਾਚੀਨ,Ancient
ਪ੍ਰਾਚੀਨ ਗੀਤ,Ancient ballad
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,Ancient belief
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,Ancient custom
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,Ancient history
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,Ancient monuments
ਕਿੱਸਾ,Anecdote
ਐਂਜਲੋਟ,Angelot
ਐਂਜਲਸ,Angelus
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),Angevin (=anjevin)
ਕੋਣ,Angles
ਐਂਗਲੀਕਨ,Anglican
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,Anglican Communion
ਐਂਗਲੀਕਨਵਾਦ,Anglicanism
ਐਂਗਲੋ-ਫੋਬ,Anglo-phobe
ਐਂਗਲੋ-ਫੋਬੀਆ,Anglo-phobia
ਐਂਗਲੋ-ਸੈਕਸਨ,Anglo-Saxon
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,Anglo-Saxonism
ਐਨਾਲਿਸਟ,Annalist
ਇਤਿਹਾਸ,Annals
ਅਨੇਕਸ਼ਨ,Annexation
ਐਂਟੀ-ਬੇਲਮ,Ante-bellum
ਪਿਛਲੀ ਤਾਰੀਖ,Ante date
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,Anti-clericalism
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,Anti-clerical legislation
ਪੁਰਾਤਨਤਾ,Antiquity
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,Anti-rent
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,Anti-rent
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,Anti Semitism
ਐਨਜ਼ੈਕ,Anzac
ਅਪੇਲਾ,Apella
ਅਰਲੂ,Aralu
ਆਰਕ ਬਿਸ਼ਪ,Arch bishop
ਆਰਕ ਡਚੀ,Arch duchy
ਆਰਕ ਡਿਊਕ,Arch duke
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),Archief (=archival collection)
ਆਰਚੀਪੀਸਕੋਪੇਟ,Archiepiscopate
ਕੁਲੀਨ,Aristocracy
ਰਈਸ,Aristocrat
ਕੁਲੀਨ ਸਨੋਬਰੀ,Aristocratic snobbery
ਅਰਿਸਟੋਟਲੀਅਨ,Aristotelian
ਆਰਮਾਡਾ,Armada
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),Armada (=The Spanish Armada)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),Armorist (=armourist)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),Armour (=armor)
ਸ਼ਸਤਰਧਾਰਕ,Armourist
ਆਰੀਅਨ,Aryan
ਆਰੀਅਨ,Aryan
ਅਸਕਰੀ,Askari
ਅਸਾਈਨੈਟ,Assignat
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,Assize of Arms Act
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,Assize of Darrein Presentment
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,Assize of Mort 'D' Ancestor
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,Assize of Novel Disseisin
ਅੱਤਿਆਚਾਰ,Atrocity
ਹਮਲਾ,Attack
ਔਲਿਕ ਕੌਂਸਲ,Aulic Council
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),Axe of the Geddess (=the Geddess axe)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),Axis (=The Rome-Berlin-Tokyo Axis)
ਬਾਬਲ,Babylon
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),Babylonian captivity (=Babylonish captivity)
ਬਚਨਲ ਭਗਤ,Bacchanal devotee
ਬਚਨਲਿਆ,Bacchanalia
ਕੁਆਰਾ,Bachelor
ਬਗਦਾਦ ਸਮਝੌਤਾ,Baghdad Pact
ਬਾਲਕਨ ਲੀਗ,Balkan League
ਬਾਲਕਨ ਸਮਝੌਤਾ,Balkan Pact
ਬਾਲਕਨ ਯੁੱਧ,Balkan Wars
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,Baltic Pact
ਡਾਕੂ,Bandit
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,Bandung Conference
ਦੇਸ਼ ਨਿਕਾਲੇ,Banishment
ਬੈਨਰ,Banner
ਵਹਿਸ਼ੀ,Barbarian
ਬਾਰਬੀਕਨ,Barbican
