Hindi,Gujarati
"1.एबेकस ,2. गिनतारा","1.એબેકસ, 2. ગણતરી"
असामान्य समापन,અસામાન્ય અંત
अवरोधन,ઇન્ટરસેપ્ટ
"1. निरपेक्ष ,2. परम","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
निरपेक्ष पता,સંપૂર્ણ સરનામું
निरपेक्ष पताभिगमन,સંપૂર્ણ સંબોધનક્ષમતા
निरपेक्ष कोडांतरक,સંપૂર્ણ એસેમ્બલર
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
निरपेक्ष समादेश,સંપૂર્ણ આદેશ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
निरपेक्ष अनुदेश,સંપૂર્ણ સૂચના
निरपेक्ष विधा,સંપૂર્ણ મોડ
निरपेक्ष पथ,સંપૂર્ણ માર્ગ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
अमूर्त वर्ग,અમૂર્ત વર્ગ
अमूर्त आंकड़ा प्रकार,અમૂર્ત ડેટા પ્રકાર
अमूर्त मशीन,અમૂર્ત મશીન
अमूर्त प्रतीक,અમૂર્ત પ્રતીક
अमूर्त वाक्य विन्यास,અમૂર્ત વાક્યરચના
स्वीकृति परीक्षण,સ્વીકૃતિ કસોટી
अभिगम प्रमाणन,પ્રવેશ પ્રમાણપત્ર
"1. अभिगम कूट ,2. अभिगम कोड","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
अभिगम नियंत्रण,વપરાશ નિયંત્રણ
अभिगम क्रमवीक्षण,ઍક્સેસ સ્કેનિંગ
सहयंत्र,એસેસરીઝ
लेखा,નામું
"1. एकाउंट आई डी ,2. लेखा पहचान","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
संचायक,સંચયક
"1. विशुद्धता ,2. यर्थाथता","1. ચોકસાઈ, 2. ચોકસાઈ"
अभिगम,ઍક્સેસ
अभिगम नियंत्रण बाइट,એક્સેસ કંટ્રોલ બાઇટ્સ
अभिगम सूचक,ઍક્સેસ સૂચક
अभिगम कुंजी,ઍક્સેસ કી
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
अभिगम विधा,ઍક્સેસ મોડ
अभिगम विशेषाधिकार,ઍક્સેસ વિશેષાધિકારો
अभिगम सुरक्षा,ઍક્સેસ સુરક્ષા
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
अभिगम काल,ઍક્સેસ સમય
अभिस्वीकृति,સ્વીકૃતિ
ध्वनिकी,ધ્વનિશાસ્ત્ર
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
क्रिया संदेश,ક્રિયા સંદેશ
सक्रियण,સક્રિયકરણ
सक्रिय सर्वर पृष्ठ,સક્રિય સર્વર પૃષ્ઠ
