Malayalam,Tamil
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,வெஸ்ட்மின்ஸ்டர் அபே
ഒഴിഞ്ഞുമാറുക,துறவு
അടിമത്തം നിർത്തലാക്കൽ,அடிமைத்தனத்தை ஒழித்தல்
ആദിവാസികൾ,பழங்குடியினர்
അബ്രഹാം യുഗം,ஆபிரகாம் சகாப்தம்
ഹാജരാകാത്ത ഭൂവുടമകൾ,இல்லாத நில உரிமையாளர்கள்
അക്കാദമി,கலைக்கூடம்
അക്ര സമ്മേളനം,அக்ரா மாநாடு
സമാഹരണങ്ങൾ,திரட்டல்கள்
സംസ്കരണം,வளர்ப்பு
അസെൽഡാമ,அசெல்டாமா
അച്ചായൻ (=അച്ചിയൻ),அச்சேயன் (=ஆச்சியன்)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
അക്രോപോളിസ്,அக்ரோபோலிஸ்
ആക്റ്റ ദിയുർന,ஆக்டா டைர்னா
ആക്റ്റ സെനറ്റസ്,ஆக்டா செனடஸ்
ആക്റ്റ് അഡീഷണൽ,Acte Additionel
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,அடையும் செயல்
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,இழப்பீடு மற்றும் மறதியின் செயல்
സെറ്റിൽമെന്റ് നിയമം,தீர்வு சட்டம்
പരസ്യ കരാർ മുദ്ര,விளம்பர ஒப்பந்த முத்திரை
അഡുല്ലമൈറ്റുകൾ,அதுலமைட்டுகள்
എതിരാളി,எதிரி
എതിരാളി,எதிரி
അയോൺ,ஏயோன்
എയറേറിയം,ஏரேரியம்
ആകാശ യുദ്ധം,வான்வழிப் போர்
എറ്റോലിയൻ ലീഗ്,ஏட்டோலியன் லீக்
വയസ്സ്,வயது
വാർദ്ധക്യം (=വാർദ്ധക്യം),முதுமை (=வயதான)
പ്രായമാകൽ പ്രക്രിയ,வயதான செயல்முறை
അഗെലൈ,அகெலாய்
ധീരതയുടെ പ്രായം,வீரத்தின் வயது
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,அறிவாற்றல் வயது
പെരിക്കിൾസിന്റെ പ്രായം,பெரிக்கிள்ஸ் வயது
യുക്തിയുടെ പ്രായം,பகுத்தறிவு வயது
കാർഷികവാദം,விவசாயம்
കാർഷിക പ്രസ്ഥാനം,விவசாய இயக்கம்
ആൽബിയോൺ,அல்பியன்
ആൽബം,ஆல்பம்
ആൽഡർമാൻ,ஆல்டர்மேன்
വശീകരിക്കുന്ന ആയുധങ്ങൾ,கவர்ச்சியான ஆயுதங்கள்
അമിറ്റി,அமிட்டி
ആംഫിക്റ്റോണിക് കൗൺസിൽ,ஆம்ஃபிக்டியோனிக் கவுன்சில்
ആംഫിക്റ്റോണിക് ലീഗ്,ஆம்ஃபிக்டியோனிக் லீக்
ആംഫി തിയേറ്റർ,ஆம்பிதியேட்டர்
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),அம்ரி நல் குழு (மட்பாண்டங்கள்)
അനാക്രോണിസം,அனாக்ரோனிசம்
അനാക്രോണിസ്റ്റിക്,காலமற்ற
പൂർവ്വികൻ,மூதாதையர்
പൂർവിക ആരാധന,முன்னோர் வழிபாடு
വംശപരമ്പര,பரம்பரை
വംശപരമ്പര,பரம்பரை
വംശപരമ്പര,பரம்பரை
വംശപരമ്പര,பரம்பரை
പുരാതന ഭരണം,பண்டைய ஆட்சி
പുരാതന,பண்டைய
പുരാതന ബാലഡ്,பழங்கால பாலாட்
പുരാതന വിശ്വാസം,பண்டைய நம்பிக்கை
പുരാതന ആചാരം,பண்டைய வழக்கம்
പുരാതനമായ ചരിത്രം,பண்டைய வரலாறு
പുരാതന സ്മാരകങ്ങൾ,பழங்கால நினைவுச்சின்னங்கள்
ഉപകഥ,சிறுகதை
ആഞ്ചലോട്ട്,ஏஞ்சலோட்
ആഞ്ചലസ്,ஏஞ்சலஸ்
ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ),ஆஞ்செவின் (=அஞ்செவின்)
കോണുകൾ,கோணங்கள்
ആംഗ്ലിക്കൻ,ஆங்கிலிகன்
ആംഗ്ലിക്കൻ കൂട്ടായ്മ,ஆங்கிலிகன் ஒற்றுமை
ആംഗ്ലിക്കനിസം,ஆங்கிலிக்கனிசம்
ആംഗ്ലോ-ഫോബ്,ஆங்கிலோ-போப்
ആംഗ്ലോ-ഫോബിയ,ஆங்கிலோ-ஃபோபியா
ആംഗ്ലോ-സാക്സൺ,ஆங்கிலோ-சாக்சன்
ആംഗ്ലോ-സാക്‌സോണിസം,ஆங்கிலோ-சாக்சோனிசம்
അനലിസ്റ്റ്,அன்னாலிஸ்ட்
വാർഷികങ്ങൾ,அன்னல்
കൂട്ടിച്ചേർക്കൽ,இணைப்பு
ആന്റി-ബെല്ലം,ஆன்டி-பெல்லம்
മുൻ തീയതി,முன் தேதி
പൗരോഹിത്യ വിരുദ്ധത,மதகுருத்துவத்திற்கு எதிரானது
വൈദിക വിരുദ്ധ നിയമം,மதகுருவுக்கு எதிரான சட்டம்
പൗരാണികത,பழமை
വാടക വിരുദ്ധം,எதிர்ப்பு வாடகை
വാടക വിരുദ്ധം,எதிர்ப்பு வாடகை
സെമിറ്റിസം വിരുദ്ധത,யூத எதிர்ப்பு
അൻസാക്ക്,அன்சாக்
അപ്പെല്ല,அப்பெல்லா
അരലു,அரலு
ആർച്ച് ബിഷപ്പ്,பேராயர்
ആർച്ച് ഡച്ചി,ஆர்ச் டச்சி
ആർച്ച് ഡ്യൂക്ക്,ஆர்ச் டியூக்
ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം),காப்பகம் (=காப்பக சேகரிப்பு)
ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്,ஆர்க்கிபிஸ்கோபேட்
പ്രഭുവർഗ്ഗം,பிரபுத்துவம்
പ്രഭു,பிரபு
പ്രഭുവർഗ്ഗ സ്നോബറി,பிரபுத்துவ ஸ்னோபரி
അരിസ്റ്റോട്ടിലിയൻ,அரிஸ்டாட்டிலியன்
അർമാഡ,அர்மடா
അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ),அர்மடா (=ஸ்பானிய அர்மடா)
കവചക്കാരൻ (=കവചക്കാരൻ),கவசக்காரர் (=கவசக்காரர்)
കവചം (=കവചം),கவசம் (=கவசம்)
ആയുധധാരി,ஆயுதக்கடைக்காரர்
ആര്യൻ,ஆர்யன்
ആര്യൻ,ஆர்யன்
അസ്കരി,அஸ்காரி
നിയോഗിക്കുക,ஒதுக்கு
അസൈസ് ചെയ്യുക,உதவு
അസൈസ് ചെയ്യുക,உதவு
അസൈസ് ചെയ്യുക,உதவு
അസൈസ് ഓഫ് ആയുധ നിയമം,ஆயுதச் சட்டம்
അസൈസ് ഓഫ് ഡാരെൻ അവതരണം,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ,நாவல் Disseisin Assize
ക്രൂരത,கொடுமை
ആക്രമണം,தாக்குதல்
ഔലിക് കൗൺസിൽ,ஆலிக் கவுன்சில்
ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
ബാബിലോൺ,பாபிலோன்
ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
ബച്ചനൽ ഭക്തൻ,பச்சனல் பக்தர்
ബച്ചനാലിയ,பச்சனாலியா
ബാച്ചിലർ,இளங்கலை
ബാഗ്ദാദ് കരാർ,பாக்தாத் ஒப்பந்தம்
ബാൽക്കൻ ലീഗ്,பால்கன் லீக்
ബാൽക്കൻ കരാർ,பால்கன் ஒப்பந்தம்
ബാൽക്കൻ യുദ്ധങ്ങൾ,பால்கன் போர்கள்
ബാൾട്ടിക് കരാർ,பால்டிக் ஒப்பந்தம்
കൊള്ളക്കാരൻ,கொள்ளைக்காரன்
ബന്ദൂങ് സമ്മേളനം,பாண்டுங் மாநாடு
നാടുകടത്തൽ,நாடுகடத்தல்
ബാനർ,பதாகை
ബാർബേറിയൻ,காட்டுமிராண்டித்தனம்
ബാർബിക്കൻ,பார்பிகன்
ബർദോളി സത്യാഗ്രഹം,பர்தோலி சத்தியாகிரகம்
കളപ്പുര ബർണറുകൾ,பார்ன் பர்னர்ஸ்
ബാരൺ,பரோன்
ബാരോണേജ്,பாரோனேஜ்
ബറോണസ് മേജേഴ്സ്,பரோன்ஸ் மேஜர்கள்
ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ,பரோன்ஸ் மைனர்கள்
ബാരോണസ്,பரோனஸ்
ബാരോനെറ്റ്,பரோனெட்
ബാരോനെറ്റേജ്,பரோனேடேஜ்
ബാരോനെറ്റേജ്,பரோனேடேஜ்
ബാരോനെറ്റി,பேரோனெட்டி
ബാരോണി,பேரோனி
ബാരക്കൂൺ,பாராகூன்
ബാരക്കൂൺ,பாராகூன்
ബാരിക്കേഡ് (=ബാരിക്കഡോ),தடுப்பு (=பேரிகாடோ)
ബാരിക്കേഡ് (=ബാരിക്കഡോ),தடுப்பு (=பேரிகாடோ)
ബാരിക്കേഡ് (=ബാരിക്കഡോ),தடுப்பு (=பேரிகாடோ)
ബേസ് ക്യാമ്പ്,அடிப்படை முகாம்
ബസിലിക്ക,பேராலயம்
ബസിലിക്ക,பேராலயம்
ബാസ്റ്റില,பஸ்திலா
ബാസ്റ്റിലി,பாஸ்டில்
ബാസ്റ്റിലി,பாஸ்டில்
ബാറ്ററി,மின்கலம்
യുദ്ധം,போர்
Battle-array,போர்-வரிசை
യുദ്ധകാഹളം,யுத்த அழுகுரல்
യുദ്ധം,போர் டின்
യുദ്ധക്കളം,போர்க்களம்
യുദ്ധഗാനം,போர் பாடல்
സ്പർസിന്റെ യുദ്ധം,ஸ்பர்ஸ் போர்
സ്റ്റാൻഡേർഡ് യുദ്ധം,ஸ்டாண்டர்ட் போர்
യുദ്ധക്കപ്പൽ,போர்க்கப்பல்
യുദ്ധക്കപ്പൽ-ബലം,போர்க்கப்பல்-வலிமை
Bayeux ടേപ്പ്സ്ട്രി,பேயுக்ஸ் சீலை
ബീക്കൺ,கலங்கரை விளக்கம்
ബീക്കൺ ടവർ,கலங்கரை விளக்கம் கோபுரம்
ബീവർ,பீவர்
ബീവർ,பீவர்
കടലിലെ യാചകർ,கடலின் பிச்சைக்காரர்கள்
ബെല്ലിക്കോസ്,பெல்லிகோஸ்
ബെല്ലിക്കോസ്,பெல்லிகோஸ்
ബെല്ലിക്കോസ്,பெல்லிகோஸ்
ബെല്ലിക്കോസിറ്റി,பெல்கோசிட்டி
ബെല്ലോന,பெல்லோனா
ഗുണം,நன்மை
വൈദികരുടെ പ്രയോജനം,குருமார்களின் பலன்
ബെനെലക്സ്,பெனலக்ஸ்
ബെർലിൻ ഉത്തരവ്,பெர்லின் ஆணை
ബെർസർക്കർ,பெர்சர்கர்
ബസന്റ് (=ബെസന്റ്),பெசன்ட் (=பெசண்ட்)
ബെഥേൽ,பெத்தேல்
ബിബ്ലിയോലേറ്റർ,நூலாசிரியர்
ഗ്രന്ഥശാസ്‌ത്രം,புத்தக வழிபாடு
ബിഗ് ബെർത്ത,பெரிய பெர்தா
മതഭ്രാന്തൻ,மதவெறி
ബില്ലെറ്റിംഗ്,பில்லெட்டிங்
ബിൽ ഓഫ് അറ്റൈൻഡർ,பில்
അവകാശങ്ങളുടെ ബിൽ,உரிமைகள் மசோதா
ജീവചരിത്രകാരൻ,வாழ்க்கை வரலாற்றாசிரியர்
ജനന കഥകൾ,பிறப்பு கதைகள்
Bivouac,Bivouac
Bivouac,Bivouac
Bivouac,Bivouac
ബിസോണിയ,பிசோனியா
കറുത്ത പക്ഷികൾ,கருப்பு பறவைகள்
കറുത്ത കൊടി,கருப்பு கொடி
ബ്ലാക്ക് ഹോൾ,கருந்துளை
ബ്ലാക്ക് ഹോൾ,கருந்துளை
കറുത്ത കാൽ (=ചുണങ്ങു),கருப்பு கால் (=சிரங்கு)
കറുത്ത ഷർട്ട്,கருப்பு சட்டை
ബ്ലാസൺ,பிளேசன்
ബ്ലാസൺ,பிளேசன்
ജ്വലനം,பிரகாசம்
ജ്വലനം,பிரகாசம்
ബ്ലിറ്റ്സ്ക്രീഗ്,பிளிட்ஸ்கிரீக்
രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം),இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி)
ബ്ലഡ് വൈറ്റ്,இரத்தம் கொண்டவர்
ബ്ലഡി മേരി,ப்ளடி மேரி
നീല,நீலம்
നീല രക്തം,நீல இரத்தம்
നീല പുസ്തകം,நீல புத்தகம்
നീല നാട,நீல தலைப்பட்டை
നീല നാട,நீல தலைப்பட்டை
ബ്ലൂസ് (=രാജകീയ കുതിര കാവൽക്കാർ),ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்)
നീല ഷർട്ട്,நீல நிற சட்டை
ബ്ലൂ വാട്ടർ സ്കൂൾ,நீல நீர் பள்ளி
ബോർഡ് ഓഫ് കൺട്രോൾ,கட்டுப்பாட்டு வாரியம்
ശരീര കവചം,உடல் கவசம்
ബോയർ,போயர்
കൊള്ള,கொள்ளை
ബറോ,பெருநகரம்
ബൗളൂട്ടേറിയൻ,பவுல்யூடெரியன்
ബർബോൺ,போர்பன்
ബോക്സർ കലാപം,குத்துச்சண்டை வீரர் கிளர்ச்சி
ബ്രേസ്,பிரேஸ்
ബ്രസാർഡ്,பிராசர்ட்
ബ്രസാർഡ്,பிராசர்ட்
ബ്രെഡ് കോളനികൾ,ரொட்டி காலனிகள்
ബ്രെസ്റ്റ് പ്ലേറ്റ്,மார்பக தட்டு
മുലപ്പാൽ ജോലി,மார்பக வேலை
ബ്രെറ്റ്വാൾഡ,ப்ரெட்வால்டா
ബ്രിഗാൻഡ്,பிரிகாண்ட்
ബ്രിഗൻഡേജ്,பிரிகாண்டேஜ்
ബ്രിട്ടീഷ് കോമൺവെൽത്ത് ഓഫ് നേഷൻസ്,பிரிட்டிஷ் காமன்வெல்த் நாடுகள்
ബ്രൗൺ ഷർട്ടുകൾ (=നാസികൾ),பிரவுன் ஷர்ட்ஸ் (=நாஜிக்கள்)
ബ്രസ്സൽസ് ഉടമ്പടി (പാക്ട്) ഓർഗനൈസേഷൻ (=വെസ്റ്റേൺ യൂറോപ്യൻ യൂണിയൻ),பிரஸ்ஸல்ஸ் உடன்படிக்கை (ஒப்பந்தம்) அமைப்பு (=மேற்கு ஐரோப்பிய ஒன்றியம்)
ബഫ്,பஃப்
ബഫ്,பஃப்
ബഫ്-കോട്ട്,பஃப்-கோட்
ബഫുകൾ,பஃப்ஸ்
ബ്യൂൾ (=കൗൺസിൽ),புலே (=சபை)
ബർഗേജ്,பர்கேஜ்
ബർഗെസ്,பர்கெஸ்
ബൈസന്റൈൻ,பைசண்டைன்
ബൈസന്റൈൻ പള്ളി,பைசண்டைன் தேவாலயம்
ബൈസന്റൈൻ സാമ്രാജ്യം,பைசண்டைன் பேரரசு
ബൈസന്റൈൻ യുഗം,பைசண்டைன் சகாப்தம்
ബൈസന്റൈൻ ചരിത്രകാരന്മാർ,பைசண்டைன் வரலாற்றாசிரியர்கள்
കാബൽ,கபால்
സീസറിസം,சீசரிசம்
ഖലീഫ,கலீஃபா
കാലിഗ്രാഫർ,எழுத்தாளன்
കാലിഗ്രാഫിസ്റ്റ്,கையெழுத்து எழுதுபவர்
കാലിഗ്രാഫി,எழுத்துக்கலை
കാൽട്രോപ്പ്,கால்ட்ராப்
സൗഹൃദം,தோழமை
കാമറില്ല,கேமரிலா
കാമറില്ല,கேமரிலா
കാമലോകം,கேமலாகம்
മറവി,உருமறைப்பு
പ്രചാരണം,பிரச்சாரம்
ക്യാമ്പ് ഫോളോവർ,முகாம் பின்பற்றுபவர்
കാമ്പോ സാന്റോ,காம்போ சாண்டோ
കാമ്പസ് മാർഷ്യസ്,மார்டியஸ் வளாகம்
കനേഫോറ,கேனபோரா
കാൻഗു,கங்கு
പീരങ്കി,பீரங்கி
പീരങ്കി കാലിത്തീറ്റ,பீரங்கி தீவனம்
കാനൻ,நியதி
കാനൻ നിയമം,நியதி சட்டம்
കനോപ്പസ് ഉത്തരവ്,கனோபஸ் ஆணை
ആയുധങ്ങൾ ചലിപ്പിക്കുന്നു,ஆயுதங்களை ஏந்துதல்
ബന്ദിയാക്കി,கைதி
ക്യാപ്റ്റർ,பிடிப்பவன்
കർദ്ദിനാൾ,கார்டினல்
കാൾ,கார்ல்
കരോലിംഗിയൻ രാജവംശം,கரோலிங்கியன் வம்சம்
കാർത്തൂഷ്യൻ വിഭാഗം,கார்த்தூசியன் பிரிவு
കാർട്ടോസ,கார்டோசா
കാസ്റ്റേലിയൻ,காஸ்ட்லியன்
കാസ്റ്റേലിയൻ,காஸ்ட்லியன்
ജാതി വ്യവസ്ഥ,சாதி அமைப்பு
കോട്ട,கோட்டை
കോട്ട,கோட்டை
കാസിൽ പട്ടണം,கோட்டை நகரம்
കാസ്ട്ര,காஸ்ட்ரா
കാസ്ട്ര,காஸ்ட்ரா
കത്തീഡ്ര,கதீட்ரா
കത്തീഡ്രൽ,கதீட்ரல்
കാറ്റോ സ്ട്രീറ്റ് ഗൂഢാലോചന,கேட்டோ ஸ்ட்ரீட் சதி
കൌഡില്ലോ,காடிலோ
കവലിയർ,காவலர்
കവലിയർ,காவலர்
കവലിയർ പാർലമെന്റ്,கவாலியர் பாராளுமன்றம்
അദുല്ലം ഗുഹ,அதுலாம் குகை
ഗുഹ പെയിന്റിംഗ്,குகை ஓவியம்
ഗുഹ പെയിന്റിംഗ്,குகை ஓவியம்
സെന്റുംവിർ,சென்டம்விர்
ശതാധിപൻ,செஞ்சுரியன்
നൂറ്റാണ്ട്,நூற்றாண்டு
ചെയിൻ കവചം (=ചെയിൻ മെയിൽ),சங்கிலி கவசம் (=செயின் மெயில்)
ചാന്ത്രി,சாந்த்ரி
ചാന്ത്രി,சாந்த்ரி
ചാപ് ബുക്ക്,அத்தியாய புத்தகம்
ചാപ്ലിൻ,சாப்ளின்
അധ്യായം,அத்தியாயம்
അപകടങ്ങളുടെ അധ്യായം,விபத்துகளின் அத்தியாயம்
ചാർജ് ചെയ്യുക,கட்டணம்
ഭാരവാഹികൾ,பொறுப்பாளர்கள்
ചാർജ് വിഭജനം,கட்டணம் பிரித்தல்
ചാർജർ,சார்ஜர்
രഥം,தேர்
സാരഥി,தேரோட்டி
സാരഥി,தேரோட்டி
സാരഥി,தேரோட்டி
ചാരിറ്റി അടുക്കള,தொண்டு சமையலறை
ചാർട്ടർ,சாசனம்
ചാർട്ടിസ്റ്റ് പ്രസ്ഥാനം (=ചാർട്ടിസം),சார்டிஸ்ட் இயக்கம் (=சார்டிசம்)
ചാർട്ടോഫൈലാസിയം,சார்ட்டோபிலாசியம்
ചാറ്റോ,அரட்டை
ചെക്ക് പോസ്റ്റ്,செக் போஸ்ட்
രാസയുദ്ധം,இரசாயனப் போர்
ചെസ്റ്റർ,செஸ்டர்
മുഖ്യൻ,முதல்வர்
തലവൻ,தலைவன்
തലവൻ,தலைவன்
തലവൻ,தலைவன்
ഷിഫോൺ,சிஃப்பான்
ധീരത,வீரம்
തിരഞ്ഞെടുത്ത ആളുകൾ,தேர்ந்தெடுக்கப்பட்ட மக்கள்
ക്രിസ്മോഗ്രാഫിയോൺ,கிறிஸ்மோகிராஃபியன்
ക്രൈസ്തവലോകം,கிறிஸ்தவமண்டலம்
ക്രിസ്ത്യൻ യുഗം,கிறிஸ்தவ சகாப்தம்
ക്രിസ്ത്യൻ സോഷ്യലിസം,கிறிஸ்தவ சோசலிசம்
ക്രോണിക്കിൾ,நாளாகமம்
ക്രോണിക്ലർ,க்ரோனிக்லர்
ക്രൈസ് ചെർസോണീസ്,கிரைஸ் செர்சோனீஸ்
സിമിലിയം,சிமிலியம்
സിൻക്വെസെന്റോ സ്റ്റൈൽ,Cinquecento உடை
പ്രദക്ഷിണം,சுற்றறிக்கை
സിസ്റ്റെർസിയൻ സന്യാസി,சிஸ்டர்சியன் துறவி
കോട്ട,கோட்டை
അവലംബം,மேற்கோள்
അവലംബം,மேற்கோள்
നിയമലംഘനം,கீழ்ப்படியாமை
ആഭ്യന്തരയുദ്ധം,உள்நாட்டுப் போர்
സിവിസ് റൊമാനസ്,சிவிஸ் ரோமானஸ்
ക്ലാസിക്കൽ പ്രായം,கிளாசிக்கல் வயது
ക്ലെഫ്റ്റ് (=ക്ലെഫ്റ്റ്),கிளெஃப்ட் (=கிளெஃப்ட்)
പൗരോഹിത്യം,மதகுருத்துவம்
ക്ലറച്ച്,மதகுரு
ക്ലൂനിയാക് പ്രസ്ഥാനം,க்ளூனியாக் இயக்கம்
കോട്ട് കവചം,கோட் கவசம்
കോട്ട് ഓഫ് ആംസ്,கோட் ஆஃப் ஆர்ம்ஸ்
കോട്ട് ഓഫ് ആംസ്,கோட் ஆஃப் ஆர்ம்ஸ்
കോട്ട് ഓഫ് ആംസ്,கோட் ஆஃப் ஆர்ம்ஸ்
കോട്ട് ഓഫ് മെയിൽ,அஞ்சல் கோட்
കോഹോർട്ട്,கோஹார்ட்
കോമിറ്റിയ,கொமிடியா
കോമിറ്റിയ സെഞ്ചൂറിയാറ്റ,கொமிடியா செஞ்சுரியாட்டா
കോമിറ്റിയ ക്യൂറിയാറ്റ,கொமிடியா குரியாட்டா
കോമിറ്റിയ ട്രിബ്യൂട്ട,கமிட்டியா திரிபுட்டா
സ്മാരക കമാനം,நினைவு வளைவு
സ്മാരക നാണയം,நினைவு நாணயம்
സ്മരണിക മുദ്ര,நினைவு முத்திரை
പൊതുവായ ഫീൽഡ്,பொதுவான புலம்
കമ്മ്യൂണർഡ്,கம்யூனார்ட்
കോൺകോർഡാറ്റ്,கான்கார்டாட்
കോൺകോർഡാറ്റ്,கான்கார்டாட்
കൊണ്ടോട്ടിയർ,காண்டோட்டியர்
സ്ഥിരീകരണം Cartarum,உறுதிப்படுத்தல் கார்டரம்
സംഘർഷം,மோதல்
സഭ,சபை
കീഴടക്കുന്ന സംസ്ഥാനം,மாநிலத்தை வென்றது
ജേതാവ്,வெற்றியாளர்
വിജയി,வெற்றியாளர்
കോൺസിലിയം,கான்சிலியம்
കോൺസ്റ്ററി,கன்சிஸ்டரி
ഗൂഢാലോചന,சதி
ഗൂഢാലോചന,சதி
കോൺസുലേറ്റ്,துாதரகம்
കൺസൾട്ടേഷൻ പുസ്തകം,ஆலோசனை புத்தகம்
കോണ്ടിനെന്റൽ സിസ്റ്റം,கான்டினென்டல் அமைப்பு
കൺവെൻഷൻ പാർലമെന്റ്,மாநாடு பாராளுமன்றம்
കോപ്പർഹെഡുകൾ (=സമാധാന ജനാധിപത്യവാദികൾ),காப்பர்ஹெட்ஸ் (=அமைதி ஜனநாயகவாதிகள்)
കോപ്പിഹോൾഡ്,காப்பிஹோல்ட்
കോർഡനിംഗ്,சுற்றிவளைத்தல்
കൊറോണ,கொரோனா
കിരീടധാരണം,முடிசூட்டு விழா
കിരീടധാരണ കല്ല്,முடிசூட்டுக்கல்
കോർപ്പസ്,கார்பஸ்
കോർസെയർ,கோர்செயர்
കോർസെയർ,கோர்செயர்
കോർസെറ്റ് (=കോർസെലെറ്റ്),கோர்செட் (=கோர்செலெட்)
കോർട്ടെസ്,கோர்டெஸ்
കോട്ടർ (=കോട്ടിയർ),கோட்டர் (=கோட்டியர்)
കോട്ടർ (=കോട്ടിയർ),கோட்டர் (=கோட்டியர்)
പാലറ്റിനേറ്റ് എണ്ണുക,பலடினேட் எண்ணுங்கள்
നാടൻ വീട്,நாட்டு வீடு
കൗണ്ടി,மாவட்டம்
കൗണ്ടി ബറോ,கவுண்டி பரோ
കൗണ്ടി കോടതികൾ,மாவட்ட நீதிமன்றங்கள்
കൗണ്ടി പാലറ്റൈൻ,கவுண்டி பாலாடைன்
കോടതി,நீதிமன்றம்
കോടതി,நீதிமன்றம்
