Marathi,Gujarati
अँपिअर (युनिट),એમ્પીયર (એકમ)
angstrum,એંગસ્ટ્રમ
ए-क्लास अॅम्प्लिफायर,એ-ક્લાસ એમ્પ્લીફાયર
एएन रेडिओ सहाय,એએન રેડિયો સહાય
एक-स्कॅनिंग सादरीकरण,a-સ્કેનીંગ પ્રસ્તુતિ
a-darsh,a-દર્શ
ए-स्कोप कामगिरी,A-સ્કોપ કામગીરી
A-T वक्र क्रिस्टल,A-T વક્ર ક્રિસ્ટલ
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન"
आहे,છું
AMU (अणु वस्तुमान एकक),AMU (અણુ સમૂહ એકમ)
आर्ड-वार्क*,આર્ડ-વાર્ક*
ab-ampere,એબ-એમ્પીયર
A-B वर्ग अॅम्प्लिफायर,A-B વર્ગ એમ્પ્લીફાયર
adah,અદાહ
A-B शक्ती पिटक,A-B શક્તિ પિટક
abc = संरेखन चार्ट = nomograph,abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ
अबे क्रमांक (अबे स्थिरांक),અબે નંબર (અબે સતત)
abe refractometer,અબે રીફ્રેક્ટોમીટર
अबे साइन राज्य,અબે સાઈન સ્ટેટ
स्वयंचलित पूर्वाग्रह भरपाई,આપોઆપ પૂર્વગ્રહ વળતર
abcoulom,abcoulom
विकृती,વિકૃતિ
विकृती सुधारक लेन्स,વિકૃતિ સુધારક લેન્સ
आकाश विकृती,આકાશ વિકૃતિ
abfarad,અફરદ
एबेनरी,એબેનરી
इबोनी प्रभाव,ઇબોની અસર
असामान्य ध्रुवीकरण,અસામાન્ય ધ્રુવીકરણ
असामान्य प्रसार,અસામાન્ય ટ્રાન્સમિશન
अलौकिक प्रतिबिंब,પેરાનોર્મલ પ્રતિબિંબ
असामान्य अपवर्तन*,અસામાન્ય રીફ્રેક્શન*
अलौकिक प्रतिकार,પેરાનોર્મલ પ્રતિકાર
ab-om,ab-om
"प्राबल्य, अपयश","પ્રબળતા, નિષ્ફળતા"
"संलग्न, सहसा, उभे, विभक्त, खंडित","જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત"
अनेकदा उडी मारते,ઘણી વાર કૂદકો
हात*,હાથ*
हरवलेले प्रतिबिंब,પ્રતિબિંબ ગુમાવ્યું
गहाळ स्पेक्ट्रम,ગુમ થયેલ સ્પેક્ટ્રમ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
परिपूर्ण प्रवेग,સંપૂર્ણ પ્રવેગક
