Marathi,Tamil
abeli गट,அபேலி குழு
अबेली गट,அபேலி குழு
हात,கை
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
परिपूर्ण अभिसरण,முழுமையான ஒருங்கிணைப்பு
परिपूर्ण त्रुटी,முழுமையான பிழை
सर्वोच्च सर्वोच्च,உச்ச உச்ச
परिपूर्ण सर्वात कमी,முற்றிலும் குறைந்த
परिपूर्ण मूल्य,துல்லியமான மதிப்பு
परिपूर्ण वेग,முழுமையான வேகம்
अमूर्त बीजगणित,சுருக்க இயற்கணிதம்
अमूर्त गट सिद्धांत,சுருக்க குழு கோட்பாடு
प्रवेग,முடுக்கம்
गुरुत्वाकर्षण प्रवेग,ஈர்ப்பு முடுக்கம்
स्वीकार्य निवडकर्ता,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
स्वीकार्य गुणवत्ता पातळी,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
स्वीकार्य परिसर,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
वैध विश्वसनीयता पातळी,சரியான நம்பகத்தன்மை நிலை
स्वीकृती नमुना,ஏற்பு மாதிரி
संचित त्रुटी,திரட்டப்பட்ட பிழை
अचूकता,துல்லியம்
शक्ती लागू,பயன்படுத்தப்படும் சக்தி
"कृती, कृती","செயல், செயல்"
क्रिया आणि प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
विमा विज्ञान,காப்பீட்டு அறிவியல்
तीव्र त्रिकोण,கடுமையான முக்கோணம்
अॅसायक्लिक,அசைக்ளிக்
बेरीज करणे,மொத்தத்தில்
जोडणारा,சேர்ப்பான்
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
योगाचे सूत्र,யோகா சூத்திரம்
जटिल संख्यांची बेरीज,கலப்பு எண்களின் கூட்டுத்தொகை
कार्यांची बेरीज,செயல்பாடுகளின் கூட்டுத்தொகை
मॅट्रिक्सची बेरीज,மெட்ரிக்குகளின் கூட்டுத்தொகை
बहुपदांची बेरीज,பல்லுறுப்புக்கோவைகளின் தொகை
संभाव्यतेची बेरीज,நிகழ்தகவுகளின் கூட்டுத்தொகை
वेक्टरची बेरीज,திசையன்களின் தொகை
"बेरीज प्रमेय, बेरी सिद्धांत,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
मिश्रित गट,சேர்க்கை குழு
additive inverse,தலைகீழ் சேர்க்கை
जोडणी,சேர்க்கை
जोडणी,சேர்க்கை
संलग्नता मॅट्रिक्स,அருகாமை அணி
"समीप, समीप, समीप","அருகாமை, அருகாமை, அருகாமை"
समीप कोन,அருகில் உள்ள கோணம்
समीप शिरोबिंदू,அருகில் உள்ள உச்சி
संबद्ध करणे,தொடர்புபடுத்த
"संलग्न संलग्न,",இணைக்கப்பட்ட உறை
सामान्य निर्धारक,பொதுவான தீர்மானிப்பான்
संलग्न विभेदक समीकरण,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
संलग्न समीकरण,இணைக்கப்பட்ட சமன்பாடு
एकसंध मॅट्रिक्स,ஒரே மாதிரியான அணி
मॅट्रिक्स सहप्रसरण,அணி ஒருங்கிணைப்பு
एकसंध मॅट्रिक्स,ஒரே மாதிரியான அணி
स्वीकार्य निर्णय कार्य,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
स्वीकार्य गृहीतक,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
वायुगतिकीय शक्ती,காற்றியக்க விசை
वायुगतिकी,காற்றியக்கவியல்
एकसंध भूमिती,ஒரே மாதிரியான வடிவியல்
एकसंध मॅपिंग,ஒரே மாதிரியான மேப்பிங்
एकसंध परिवर्तन,ஒரே மாதிரியான மாற்றம்
एकूण चल,மொத்த மாறி
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
"बियाणे बंद, बीजारोपण","விதை மூடிய, விதை"
बीजगणितीय समीकरण,இயற்கணித சமன்பாடு
बीजगणितीय अभिव्यक्ती,இயற்கணித வெளிப்பாடு
बीजगणितीय एकरूपता,இயற்கணித ஒருமைப்பாடு
बीजगणितीय कार्य,இயற்கணித செயல்பாடு
बीजगणितीय भूमिती,இயற்கணித வடிவியல்
बीजगणितीय बहुलता,இயற்கணித பன்மை
बीजगणितीय प्रणाली,இயற்கணித அமைப்பு
सर्व-पूर्णांक समस्या,அனைத்து முழு எண் பிரச்சனை
"असाइनमेंट समस्या वॅट प्रश्न,",ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
वर्णक्रमानुसार नोटेशन,அகரவரிசைக் குறியீடு
वर्णमाला वर्ण,அகரவரிசை எழுத்து
