Malayalam,Bengali
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.অ্যাবাকাস, 2. গণনা"
അസാധാരണമായ അവസാനം,অস্বাভাবিক সমাপ্তি
തടസ്സപ്പെടുത്തുക,পথিমধ্যে রোধ করা
"1. കേവലം, 2. പരമോന്നത","1. পরম, 2. সর্বোচ্চ"
സമ്പൂർണ്ണ വിലാസം,পরম ঠিকানা
സമ്പൂർണ്ണ വിലാസക്ഷമത,পরম ঠিকানাযোগ্যতা
കേവല അസംബ്ലർ,পরম সংযোজনকারী
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. পরম কোড, 2. পরম কোড"
സമ്പൂർണ്ണ കമാൻഡ്,পরম আদেশ
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
സമ്പൂർണ്ണ നിർദ്ദേശം,পরম নির্দেশ
കേവല മോഡ്,পরম মোড
കേവല പാത,পরম পথ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
അമൂർത്ത ക്ലാസ്,বিমূর্ত ক্লাস
അമൂർത്ത ഡാറ്റ തരം,বিমূর্ত তথ্য প্রকার
അമൂർത്ത യന്ത്രം,বিমূর্ত মেশিন
അമൂർത്ത ചിഹ്നം,বিমূর্ত প্রতীক
അമൂർത്തമായ വാക്യഘടന,বিমূর্ত বাক্য গঠন
സ്വീകാര്യത പരിശോധന,স্বীকৃতি পরীক্ষা
പ്രവേശന സർട്ടിഫിക്കേഷൻ,অ্যাক্সেস সার্টিফিকেশন
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
പ്രവേശന നിയന്ത്രണം,প্রবেশাধিকার নিয়ন্ত্রণ
ആക്സസ് സ്കാനിംഗ്,অ্যাক্সেস স্ক্যানিং
സാധനങ്ങൾ,আনুষাঙ্গিক
അക്കൌണ്ടിംഗ്,অ্যাকাউন্টিং
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
ശേഖരണം,সঞ্চয়কারী
"1. കൃത്യത, 2. കൃത്യത","1. নির্ভুলতা, 2. সঠিকতা"
പ്രവേശനം,অ্যাক্সেস
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
പ്രവേശന സൂചകം,অ্যাক্সেস সূচক
ആക്സസ് കീ,অ্যাক্সেস কী
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
ആക്സസ് മോഡ്,অ্যাক্সেস মোড
പ്രവേശനാവകാശങ്ങൾ,সুযোগ সুবিধা
ആക്സസ് സുരക്ഷ,অ্যাক্সেস নিরাপত্তা
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
പ്രവേശന സമയം,প্রবেশাধিকার সময়
അംഗീകാരം,স্বীকৃতি
ശബ്ദശാസ്ത്രം,ধ্বনিবিদ্যা
"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
പ്രവർത്തന സന്ദേശം,কর্ম বার্তা
സജീവമാക്കൽ,সক্রিয়করণ
സജീവ സെർവർ പേജ്,সক্রিয় সার্ভার পৃষ্ঠা
സജീവ പതിപ്പ്,সক্রিয় সংস্করণ
അസൈക്ലിക്,অ্যাসাইক্লিক
"1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
അഡാ കമ്പ്യൂട്ടർ ഭാഷ,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
ആകെ),যোগ করা)
തുക ഫയൽ,সমষ্টি ফাইল
"1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
ചേർക്കുന്നയാൾ,যোগকারী
അറിയുക,জানি
വിലാസം ബസ്,ঠিকানা বাস
വിലാസ ഫയൽ,ঠিকানা ফাইল
വിലാസ ഫോർമാറ്റ്,ঠিকানা বিন্যাস
വിലാസ ജനറേറ്റർ,ঠিকানা জেনারেটর
വിലാസ ലൈൻ,ঠিকানা লাইন
വിലാസ മാപ്പിംഗ്,ঠিকানা ম্যাপিং
വിലാസ സൂചകം,ঠিকানা নির্দেশক
വിലാസ രജിസ്റ്റർ,ঠিকানা রেজিস্টার
വിലാസ തകർച്ച,ঠিকানা ভাঙ্গন
വിലാസ വിവർത്തനം,ঠিকানা অনুবাদ
"1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
അഭിസംബോധന,সম্বোধন
"1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
ബന്ധം,সংযুক্তি
"1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. മാനേജർ, 2. കണ്ട്രോളർ","1. ম্যানেজার, 2. নিয়ামক"
അഡോബ് അക്രോബാറ്റ്,অ্যাডোবি অ্যাক্রোব্যাট
അഡോബ് ഫോട്ടോഷോപ്പ്,অ্যাডোবি ফটোশপ
ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
"1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ","1. উন্নত তথ্য, 2. উন্নত তথ্য"
വിപുലമായ വിവര സംവിധാനം,উন্নত তথ্য সিস্টেম
അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT),উন্নত প্রযুক্তি (AT)
നടപടി,কর্ম
സമാഹരണം,সমষ্টি
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,বায়ুবাহিত কম্পিউটার সিস্টেম
ആൽഡസ് പേജ് മേക്ക്,aldus পৃষ্ঠা তৈরি
മുന്നറിയിപ്പ് ബോക്സ്,সতর্কতা বাক্স
അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ),আলগোল (কম্পিউটার ভাষা)
"1. അൽഗോരിതം , 2. അൽഗോരിതം","1. অ্যালগরিদম, 2. অ্যালগরিদম"
"1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം","1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
അൽഗോരിതം കാര്യക്ഷമത,অ্যালগরিদম দক্ষতা
"1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ","1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
വിന്യാസം,প্রান্তিককরণ
"1. വിഹിതം, 2. വിഹിതം","1. বরাদ্দ, 2. বরাদ্দ"
"1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ","1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
ആൽഫാന്യൂമെറിക്,আলফানিউমেরিক
"1. ആൽഫാന്യൂമെറിക് കീബോർഡ് ,2. ആൽഫാന്യൂമെറിക് കീബോർഡ്","1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്),আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
"1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം","1. আলফা সংস্করণ, 2। আলফা ফর্ম"
alt കീ,alt কী
ആൾട്ടാവിസ്റ്റ,আলতাভিস্তা
ബഹുസ്വരത,বহুগুণ
അവ്യക്തമായ വ്യാകരണം,অস্পষ্ট ব্যাকরণ
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
"1. സാദൃശ്യം, 2. അനലോഗ്","1. সাদৃশ্যপূর্ণ, 2. এনালগ"
"1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ","1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
"1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം","1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
"1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം","1. এনালগ মডেম, 2. এনালগ মডেম"
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ,এনালগ থেকে ডিজিটাল কনভার্টার
