Malayalam,Hindi
വിലക്ഷണമായ,अपसामान्य
ഉപേക്ഷിക്കുക,विफलन
വധനം,"अपघर्षण, घिसाई"
ആകസ്മികമായ,"असंलग्न, अचानक, सहसा, विच्छिन्न"
കേവല ഫീൽഡ് ശക്തി,निरपेक्ष क्षेत्र सामर्थ्य
കേവല താപനില,परम ताप
യഥാർത്ഥ മൂല്യം,निरपेक्ष मान
ഉള്ക്കൊള്ളുക,"अवशोषित करना, अवशोषण करना"
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,अवशोषण गुणांक
ആഗിരണം നഷ്ടം,अवशोषण हानि
വേര്പെട്ടുനില്ക്കുന്ന,"अमूर्त, सारांश, सार, संक्षेप"
ആക്സിലറോമീറ്റർ,त्वरणमापी
സ്വീകാര്യത പരിശോധന,स्वीकृति परीक्षण
പ്രവേശനം,अभिगम
പ്രവേശന നിയന്ത്രണം,अभिगम नियंत्रण
പ്രവേശന പോയിന്റ്,अभिगम बिंदु
ആക്സസ് സമയം,अभिगम काल
പ്രവേശനക്ഷമത,अभिगम्यता
സഞ്ചിത സെൽ,संचायक सेल
കൃതത,यथार्थता
സൂക്ഷ്മമായ,यथार्थ
അച്രോമാറ്റിക് ലെൻസ്,अवर्णक लेन्स
പുളിപ്പുള്ള,"अम्ल, ऐसिड"
ആസിഡ് തെളിവ്,अम्लसह
അസിഡിറ്റി,अम्लता
അംഗീകാര ബിറ്റ്,"पावती द्वयंक, पावती बिट"
അക്കോസ്റ്റിക്,ध्वानिक
അക്കോസ്റ്റിക് ആശയവിനിമയം,ध्वानिक संचार
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ध्वानिक विसरण
അക്കോസ്റ്റിക് ഇക്വൈസർ,ध्वानिक समकारी
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
അക്കോസ്റ്റിക് ഇംപാസ്,ध्वानिक प्रतिबाधा
അക്കോസ്റ്റിക് മാസ്കിംഗ്,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
അക്കോസ്റ്റിക് പവർ,ध्वानिक षक्ति
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,ध्वानिक गुणधर्म
അക്കോട്ടിക് റിയാൻസ്,ध्वानिक प्रतिघात
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ध्वानिक प्रतिवर्त
അക്കോസ്റ്റിക് ടൈൽ,ध्वानिक टाइल
അക്ക ou സ്റ്റിക് തരംഗം,ध्वानिक तरंग
ശബ്ദ ആഗിരണം,ध्वानिक अवशोषण गुणांक
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
അക്കോസ്റ്റിക്കൽ നനവ്,ध्वानिक अवमंदन
അക്കോസ്റ്റിക്കൽ കാലതാമസം,ध्वानिक विलंब लाइन
അക്കോസ്റ്റിക്കൽ വക്രമാനം,ध्वानिक विरूपण
അക്കോസ്റ്റിക്കൽ നാളം,ध्वनि-वाहिनी
അക്കോസ്റ്റിക്കൽ എനർജി,ध्वानिक ऊर्जा
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,ध्वानिक पुनर्निवेश
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,ध्वानिक प्रतिबाधा
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,ध्वानिक संचरण नियतांक
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,ध्वानिक प्रतिरोध
ശബ്ദപരമായി ഇൻസുലേറ്റ്,ध्वानिकतः रुद्ध
അക്കോസ്റ്റിക്സ്,"ध्वानिकी, ध्वनि विज्ञान"
കൈവശപ്പെടുത്തൽ,"अधिग्रहण, अर्जन, उपार्जन"
സംക്ഷേപം,संक्षिप्त रूप
പ്രവർത്തന മേഖല,कार्य क्षेत्र
സജീവമാക്കിയ ഫിലമെന്റ്,"सक्रियकृत तंतु, सक्रियित तंतु"
സജീവമായ,सक्रिय
സജീവ ഏരിയ,सक्रिय क्षेत्र
സജീവ വിൻഡോ,सक्रिय विंडो
പൊരുത്തപ്പെടലി,अनुकूलनीयता
അഡാപ്റ്റർ (അഡാപ്റ്റർ),"अनुकूलक, अनुकूलित्र"
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,अनुकूली विभेदी स्पंद कोड मॉडुलन
മേൽവിലാസ പുസ്തകം,"पता पुस्तिका, एड्रेस बुक"
വിലാസ ബസ്,"पता बस, एड्रेस बस"
വിലാസ മിഴിവ്,"पता विभेदन, एड्रेस विभेदन"
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण"
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता"
അടുത്തുള്ള ആവൃത്തി,आसन्न आवृत्ति
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,आसन्न आवृत्ति चैनल
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,"आसन्न चित्र वाहक, संलग्न वीडियो वाहक"
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,आसन्न ध्वनि वाहक
അടുത്തുള്ള സ്റ്റേഷൻ,"निकटवतब स्टेशन, निकटवतब केंद्र"
കമീകരിക്കുന്ന,समायोज्य
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,समायोज्य संधारित्र
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,समायोज्य दाब
റെഞ്ച് ക്രമീകരിക്കുന്നു,समायोजी रिंच
കമപ്പെടുത്തല്,समायोजन
ഭരണാധിപന്,"प्रशासक, नियंत्रक"
നൂതന സാങ്കേതികവിദ്യ,उन्नत प्रौद्योगिकी
ഏരിയൽ,"एरियल (ऐन्टेना), आकाशी, वायव, हवाई"
ഏരിയൽ അറേ,एरियल व्यूह
ഏരിയൽ ബൂസ്റ്റർ,"एरियल वर्धक, ऐन्टेना वर्धक"
ഏരിയൽ കറന്റ്,ऐन्टेना धारा
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,ऐन्टेना भूसंपर्कक स्विच
ഏരിയൽ കാര്യക്ഷമത,ऐन्टेना दक्षता
ഏരിയൽ ഇതര,ऐन्टेना प्रतिबाधा
ഏരിയൽ ഉൾപ്പെടുത്തൽ,ऐन्टेना प्रेरकत्व
ഏരിയൽ ഇൻസുലേറ്റർ,ऐन्टेना विद्तरोधी
ഏരിയൽ ലോഡിംഗ് കോയിൽ,ऐन्टेना भारण कुंडली
ഏരിയൽ ഫോട്ടോഗ്രഫി,आकाषी फोटोग्राफी
ഏരിയൽ പവർ,ऐन्टेना षक्ति
ആകാശ വികിരണ ഏലിസ്റ്റൻസ്,आकाशी विकिरण प्रतिरोध
ഏരിയൽ റിപ്രീൻസ്,ऐन्टेना प्रतिघात
എയറോഡൈനാമിക്സ്,वायुगतिकी
നിര്വ്വഹണം,"एजेंसी, अभिकरण"
എയർ കംപ്രസ്സർ,वायु संपीडक
എയർ കണ്ടൻസർ,वायु संधारित्र
വായു തണുപ്പിച്ചു,वायुशीतित
