Bengali,Assamese
অ্যাম্পিয়ার (একক),এম্পিয়াৰ (ইউনিট)
অ্যাংস্ট্রাম,angstrum
A-শ্রেণীর পরিবর্ধক,এ-ক্লাছ এম্প্লিফায়াৰ
এএন রেডিও সহায়,এ এন ৰেডিঅ&#39; সহায়
একটি-স্ক্যানিং উপস্থাপনা,a-স্কেনিং উপস্থাপন
a-দর্শ,আ-দৰ্শ
A-স্কোপ কর্মক্ষমতা,এ-স্কোপ পৰিৱেশন
A-T বাঁকা স্ফটিক,A-T বক্ৰ স্ফটিক
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন"
am,am
এএমইউ (পারমাণবিক ভর একক),এ এম ইউ (পাৰমাণৱিক ভৰ একক)
আর্ড-ওয়ার্ক*,aard-vark* গেস্টবুক
ab-ampere,ab-ampere
A-B শ্রেণীর পরিবর্ধক,A-B শ্ৰেণীৰ এম্প্লিফায়াৰ
adah,আদাহ
A-B শক্তি পিটক,ক-খ শক্তি পিটকা
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ
আবে নম্বর (আবে ধ্রুবক),Abe সংখ্যা (Abe ধ্ৰুৱক)
abe রিফ্র্যাক্টোমিটার,abe বিবৰ্তনমাপক
অ্যাবে সাইন স্টেট,abe চাইন অৱস্থা
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ
abcoulom,abcoulom
"aberration, aberration",বিচ্যুতি
বিকৃতি সংশোধনকারী লেন্স,বিচ্যুতি সংশোধক লেন্স
আকাশ বিকৃতি,আকাশৰ বিচ্যুতি
আবফারদ,abfarad
ইবেনরি,এবেনৰী
আবলুস প্রভাব,আবলুস ইফেক্ট
অস্বাভাবিক মেরুকরণ,অস্বাভাৱিক মেৰুকৰণ
অস্বাভাবিক সংক্রমণ,অস্বাভাৱিক সংক্ৰমণ
অলৌকিক প্রতিফলন,অস্বাভাৱিক প্ৰতিফলন
অস্বাভাবিক প্রতিসরণ*,অস্বাভাৱিক বিবৰ্তন*
অস্বাভাবিক প্রতিরোধ,পেৰানাৰ্মেল ৰেজিষ্টেন্স
ab-om,ab-om
"preponderance, ব্যর্থতা","preponderance, বিফলতা"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত"
প্রায়ই লাফ দেয়,সঘনাই জপিয়াই পৰে
হাত*,হাত*
হারিয়ে যাওয়া প্রতিফলন,হেৰুৱা প্ৰতিফলন
অনুপস্থিত বর্ণালী,অনুপস্থিত বৰ্ণালী
"পরম, পরম, ধ্রুবক, নিখুঁত","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
পরম ত্বরণ,নিৰপেক্ষ ত্বৰণ
পরম বাস্তবতা,নিৰপেক্ষ বাস্তৱতা
পরম ঠিকানা,নিৰপেক্ষ ঠিকনা
ভূ-আপেক্ষিক উচ্চতা মিটার,ভূ-আপেক্ষিক উচ্চতামাপক
ভূতাত্ত্বিক উচ্চতা,ভূতাত্ত্বিক উচ্চতা
পরম অ্যাম্পিয়ার,নিৰপেক্ষ এম্পিয়াৰ
পরম ফুটন্ত বিন্দু,নিৰপেক্ষ উতলাংক
পরম আলোকসজ্জা,নিৰপেক্ষ আলোকসজ্জা
পরম ক্ষমতা,নিৰপেক্ষ ধাৰণক্ষমতা
পরম উচ্চতা,নিৰপেক্ষ উচ্চতা
পরম রঙ্গক,নিৰপেক্ষ ৰঞ্জক পদাৰ্থ
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস"
পরম কুলম্ব,নিৰপেক্ষ coulomb
সম্পূর্ণ অন্ধকার,সম্পূৰ্ণ অন্ধকাৰ
পরম সময়সূচী,নিৰপেক্ষ সময়সূচী
পরম ঘনত্ব*,নিৰপেক্ষ ঘনত্ব*
পরম নিষ্কাশন,নিৰপেক্ষ নিষ্কাশন
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক)
পরম ESU (স্থির শক্তি ইউনিট),নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক)
পরম দক্ষতা,নিৰপেক্ষ দক্ষতা
পরম ইলেক্ট্রোমিটার,নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক
পরম আর্দ্রতা,নিৰপেক্ষ আৰ্দ্ৰতা
পরম ঘটনা,নিৰপেক্ষ প্ৰাদুৰ্ভাৱ
পরম প্রতিসরাঙ্ক সূচক,নিৰপেক্ষ বিবৰ্তন সূচকাংক
পরম অস্থিরতা,নিৰপেক্ষ অস্থিৰতা
পরম অস্থিরতা,নিৰপেক্ষ অস্থিৰতা
"পরম তীব্রতা, পরম তীব্রতা","নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা"
অ্যাথেনিয়ার পরম সীমা,এষ্টেনিয়াৰ নিৰপেক্ষ সীমা
পরম আলোকসজ্জা সিল,নিৰপেক্ষ আলোকসজ্জা sill
পরম হালকা বক্ররেখা,নিৰপেক্ষ পোহৰৰ বক্ৰ
পরম মাত্রা,নিৰপেক্ষ পৰিমাণ
পরম ব্যারোমিটার,নিৰপেক্ষ বেৰ&#39;মিটাৰ
সর্বোচ্চ সর্বোচ্চ,পৰম পৰম
পরম চরম,নিৰপেক্ষ চৰম
পরম সর্বনিম্ন,নিৰপেক্ষ সৰ্বনিম্ন
পরম গতিবেগ,নিৰপেক্ষ গতিবেগ
পরম গতি,নিৰপেক্ষ গতি
পরম সঙ্গীত,নিৰপেক্ষ সংগীত
পরম পর্যবেক্ষণ,নিৰপেক্ষ পৰ্যবেক্ষণ
পরম ওম,নিৰপেক্ষ ওম
পরম অভিযোজন,নিৰপেক্ষ অভিমুখীতা
পরম বৈদ্যুতিক ঋণাত্মকতা,নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা
পরম মাধ্যাকর্ষণ,নিৰপেক্ষ মাধ্যাকৰ্ষণ
পরম চাপ,নিৰপেক্ষ চাপ
পরম সম্পত্তি,নিৰপেক্ষ সম্পত্তি
পরম স্কেলার,নিৰপেক্ষ স্কেলাৰ
তাপমাত্রার পরম স্কেল*,উষ্ণতাৰ চূড়ান্ত স্কেল*
"পরম সমলয়, পরম সমলয়","নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা"
পরম চাপ,নিৰপেক্ষ চাপ
পরম প্রতিসাম্য,নিৰপেক্ষ প্ৰতিসমতা
পরম গতি শরীর,নিৰপেক্ষ গতি শৰীৰ
পরম ইউনিট সিস্টেম,নিৰপেক্ষ একক ব্যৱস্থা
পরম তাপমাত্রা,নিৰপেক্ষ উষ্ণতা
পরম সময়,নিৰপেক্ষ সময়
পরম একক,নিৰপেক্ষ এককসমূহ
পরম মান,নিৰপেক্ষ মূল্য
পূর্ণসংখ্যা ক্যালকুলেটর,পূৰ্ণসংখ্যা কেলকুলেটৰ
পরম বেগ,নিৰপেক্ষ বেগ
পরম সান্দ্রতা,নিৰপেক্ষ আঠালতীয়াতা
পরম ওজন,নিৰপেক্ষ ওজন
পরম শূন্য*,নিৰপেক্ষ শূন্য*
শূন্যের পরম ভাজক,শূন্যৰ নিৰপেক্ষ হজক
শোষণ করা,শুহি লোৱা
শোষণ সূচক*,শোষণ সূচকাংক*
শোষিত শক্তি,শোষিত শক্তি
"শোষক, শোষক","শোষক, শোষক"
শোষক মাধ্যম*,শোষক মাধ্যম*
শোষণ ক্ষমতা,শোষণ ক্ষমতা
শোষণ,শোষণ ক্ষমতা
শোষণ যন্ত্র*,শোষণমাপক*
শোষণমিতি*,শোষণমিতি*
শোষণ,শোষণ
শোষণ - ব্যান্ড*,শোষণ - বেণ্ড*
শোষণ সার্কিট,শোষণ বৰ্তনী
শোষণ গুণাঙ্ক,শোষণ সহগ
শোষণ কলাম,শোষণ স্তম্ভ
শোষণ ধ্রুবক,শোষণ ধ্ৰুৱক
শোষণ ধারাবাহিকতা,শোষণ ধাৰাবাহিকতা
শোষণ অঞ্চল,শোষণ অঞ্চল
