Punjabi,Kannada
ਅਧੂਰਾ ਛੱਡਣਾ,ಸ್ಥಗಿತಗೊಳಿಸು
ਅਧੂਰਾ ਛੱਡੋ,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
निरपेक्ष an s,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਪੂਰਨ ਪਤਾ,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਸੰਪੂਰਨ ਸੰਜਮ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
ਸੰਪੂਰਨ ਕੋਡ,ಸಂಪೂರ್ಣ ಕೋಡ್
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
ਸੰਪੂਰਨ ਕਮਾਂਡ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
ਸੰਪੂਰਨ ਡੇਟਾ,ಸಂಪೂರ್ಣ ಡೇಟಾ
ਪੂਰੀ ਗਲਤੀ,ಸಂಪೂರ್ಣ ದೋಷ
ਪੂਰਨ ਸਮੀਕਰਨ,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
ਪੂਰਨ ਹਦਾਇਤ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ਸੰਪੂਰਨ ਲੋਡਰ,ಸಂಪೂರ್ಣ ಲೋಡರ್
ਸੰਪੂਰਨ ਕ੍ਰਮ,ಸಂಪೂರ್ಣ ಕ್ರಮ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਸੰਪੂਰਨ ਅਵਧੀ,ಸಂಪೂರ್ಣ ಪದ
ਸਹੀ ਮੁੱਲ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ਸੰਪੂਰਨ ਵੈਕਟਰ,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
ਸਾਰ,ಅಮೂರ್ತ
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,ಅಮೂರ್ತಗೊಳಿಸುವ
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,ವೇಗವರ್ಧನೆ ಅವಧಿ
ਪ੍ਰਵੇਗ ਟਾਈਮ,ವೇಗವರ್ಧಕ ಸಮಯ
ਲਹਿਜ਼ਾ,ಉಚ್ಚಾರಣಾ
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ਪਹੁੰਚ,ಪ್ರವೇಶ
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
ਪਹੁੰਚ ਅਥਾਰਟੀ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਚਾਰਜ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਕਲਾਸ,ಪ್ರವೇಶ ವರ್ಗ
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,ಪ್ರವೇಶ ಪರಿಸರ
ਐਕਸੈਸ ਪਾੜਾ,ಪ್ರವೇಶದ ಅಂತರ
ਐਕਸੈਸ ਇੰਡੈਕਸ,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
ਐਕਸੈਸ ਲਾਈਨ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਵਿਧੀ,ಪ್ರವೇಶ ಕಾರ್ಯ
ਐਕਸੈਸ ਵਿਧੀ,ಪ್ರವೇಶ ವಿಧಾನ
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
ਐਕਸੈਸ ਮੋਡ,ಪ್ರವೇಶ ಕ್ರಮ
ਸਹੀ ਪਹੁੰਚ,ಪ್ರವೇಶ ಬಲ
ਐਕਸੈਸ ਸਕੈਨ,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
ਐਕਸੈਸ ਟਾਈਮ,ಪ್ರವೇಶ ಸಮಯ
ਲੇਖਾ,ಲೆಕ್ಕಪತ್ರ
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
ਲੇਖਾ ਮਸ਼ੀਨ,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
ਅਕਾਊਂਟ ਨੰਬਰ,ಖಾತೆ ಸಂಖ್ಯೆ
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,ಸಂಗ್ರಹಣೆದಾರ
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,ಸಂಚಯಕ ನೋಂದಣಿ
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
ਏਸ ਪਾਇਲਟ,ಏಸ್ ಪೈಲಟ್
ਅੱਖਰ ਮੰਨੋ,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
ਧੁਨੀ ਕਥਾ,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
ਧੁਨੀ,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
ਧੁਨੀ ਮਾਡਮ,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
ਧੁਨੀ ਸੰਕੇਤ,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
ਧੁਨੀ ਸਟੋਰੇਜ,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
ਐਕਰੋਨਾਈਮ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ਕਾਰਵਾਈ,ಕ್ರಿಯಾಶೀಲತೆ
ਐਕਸ਼ਨ ਚੱਕਰ,ಕ್ರಿಯಾಶೀಲತೆ
ਐਕਸ਼ਨ ਲਾਈਨ,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,ಕ್ರಿಯಾಶೀಲ
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,ಕ್ರಿಯಾಶೀಲತೆ
ਸਰਗਰਮੀ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ਕਿਰਿਆਸ਼ੀਲ,ಸಕ್ರಿಯ
ਐਕਟਿਵ ਫਾਈਲ,ಸಕ್ರಿಯ ಫೈಲ್
ਐਕਟਿਵ ਲਾਈਨ,ಸಕ್ರಿಯ ರೇಖೆ
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,ಸಕ್ರಿಯ ಲಿಂಕ್
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
ਐਕਟਿਵ ਸਟੋਰੇਜ,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
ਸਰਗਰਮੀ,ಚಟುವಟಿಕೆ
ਸਰਗਰਮੀ ਪੱਧਰ,ಚಟುವಟಿಕೆ ಮಟ್ಟ
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,ಚಟುವಟಿಕೆ ಅನುಪಾತ
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ)
ਅਸਲ ਕੁੰਜੀ,ವಾಸ್ತವಿಕ ಕೀ
ਅਸਲ ਸਮਾਂ,ವಾಸ್ತವಿಕ ಸಮಯ
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,ಸಂಕೇತ
