Kannada,Assamese
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,অজৈৱিক প্ৰজনন
ಅಧಿಸಾಮಾನ್ಯ,অস্বাভাৱিক
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,১/ চতুৰ্থ পেট ২) ইভ’মাজম
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,ষ্টোমেটাল বৃদ্ধিৰ অংগ
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,স্তব্ধ বৃদ্ধিৰ বীজ
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,শোষিত কেটিয়ন
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,এবিচিনিয়ান সৰিয়হ
1. ಅಕಾರಿಸೈಡ್,১.একেৰিচাইড
ಕೇಂದ್ರಾಭಿಮುಖ,centripetal
ವರ್ಧನೆ (ಕೋಶ),বৃদ্ধি (কোষ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,অনুমোদিত সহনশীলতা
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
ರೂಪಾಂತರ,অভিযোজন
ಶೇಖರಣೆ,সঞ্চয়
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1.vaccuracy 2. নিখুঁততা
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ,১.এচিডিকৰণ ২.এচিডিকৰণ
1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
ಆಮ್ಲೀಯತೆ,এচিডিটি
ಅಸಿಡೋಫೈಲ್,এচিডোফাইল
ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್,এচিডিফাইড ৰক ফছফেট
ಆಮ್ಲೀಕೃತ,এচিডিফাইড
ಜಲಚರ,জলধাৰা
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,অধিগ্ৰহণ
ಎಕರೆ,একৰ
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್,শেষ বিন্দু ক্ৰম’জম
ಮುಂದೆ ನೋಡುವ,আগলৈ চাই থকা
ಅಕ್ರೋಸೋಮ್,acrosome
ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್,actinomycetes
ಸಕ್ರಿಯ ಕೋರ್,সক্ৰিয় কোৰ
1. ಉಗ್ರ 2. ತೀವ್ರ,1. উত্তেজিত 2. তীব্ৰ
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,অভিযোজন ক্ষমতা
ಗ್ರಾಹಕೀಕರಣ,কাষ্টমাইজেচন
1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,১.আঠাযুক্ততা ২.আঠাযুক্ততা
ಮೇದಸ್ಸಿನ,তৈলাক্ত
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,সমন্বয় সমীকৰণ
ಅಡೋಬ್ ಮಣ್ಣು,এডোব মাটি
ಕಲಬೆರಕೆ,ব্যভিচাৰী
ಅಪಸ್ಥಾನೀಯ,এক্ট&#39;পিক
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,Isidiospore Isidium বিজাণু
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,বায়ুগতিশীল প্ৰক্ৰিয়া
ಕುಹರದ,ventral
ಗಾಳಿ ಹಾಕಲು,বায়ুমণ্ডলীয় কৰা
1. ಗಾಳಿ 2. ಆಕಾಶಿ,১.বায়ু ২.আকাশী
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
ಏರೋಸಾಲ್,এৰ&#39;ছল
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
ರೋಗದ ವಿಜ್ಞಾನ,ৰোগৰ বিজ্ঞান
ಅರಣ್ಯೀಕರಣ,বনানীকৰণ
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,১.আন্দোলন ২.অস্থিৰতা
ಅಗ್ಮಾರ್ಕ್,আগমাৰ্ক
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
