Marathi,Bengali
अजैविक पुनरुत्पादन,অ্যাবায়োটিক প্রজনন
अलौकिक,প্যারানরমাল
1. चौथे पोट 2. इवोमासोम,1. চতুর্থ পেট 2. Evomasome
रंध्र वाढीचा अवयव,স্টোমাটাল বৃদ্ধি অঙ্গ
वाढ खुंटलेले बीज,স্তব্ধ বৃদ্ধি বীজ
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
1. अवांछित तण 2. पूर्ण तण,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
शोषलेले केशन,শোষিত ক্যাটান
शोषण,শোষণ
Abyssinian मोहरी,আবিসিনিয়ান সরিষা
1. ऍकेरिसाइड,1. অ্যাক্যারিসাইড
केंद्राभिमुख,কেন্দ্রমুখী
प्रवर्धन (सेल),পরিবর্ধন (কোষ)
मंजूर सहिष्णुता,অনুমোদিত সহনশীলতা
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
रुपांतर,অভিযোজন
जमा,সঞ্চয়
1. अचूकता 2. अचूकता,1. শূন্যতা 2. নির্ভুলতা
1. एसरव्हुलस 2. स्पोरोफाइट,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
1. आम्लीकरण 2. आम्लीकरण,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
आंबटपणा,অম্লতা
ऍसिडोफाइल,অ্যাসিডোফাইল
ऍसिडिफाइड रॉक फॉस्फेट,অম্লীয় রক ফসফেট
आम्लीकृत,অ্যাসিডযুক্ত
जलचर,aquifer
संपादन,অধিগ্রহণ
एकर,একর
1. क्षेत्रफळ 2. क्षेत्रफळ,1. এলাকা 2. এলাকা
अंतिम बिंदू गुणसूत्र,শেষ বিন্দু ক্রোমোজোম
पुढे दिसणारा,দূরদর্শী
acrosome,acrosome
actinomycetes,actinomycetes
सक्रिय कोर,সক্রিয় কোর
1. उग्र 2. तीव्र,1. উগ্র 2. তীব্র
अनुकूलता,অভিযোজনযোগ্যতা
सानुकूलन,কাস্টমাইজেশন
1. आसंजन 2. आसंजन,1. আনুগত্য 2. আনুগত্য
सेबेशियस,sebaceous
समायोजन समीकरण,সমন্বয় সমীকরণ
adobe माती,adobe মাটি
भेसळ करणारा,ভেজাল
एक्टोपिक,ectopic
Isidiospore Isidium बीजाणू,ইসিডিওস্পোর ইসিডিয়াম স্পোর
वायुगतिकीय प्रक्रिया,এরোডাইনামিক প্রক্রিয়া
वेंट्रल,ventral
वायुवीजन करणे,বায়ু করা
1. हवा 2. आकाशी,1. বায়ু 2. আকাশী
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার
एरोसोल,এরোসল
1. फुलणे 2. उन्हाळी सुप्तता,1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা
रोग विज्ञान,রোগের বিজ্ঞান
वनीकरण,বনায়ন
1. आंदोलन 2. अशांतता,1. আন্দোলন 2. অশান্তি
Agmark,এগমার্ক
1. जमिनीशी संबंधित 2. कृषी,1. জমি সংক্রান্ত 2. কৃষি
कृषी चिकित्सालय,কৃষি ক্লিনিক
1. शेतमजूर 2. शेतमजूर,1. কৃষি শ্রম 2. কৃষি শ্রম
कृषी विपणन,কৃষি বিপণন
कृषी तंत्रज्ञान,কৃষি প্রযুক্তি
1. शेती 2. शेती 3. कृषी विज्ञान,1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান
कृषी वनीकरण,কৃষি বনায়ন
कृषी जैवविविधता,কৃষি জীববৈচিত্র্য
कृषी सेंद्रिय दोष,কৃষি জৈব ত্রুটি
कृषी जीवशास्त्र,কৃষি জীববিজ্ঞান
कृषी-हवामान विविधता,কৃষি-জলবায়ু বৈচিত্র্য
कृषी हवामान क्षेत्र निर्मिती,কৃষি জলবায়ু অঞ্চল সৃষ্টি
कृषी वनीकरण,কৃষি বনবিদ্যা
कृषीशास्त्र,কৃষিবিদ্যা
कृषीविषयक,কৃষিবিজ্ঞান
कृषी खेडूत,কৃষি যাজক
पीक प्रक्रिया,ফসল প্রক্রিয়াকরণ
गवत विज्ञान,ঘাস বিজ্ঞান
पीक प्रकार,ফসলের ধরন
epiphyte,এপিফাইট
aikiochi माती,aikiochi মাটি
रंगाधळेपण,বর্ণান্ধতা
अल्फिसोल,আলফিসল
एकपेशीय वनस्पती,শৈবাল
एकपेशीय वनस्पती रोग,শেওলা রোগ
अल्कली पाणी,ক্ষার জল
