Punjabi,Assamese
ਅਬੇਲੀ ਸਮੂਹ,abeli গ্ৰুপ
ਅਬੇਲੀ ਸਮੂਹ,abeli গ্ৰুপ
ਹੱਥ,হাত
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,নিৰপেক্ষ অভিসৰণ
ਪੂਰਨ ਗਲਤੀ,নিৰপেক্ষ ভুল
ਪਰਮ ਸਰਵਉੱਚ,পৰম পৰম
ਸਭ ਤੋਂ ਘੱਟ,নিৰপেক্ষ সৰ্বনিম্ন
ਸਹੀ ਮੁੱਲ,নিৰপেক্ষ মূল্য
ਪੂਰਨ ਗਤੀ,নিৰপেক্ষ বেগ
ਸਾਰ ਅਲਜਬਰਾ,বিমূৰ্ত বীজগণিত
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,বিমূৰ্ত গোট তত্ত্ব
ਪ੍ਰਵੇਗ,বেগ বৃদ্ধি
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,মহাকৰ্ষণীয় ত্বৰণ
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,গ্ৰহণযোগ্য নিৰ্বাচক
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,গ্ৰহণযোগ্য চৌহদ
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,বৈধ নিৰ্ভৰযোগ্যতা স্তৰ
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা
ਸੰਚਿਤ ਗਲਤੀ,সঞ্চিত ভুল
ਸ਼ੁੱਧਤਾ,শুদ্ধতা
ਲਾਗੂ ਫੋਰਸ,প্ৰয়োগ কৰা বল
"ਕਾਰਵਾਈ, ਕੰਮ","কাৰ্য্য, কাৰ্য্য"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ਬੀਮਾ ਵਿਗਿਆਨ,বীমা বিজ্ঞান
ਤੀਬਰ ਤਿਕੋਣ,তীব্ৰ ত্ৰিভুজ
